Nome: MORRO DO CHAPEU
Codigo Estacao: 83184
Latitude: -11.54749999
Longitude: -41.15111111
Altitude: 1001.66
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;3;5.2;29.009677;22.675484;17.622581;60.153226;
2008-02-29;12;95.7;29.227586;22.727586;18.458621;67.758621;
2008-03-31;11;66.2;27.696774;22.063226;18.480645;75.072581;
2008-04-30;14;46.5;27.666667;22.012;18.433333;74.425;
2008-05-31;10;21.6;25.135484;20.102581;16.709677;78.290323;
2008-06-30;18;36.8;23.046667;18.193333;15.26;82.8;
2008-07-31;18;22;22.135484;16.98129;13.951613;81.620968;
2008-08-31;11;16.5;24.332258;18.651613;14.951613;73.016129;
2008-09-30;5;11.4;26.296667;19.936667;15.97;71.283333;
2008-10-31;6;12.8;27.690323;21.25871;16.612903;70.612903;
2008-11-30;3;2.6;29.283333;22.927333;17.75;60.566667;
2008-12-31;10;129.4;27.296774;21.737419;18.232258;77.346774;
2009-01-31;15;112;28.306452;22.403226;18.458065;72.951613;
2009-02-28;5;29.3;28.678571;22.607143;18.460714;70.651786;
2009-03-31;4;13.8;30.63871;23.96129;19.283871;64.217742;
2009-04-30;19;160.1;26.59;21.706667;18.66;82.358333;
2009-05-31;15;26.6;24.067742;19.929677;17.309677;84.596774;
2009-06-30;16;23.5;23.493333;18.979333;16.35;84.808333;
2009-07-31;13;22.8;24.090323;18.856774;15.693548;79.870968;
2009-08-31;17;25.2;24.074194;18.803226;15.470968;78.451613;
2009-09-30;5;8.9;27.8;21.250667;16.8;64.283333;
2009-10-31;11;208.8;27.222581;21.70129;18.129032;74.766129;
2009-11-30;3;8.7;27.42;21.640667;17.64;67.691667;
2009-12-31;7;66.8;27.587097;22.299355;18.467742;70.370968;
2010-01-31;8;45.9;28.158065;22.303226;18.329032;69.016129;
2010-02-28;8;29.4;28.560714;23.002143;18.760714;67.9375;
2010-03-31;14;235.6;28.216129;22.729677;19.316129;79.346774;
2010-04-30;17;137.4;26.073333;21.340667;18.55;82.358333;
2010-05-31;6;14.3;25.990323;21.094194;18.206452;78.919355;
2010-06-30;8;17.3;23.663333;18.930667;15.893333;80.041667;
2010-07-31;24;58;22.151613;17.789032;15.21;85.887097;
2010-08-31;10;10.1;22.935484;17.705161;14.264516;77.967742;
2010-09-30;17;22;25.13;19.216667;15.446667;71.466667;
2010-10-31;7;66.3;28.519355;22.228387;17.906452;64.983871;
2010-11-30;6;11.3;28.23;22.411333;18.126667;65.933333;
2010-12-31;11;179.9;27.635484;22.199355;18.509677;72.201613;
2011-01-31;12;16.7;26.670968;21.460645;17.958065;74.508065;
2011-02-28;8;50.2;27.846429;22.277857;18.457143;70.3125;
2011-03-31;11;105.9;28.387097;22.850968;19.174194;74.709677;
2011-04-30;15;21.6;26.736667;21.475333;18.16;78.066667;
2011-05-31;16;25.9;23.809677;19.561935;16.954839;83.887097;
2011-06-30;12;13;24.23;18.902667;15.653333;79;
2011-07-31;16;20.3;23.441935;17.841935;14.548387;78.298387;
2011-08-31;9;16;25.351613;19.010323;14.964516;70.596774;
2011-09-30;5;5.8;25.063333;18.856667;14.836667;66.341667;
2011-10-31;11;56.5;26.43871;20.916129;16.996774;71.048387;
2011-11-30;10;21.8;25.6;20.431333;16.883333;75.616667;
2011-12-31;5;84.8;27.922581;21.892903;17.790323;68.564516;
2012-01-31;7;36;27.96129;22.030968;17.358065;66.145161;
2012-02-29;9;57.9;28.02069;21.856552;17.548276;67.862069;
2012-03-31;3;12.5;29.864516;22.828387;17.622581;58.032258;
2012-04-30;1;.1;28.723333;22.058;17.553333;63.8;
2012-05-31;13;25;25.829032;20.269677;17.033333;77.008065;
2012-06-30;9;19;24.836667;19.444;16.43;78.558333;
2012-07-31;15;20.6;23.264516;18.089677;14.83871;76.290323;
2012-08-31;19;30.1;23.080645;17.683226;14.283871;74.225806;
2012-09-30;3;.6;26.333333;19.986667;15.446667;61.558333;
2012-10-31;5;1.9;27.870968;21.276774;16.451613;59.491935;
2012-11-30;12;145;26.436667;21.736;18.41;74.316667;
2012-12-31;3;24.2;28.841935;22.555484;17.703226;59.33871;
2013-01-31;9;142.5;28.280645;22.654194;18.535484;71.330645;
2013-02-28;3;1.4;28.307143;22.515;18.360714;65.660714;
2013-03-31;2;5.4;29.619355;23.466452;18.883871;61.290323;
2013-04-30;11;57.2;27.15;21.916667;18.256667;71.475;
2013-05-31;16;20.4;25.719355;20.819355;17.654839;75.290323;
2013-06-30;23;37.6;23.52;19.212667;16.813333;82.025;
2013-07-31;18;29.9;23.212903;18.410323;15.574194;80.362903;
2013-08-31;15;19.5;24.145161;18.590323;15.270968;75.612903;
2013-09-30;10;13.4;26.566667;20.257333;16.116667;69.133333;
