Nome: SERRINHA
Codigo Estacao: 83190
Latitude: -11.66805554
Longitude: -39.00194444
Altitude: 362.39
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;3;1.9;34.7;26.336129;20.519355;59.701613;
2008-02-29;7;75.4;33.948276;26.267586;20.844828;67.612069;
2008-03-31;14;59.8;32.829032;26.005161;20.929032;73.967742;
2008-04-30;10;19.5;32.383333;25.610667;20.923333;77.875;
2008-05-31;16;60.2;29.03871;23.350968;19.293548;85.927419;
2008-06-30;23;82.1;27.543333;21.848667;17.59;85.841667;
2008-07-31;23;49.3;26.509677;20.989677;17.741935;84.362903;
2008-08-31;18;44.8;27.748387;21.707097;18.435484;82.782258;
2008-09-30;12;34.6;29.88;23.424667;19.853333;75.191667;
2008-10-31;11;32.5;31.529032;24.453548;20.53871;75.040323;
2008-11-30;4;32;34.51;26.205333;21.646667;64.525;
2008-12-31;12;123.4;32.422581;25.582581;21.829032;75.596774;
2009-01-31;5;41.7;34.032258;27.057419;23.296774;69.524194;
2009-02-28;13;81.1;33.371429;26.514286;23.242857;72.883929;
2009-03-31;3;2.3;35.319355;27.648387;23.390323;64.266129;
2009-04-30;12;57.9;32.826667;null;null;76.025;
2009-05-31;23;169.8;28.067742;23.685185;21.07037;90.048387;
2009-06-30;19;71.9;28.19;23.076667;20.176667;88.725;
2009-07-31;19;43.3;28.1;22.543226;19.448387;86.983871;
2009-08-31;18;59;28.296774;22.419355;19.016129;83.895161;
2009-09-30;4;3.4;31.34;24.286;19.92;71.883333;
2009-10-31;9;62.6;31.996774;25.410968;21.412903;73.403226;
2009-11-30;1;.2;34.44;26.34;21.33;59.016667;
