Nome: CIPO
Codigo Estacao: 83192
Latitude: -11.10138888
Longitude: -38.52416666
Altitude: 143.53
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;4;8.9;35.387097;27.148387;21.280645;60.419355;
2008-02-29;8;57;34.97931;27.395172;21.796552;64.775862;
2008-03-31;16;99.6;33.764516;27.072258;21.983871;70.209677;
2008-04-30;9;108.2;32.46;26.398667;21.773333;73.533333;
2008-05-31;18;51.3;29.751613;24.476774;20.283871;81.056452;
2008-06-30;19;40.3;28.88;22.912667;18.11;79.683333;
2008-07-31;19;42.6;27.916129;22.031613;17.06129;79.919355;
2008-08-31;18;37.6;29.083871;22.854839;17.848387;76.467742;
2008-09-30;9;34.5;30.67;23.975333;18.683333;71.258333;
2008-10-31;6;11.6;32.912903;25.525161;19.767742;66.66129;
2008-11-30;0;0;35.736667;27.208667;20.68;58.441667;
2008-12-31;9;48.9;34.648387;27.345161;21.716129;61.717742;
2009-01-31;7;36.8;35.187097;27.492258;21.619355;59.975806;
2009-02-28;13;38.9;34.453571;27.207857;21.739286;63.919643;
2009-03-31;2;20.1;36.345161;28.365161;22.374194;58.862903;
2009-04-30;10;36.3;34.046667;27.76;23.65;65.766667;
2009-05-31;22;107.2;29.590323;25.066452;22.396774;80.870968;
2009-06-30;19;29.6;29.666667;24.41;20.993333;78.575;
2009-07-31;19;35.4;28.870968;23.594839;20.051613;80.572581;
2009-08-31;22;39.4;29.025806;23.432903;19.441935;78.887097;
2009-09-30;6;16.4;32.463333;25.303333;19.95;67.408333;
2009-10-31;10;49.8;33.532258;26.663226;22.151613;67.41129;
2009-11-30;1;.1;35.256667;27.36069;21.756667;57.232759;
2009-12-31;5;83;35.613333;28.214667;23.216667;58.308333;
2010-01-31;9;35;35.06129;27.86;22.664516;58.572581;
2010-02-28;7;20.5;35.328571;28.010714;23.021429;62.767857;
2010-03-31;10;134.2;34.516129;27.874839;23.116129;65.669355;
2010-04-30;14;152.3;31.84;26.313333;22.39;77.133333;
2010-05-31;12;59.1;31.790323;25.765806;21.412903;70.080645;
2010-06-30;20;80.6;28.556667;23.884667;20.283333;76.491667;
2010-07-31;26;140.5;28.077419;22.924516;19.33871;80.919355;
2010-08-31;22;40.2;28.180645;22.281935;17.687097;75.475806;
2010-09-30;18;34.7;29.753333;23.35;18.426667;73.325;
2010-10-31;4;59.4;33.73871;26.230968;20.932258;65.016129;
2010-11-30;2;4.1;34.723333;26.88;21.143333;55.35;
2010-12-31;4;31.3;35.283871;27.528387;21.641935;57.814516;
2011-01-31;5;38.7;34.609677;27.207742;21.551613;60.733871;
2011-02-28;5;14.8;34.378571;27.422857;21.996429;62.357143;
2011-03-31;11;26.9;35.506452;28.181935;22.916129;62.524194;
2011-04-30;17;127.2;32.53;26.392667;21.506667;69.566667;
2011-05-31;16;35;30.090323;24.761935;20.412903;74.427419;
2011-06-30;15;42;29.37;23.407333;18.59;76.291667;
2011-07-31;14;47.8;28.919355;22.638065;17.241935;74.491935;
2011-08-31;11;20.2;30.46129;23.466452;17.596774;66.556452;
2011-09-30;3;6.5;30.863333;23.748;17.36;63.091667;
2011-10-31;5;65.1;32.693548;25.764516;20.6;65.072581;
