Nome: MATUPA
Codigo Estacao: 83214
Latitude: -10.19166666
Longitude: -54.9461111
Altitude: 272
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-03-13
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;24;308.3;30.867742;24.684516;20.822581;87.467742;
2008-02-29;24;380.4;30.455172;24.513103;20.751724;86.991379;
2008-03-31;22;440.5;30.654839;24.382581;20.693548;87.016129;
2008-04-30;14;144.2;31.7;25.288;20.846667;83.983333;
2008-05-31;9;18.7;31.890323;24.836129;19.467742;79.5;
2008-06-30;1;3;32.923333;23.806667;16.173333;66.215517;
2008-07-31;0;0;34.612903;24.050968;15.209677;55.314516;
2008-08-31;0;0;37.045161;26.272258;17.203226;48.395161;
2008-09-30;10;91.7;35.903333;27.115333;20.956667;66.083333;
2008-10-31;8;159.2;33.848387;26.301935;21.26129;75.879032;
2008-11-30;21;400.4;32.046667;25.604667;21.43;82.925;
2008-12-31;26;306.8;30.135484;24.683871;21.380645;88.451613;
2009-01-31;25;237.4;31.767742;25.210968;21.322581;85.709677;
2009-02-28;20;192.9;30.757143;24.812857;21.207143;87.232143;
2009-03-31;24;243.7;31.56129;24.963226;20.945161;87.322581;
2009-04-30;19;242.6;30.906667;24.810667;20.976667;87.916667;
2009-05-31;10;104.1;31.270968;24.631613;20.035484;83.983871;
2009-06-30;4;41.4;31.96;24.219333;18.05;76.75;
2009-07-31;1;.7;34.254839;24.619355;16.712903;63.959677;
2009-08-31;6;33.3;35.674194;25.734194;17.780645;60.330645;
2009-09-30;15;107.9;33.8;26.226;20.786667;75.725;
2009-10-31;16;173.4;33.209677;26.112258;21.325806;80.306452;
2009-11-30;21;263.8;32.3;25.841333;21.536667;84.766667;
2009-12-31;22;437;31.077419;25.143871;21.612903;86.516129;
2010-01-31;28;492.5;31.13871;24.94;21.670968;88.258065;
2010-02-28;22;315.7;32.6;25.95;22.310714;85.125;
2010-03-31;19;308;32.683871;26.070968;22.380645;85.919355;
2010-04-30;6;133.8;33.43;26.325333;21.623333;79.625;
2010-05-31;3;7.4;34.190323;26.144516;20.587097;75.137097;
2010-06-30;1;6.9;34.913333;24.936667;17.683333;65.166667;
2010-07-31;0;0;35.209677;24.880645;17.06129;58.895161;
2010-08-31;0;0;35.919355;24.746452;15.877419;52.145161;
2010-09-30;2;72.2;37.273333;27.708;20.553333;58.65;
2010-10-31;14;165.2;34.245161;26.783226;22.432258;75.467742;
2010-11-30;22;270.5;32.483333;25.887333;22.39;83.175;
2010-12-31;23;497.1;31.174194;25.294194;21.987097;85.564516;
2011-01-31;26;346.8;30.722581;24.945161;21.819355;86.540323;
2011-02-28;22;363.4;30.542857;24.786429;21.764286;87.973214;
2011-03-31;22;242.5;31.323333;25.11871;22.01;87.975806;
2011-04-30;14;106.2;32.213333;25.315333;21.35;84.416667;
2011-05-31;6;27.2;32.823333;25.410667;20.577419;76.633333;
2011-06-30;1;.8;34.05;24.776667;18.023333;65.375;
2011-07-31;0;0;35.167742;24.885806;16.841935;55.887097;
2011-08-31;0;0;37.241935;27.020645;18.680645;51.298387;
2011-09-30;4;69.1;37.443333;27.559333;20.15;54.941667;
2011-10-31;23;258.5;32.993548;26.022581;21.841935;80.282258;
2011-11-30;21;302.6;31.606667;25.365333;21.716667;85.95;
2011-12-31;23;340.1;31.345161;25.215484;21.670968;87.016129;
2012-01-31;29;587.5;30.025806;24.287742;21.170968;90.403226;
2012-02-29;25;388.7;31.337931;24.656552;20.906897;85.706897;
2012-03-31;18;257.7;31.825806;25.092258;21.277419;85.427419;
2012-04-30;14;106.2;32.623333;25.902667;21.886667;83.975;
2012-05-31;8;40.8;32.26129;25.36129;20.429032;78.354839;
2012-06-30;3;5.1;33.173333;25.138667;19.306667;72.5;
2012-07-31;0;0;34.287097;24.591613;16.819355;59.822581;
2012-08-31;0;0;35.806452;25.378065;16.493548;47.733871;
2012-09-30;6;84.4;36.006667;26.791333;20.313333;63;
2012-10-31;22;236.2;33.419355;25.84129;21.422581;79.58871;
2012-11-30;21;351.4;31.3;25.296667;21.97;85.341667;
2012-12-31;26;223.8;32.003226;25.453548;21.532258;85.072581;
2013-01-31;24;430;30.280645;25.017419;21.854839;89.967742;
2013-02-28;21;292.7;31.064286;24.915714;21.332143;87.0625;
2013-03-31;24;471.7;31.874194;25.601935;21.725806;86.596774;
2013-04-30;20;305.1;31.383333;25.478667;21.83;86.908333;
2013-05-31;2;21.6;32.577419;25.790323;20.848387;79.193548;
2013-06-30;null;0;33.693333;25.691333;19.796667;71.316667;
2013-07-31;null;0;34.293548;25.22129;17.83871;60.564516;
2013-08-31;null;0;35.816129;26.246452;17.964516;49.66129;
2013-09-30;null;99;34.466667;26.424667;20.693333;69.966667;
2013-10-31;null;200.9;33.232258;25.887742;21.306452;79.725806;
2013-11-30;null;448.8;31.626667;25.054667;21.19;86.108333;
2013-12-31;null;249;31.154839;25.160645;21.522581;86.983871;
2014-01-31;null;349.5;30.883871;24.630968;20.687097;84.33871;
2014-02-28;null;248.1;30.775;24.732308;21.307692;86.035714;
2014-03-31;null;359.2;31.441935;25.245161;21.277419;85.612903;
2014-04-30;null;99.6;31.946667;25.805333;21.746667;85.016667;
2014-05-31;6;94.6;32.654839;26.253548;21.229032;77.548387;
2014-06-30;null;0;33.32;25.656;19.34;68.966667;
2014-07-31;null;2.6;34.374194;25.885806;18.703226;59.693548;
2014-08-31;null;6;36.287097;26.98;18.883871;52.564516;
