Nome: FEIRA DE SANTANA
Codigo Estacao: 83221
Latitude: -12.1961111
Longitude: -38.96722221
Altitude: 229.52
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2018-12-17
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;3;1.3;33.5;26.749032;21.122581;77.064516;
2008-02-29;8;152.7;33.455172;26.503448;21.365517;81.068966;
2008-03-31;13;68.9;31.819355;25.869677;21.593548;86.209677;
2008-04-30;12;68.7;30.93;25.447333;21.01;87.3;
2008-05-31;15;38.6;28.219355;23.407742;19.525806;88.887097;
2008-06-30;21;101.8;26.816667;22.045333;18.4;90.116667;
2008-07-31;24;83.1;25.643333;20.910968;16.856667;90.733871;
2008-08-31;18;57.8;26.922581;21.587097;17.158065;90.346774;
2008-09-30;11;24.8;28.946429;22.952667;18.163333;87.933333;
2008-10-31;7;27;31.363333;24.447097;19.383333;85.112903;
2008-11-30;5;84.1;33.56;25.93;19.946667;84.633333;
2008-12-31;12;82.8;31.387097;25.373548;20.8;87.91129;
2009-01-31;7;36.8;32.66129;26.190968;20.8;84.040323;
2009-02-28;10;59.2;32.332143;26.015;20.825;85.883929;
2009-03-31;3;3.6;34.03871;26.983226;21.632258;79.008065;
2009-04-30;12;58.2;31.403333;26.073333;22.496667;77.183333;
2009-05-31;18;163.6;27.53871;23.754839;21.203226;88.080645;
2009-06-30;18;83.9;27.453333;23.069333;20.11;88.375;
2009-07-31;14;50.6;27.506667;22.576129;18.78;86.612903;
2009-08-31;17;39.8;27.451613;22.426452;18.445161;84.508065;
2009-09-30;4;6.8;31.273333;24.304667;19.01;78.375;
2009-10-31;7;48.4;31.57;25.646452;21.58;76.33871;
2009-11-30;4;17.5;33.97;26.584667;20.87;68.7;
2009-12-31;5;11.1;34.854839;27.243226;21.858065;68.709677;
2010-01-31;8;66.6;33.42;26.75;21.816667;73.282258;
2010-02-28;5;16.2;34.071429;27.384286;22.675;69.464286;
2010-03-31;10;86.9;33.46129;27.491613;23.180645;73.435484;
2010-04-30;16;169.5;29.866667;25.369333;22.223333;83.191667;
2010-05-31;8;49.7;29.616129;24.756129;20.732258;80.685484;
2010-06-30;17;82.3;26.893103;22.858;19.87931;83.675;
2010-07-31;23;173.3;25.867742;21.865161;18.829032;88.451613;
2010-08-31;18;34.4;26.318519;21.333548;17.266667;85.330645;
2010-09-30;16;45.7;27.07931;22.390667;18.558621;83.016667;
2010-10-31;6;40.1;31.75;25.157333;20.257692;89.459677;
2010-11-30;3;4.6;33.373333;25.975333;21.03;91.641667;
2010-12-31;5;81.5;33.535484;26.499355;21.525806;79.580645;
2011-01-31;9;77.4;32.506452;25.767097;20.951613;82.008065;
2011-02-28;2;15.1;34.028571;26.63;20.621429;78.232143;
2011-03-31;6;50;33.945161;26.856129;21.848387;78.443548;
2011-04-30;14;117.3;30.863333;25.198;20.926667;83.091667;
2011-05-31;15;35.1;28.074194;23.311613;19.987097;92.741935;
2011-06-30;15;65;27.066667;22.043333;18.066667;93.791667;
2011-07-31;13;21.5;27.751613;21.887097;17.703226;92.080645;
2011-08-31;11;25.4;28.690323;22.603226;18.448387;88.854839;
2011-09-30;6;24.5;29.062069;22.854;18.47931;84.25;
2011-10-31;9;96.6;30.683333;24.24129;18.776667;85.895161;
2011-11-30;10;107.9;29.463333;24.042;18.906667;85.083333;
2011-12-31;4;51.8;31.543333;25.343333;19.21;86.141667;
2012-01-31;4;5.9;33.203333;26.610323;21.27;78.975806;
2012-02-29;6;29.4;33.248148;26.34069;20.807143;82.637931;
2012-03-31;1;3.3;34.283871;26.547742;20.409677;81.927419;
2012-04-30;5;13.1;32.339286;25.62963;19.034483;79;
2012-05-31;18;60.1;29.781481;24.408;20.410714;79.041667;
2012-06-30;11;62.3;28.596667;23.141333;19.09;81.533333;
2012-07-31;13;27.6;27.683871;22.226452;18.219355;81.056452;
2012-08-31;18;56.3;27.241935;21.763226;17.364516;79.379032;
2012-09-30;9;20.1;29.834483;23.30069;18;69.103448;
2012-10-31;6;15;30.993548;24.344516;19.467742;69;
2012-11-30;6;77;32.083333;26.087333;22.163333;69.141667;
2012-12-31;1;1.8;33.945161;26.506667;20.703226;62.483871;
2013-01-31;7;123.2;33.758065;26.695333;20.946667;66.959677;
2013-02-28;4;5.7;33.461538;26.5248;20.736;67.98;
2013-03-31;3;1;34.248;27.255;21.316;67.076923;
2013-04-30;null;76;31.24;25.617333;20.716667;77.441667;
2013-05-31;null;39.5;28.48;24.027097;19.966667;84.653226;
2013-06-30;null;112.3;27.1;23.077931;19.2;86.766667;
2013-07-31;null;74.2;26.393548;22.132903;18.087097;87.016129;
2013-08-31;null;54;27.056667;22.064667;17.49;83.564516;
2013-09-30;null;34.6;28.76;23.088667;17.893333;82.558333;
2013-10-31;null;72;30.296667;24.118065;18.976667;77.104839;
2013-11-30;null;38.8;31.971429;25.266667;19.625;74.641667;
2013-12-31;null;66.2;32.577419;26.150968;21.2;72.733871;
2014-01-31;null;19.4;33.187097;26.194667;19.548387;70.096774;
2014-02-28;null;41.6;31.603571;25.708889;20.25;76.651786;
2014-03-31;7;23.2;32.058065;26.040667;20.574194;75.024194;
2014-04-30;null;19.6;32.751724;26.391333;20.713333;70.866667;
2014-05-31;null;98.9;29.193333;24.257241;19.564516;81.383333;
2014-06-30;null;69.8;27.293333;22.647333;17.63;81.05;
2014-07-31;null;122.3;26.7;22.026452;17.254839;84.16129;
2014-08-31;null;57.1;27.22069;21.546667;16.019355;81.125;
2014-09-30;null;26.4;29.416667;23.063333;18.083333;76.366667;
2014-10-31;null;54.2;29.970968;23.838065;19.183871;75.064516;
2014-11-30;null;27.6;31.4;25.184828;20.376667;75.241667;
2014-12-31;null;109.4;31.596667;25.528966;20.819355;82.241935;
2015-01-31;null;13;33.126667;26.166452;20.43871;77.370968;
2015-02-28;null;97.5;32.965385;26.412143;21.139286;76.833333;
2015-03-31;null;25.4;33.263333;26.412258;20.83871;76.919355;
2015-04-30;9;112.2;31.489655;25.994667;21.49;82.316667;
2015-05-31;null;161;27.863333;23.698;20.43871;86.658333;
2015-06-30;null;99.1;26.62069;22.766429;19.455172;90.387931;
2015-07-31;17;83.5;26.616129;22.114667;18.148387;88.766129;
2015-08-31;null;25.7;26.981481;21.747407;16.821429;86.517857;
2015-09-30;5;22;29.77037;23.501379;18.153333;76.12931;
2015-10-31;null;11.2;31.493548;24.51871;19.293548;77.653226;
2015-11-30;null;4.1;34.651724;26.826667;21.34;66.241667;
2015-12-31;2;1.8;34.890323;27.012903;21.409677;67.483871;
2016-01-31;null;235.4;31.845161;26.308276;22.406452;85.209677;
2016-02-29;null;5.6;32.172;26.6025;21.580769;74.58;
2016-03-31;null;10.2;33.719355;27.343448;22;70.766129;
2016-04-30;null;23.4;32.573077;25.942308;20.586207;73.538462;
2016-05-31;null;61.4;29.410345;24.406667;20.427586;82.577586;
2016-06-30;null;55.8;28.108;23.3168;20.126667;84.625;
2016-07-31;null;44.9;27.778571;22.560741;18.027586;80.75;
