Nome: CRUZ DAS ALMAS
Codigo Estacao: 83222
Latitude: -12.67527777
Longitude: -39.08972221
Altitude: 219.69
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;5;8.4;null;null;21.870968;null;
2008-02-29;10;156.4;null;null;22.837931;null;
2008-03-31;15;127.6;null;null;22.574194;null;
2008-04-30;12;72.8;null;null;22.324138;null;
2008-05-31;16;59.1;null;null;20.535484;null;
2008-06-30;24;171.6;null;null;19.476667;null;
2008-07-31;22;116.4;null;null;17.8;null;
2008-08-31;20;55.9;null;null;18.258065;null;
2008-09-30;15;72.6;null;null;19.131034;null;
2008-10-31;12;57.4;null;null;20.387097;null;
2008-11-30;6;50.1;null;null;21.736667;null;
2008-12-31;12;86.4;null;null;22.035484;null;
2009-01-31;7;29.8;null;null;null;null;
2009-02-28;12;44.5;null;null;22.353571;null;
2009-03-31;7;8.1;null;null;23.093548;null;
2009-04-30;15;101.8;null;null;22.872414;null;
2009-05-31;18;280.1;null;null;21.393548;null;
2009-06-30;17;94.1;null;null;20.506897;null;
2009-07-31;16;107.3;null;null;19.477419;null;
2009-08-31;16;66.5;null;null;19.132143;null;
2009-09-30;6;50.3;null;null;19.903333;null;
2009-10-31;11;80.2;null;null;21.943333;null;
2009-11-30;4;9.9;null;null;21.648276;null;
2009-12-31;7;13.8;null;null;22.967742;null;
2010-01-31;7;26.9;null;null;null;null;
2010-02-28;12;34.8;null;null;null;null;
2010-03-31;16;111.9;null;null;null;null;
2010-04-30;22;246.7;null;null;null;null;
2010-05-31;14;57.7;null;null;null;null;
2010-06-30;15;94.7;null;null;null;null;
