Nome: SALVADOR (ONDINA)
Codigo Estacao: 83229
Latitude: -13.00583333
Longitude: -38.50583333
Altitude: 47.35
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;8;17.8;31.883871;26.856129;22.719355;77.16129;
2008-02-29;11;183.8;32.103448;27.224828;23.089655;80.112069;
2008-03-31;15;132.8;30.967742;26.822581;22.916129;84.677419;
2008-04-30;17;154.3;29.98;26.506;22.67;83.733333;
2008-05-31;15;203.6;28.109677;25.191613;21.874194;83.887097;
2008-06-30;22;178.2;27.34;23.939333;20.393333;84.658333;
2008-07-31;24;149.1;26.235484;23.129032;19.241935;81.217742;
2008-08-31;16;58.7;26.945161;23.349032;19.53871;83.040323;
2008-09-30;12;37.8;28.313333;24.482667;20.59;78.933333;
2008-10-31;13;31.7;30.180645;25.661935;21.309677;77.677419;
2008-11-30;6;78.4;30.7;26.205333;21.876667;78.8;
2008-12-31;16;103.5;29.716129;25.808387;21.86129;82.483871;
2009-01-31;11;30.3;31.7;27.096774;22.577419;77.322581;
2009-02-28;18;122.1;31.117857;26.696429;22.1;79.696429;
2009-03-31;8;25.6;31.887097;27.268387;22.622581;77.903226;
2009-04-30;20;506.6;29.616667;25.941333;21.873333;84.825;
2009-05-31;24;549.3;27.335484;24.635484;21.009677;87.733871;
2009-06-30;17;155.1;27.636667;24.855862;22.471429;84.766667;
2009-07-31;20;158.9;27.3;24.309677;22.012903;84.225806;
2009-08-31;20;93.8;27.458065;24.277419;21.677419;81.629032;
2009-09-30;11;56.1;28.756667;25.079333;21.806667;80.483333;
2009-10-31;11;162.4;29.56129;25.910968;22.890323;82.362903;
2009-11-30;5;48.1;30.58;26.414667;22.66;77.783333;
2009-12-31;5;5.8;31.93871;27.340645;23.567742;77.887097;
2010-01-31;15;78.5;31.506452;27.249677;23.351613;78.774194;
2010-02-28;12;19.2;32.910714;28.211429;24.307143;75.848214;
2010-03-31;14;122.8;31.874194;27.565161;23.829032;83.919355;
2010-04-30;25;448.8;28.966667;26.080667;22.886667;88.141667;
2010-05-31;20;243.8;28.63871;25.650968;22.364516;85.395161;
2010-06-30;24;96.6;27.003333;24.408667;21.313333;83.216667;
2010-07-31;29;492.5;26.180645;23.171613;19.887097;87.459677;
2010-08-31;26;176.3;26.419355;22.959355;19.283871;82.830645;
2010-09-30;19;55.8;27.293333;23.829333;19.966667;81.166667;
2010-10-31;7;56.7;29.909677;25.64;21.690323;83.403226;
2010-11-30;5;27.2;30.69;26.289333;22.006667;80.233333;
2010-12-31;11;102.5;30.577419;26.329032;22.122581;82.475806;
2011-01-31;19;170.3;30.080645;25.949032;21.658065;84.524194;
2011-02-28;12;46.2;31.453571;26.985714;22.475;79.517857;
2011-03-31;15;200.7;30.451613;26.651613;22.373333;85.330645;
2011-04-30;24;331;29.346667;25.711333;21.433333;87.183333;
2011-05-31;27;304.2;27.532258;24.369032;20.419355;87.830645;
2011-06-30;19;277.7;26.53;23.362667;19.51;88.208333;
2011-07-31;17;57.6;26.783871;23.207097;19.3;83.024194;
2011-08-31;18;91.3;27;23.32;19.090323;84.08871;
2011-09-30;12;62;27.126667;23.489333;19.583333;80.791667;
2011-10-31;17;208.5;28.86129;24.83871;21.03871;85.991935;
2011-11-30;17;319.2;28.396667;24.894667;21.53;85.408333;
2011-12-31;10;100.7;29.974194;26.005806;22.619355;82.733871;
2012-01-31;14;35.7;30.609677;26.427097;22.867742;80.467742;
2012-02-29;16;70.9;30.417241;26.238621;22.655172;83.103448;
2012-03-31;15;74.7;30.445161;26.348387;22.787097;82.895161;
2012-04-30;15;48.8;30.526667;26.283333;22.686667;82.4;
2012-05-31;20;411.5;28.235484;24.988387;22.064516;87.185484;
2012-06-30;19;170.2;27.463333;24.241333;21.336667;87.083333;
2012-07-31;19;162.5;26.719355;23.370323;20.377419;85.693548;
2012-08-31;24;137.4;26.4;22.979355;19.722581;85.427419;
2012-09-30;1;30.7;27.966667;24.17;20.763333;82.533333;
2012-10-31;19;73.6;28.609677;24.707097;21.26129;83.112903;
2012-11-30;9;35.5;30.176667;26.008667;22.49;80.133333;
2012-12-31;8;10.7;31.741935;26.822581;22.719355;75.274194;
2013-01-31;9;36.2;32.058065;27.274194;23.416129;77.854839;
2013-02-28;15;28.6;32.764286;27.590714;23.521429;76.696429;
2013-03-31;11;38.4;32.780645;27.787742;23.816129;78.056452;
2013-04-30;17;230.8;30.313333;26.48;23.083333;82.558333;
2013-05-31;19;231.1;27.919355;25.055484;21.990323;86.967742;
2013-06-30;26;308.4;26.677778;23.948889;21.267857;90.348214;
2013-07-31;27;198;26.435484;23.664516;20.658065;86.064516;
2013-08-31;23;211.2;26.690323;23.343871;19.954839;84.806452;
2013-09-30;18;109.4;27.496667;23.987333;20.446667;83.866667;
2013-10-31;15;208.6;28.229032;24.835484;21.119355;82.41129;
2013-11-30;14;209.2;28.91;25.352414;21.433333;82.991667;
2013-12-31;11;158.2;29.354839;25.853548;22.23871;82.806452;
2014-01-31;1;48.3;29.545161;25.867097;22.112903;81.637097;
2014-02-28;null;142.7;29.389286;25.724286;21.875;83.848214;
2014-03-31;null;128.8;30.009677;26.329677;22.412903;82.145161;
2014-04-30;null;107.1;29.21;26.028;22.503333;83.858333;
2014-05-31;null;247.2;27.554839;24.619355;21.022581;87.282258;
2014-06-30;null;240.6;26.656667;23.722667;20.336667;87.158333;
2014-07-31;null;198.9;26.16129;23.267143;20.325;87.782258;
2014-08-31;null;60.2;26.429032;23.498667;21.167742;82.508065;
2014-09-30;null;92.7;27.5;23.982;21.443333;83.258333;
2014-10-31;null;27.7;28.941935;25.154194;22.451613;78.540323;
2014-11-30;null;59;29.35;25.630667;22.85;81.408333;
