Nome: LENCOIS
Codigo Estacao: 83242
Latitude: -12.55777777
Longitude: -41.38888888
Altitude: 438.09
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;4;12.3;33.193548;26.385806;21.393548;59.725806;
2008-02-29;9;163.5;32.651724;26.102069;21.868966;67.344828;
2008-03-31;12;193.4;31.490323;25.626;21.425806;73;
2008-04-30;13;97.1;30.633333;25.045333;21.746667;76.291667;
2008-05-31;14;32.2;28.587097;23.247742;19.403226;72.056452;
2008-06-30;15;68.9;26.536667;21.39;17.606667;77.475;
2008-07-31;11;23.9;25.874194;20.613548;16.387097;74.322581;
2008-08-31;10;32;28.680645;22.283226;17.43871;64.532258;
2008-09-30;7;26.3;30.15;23.706;19.096667;62.783333;
2008-10-31;4;9.7;32.512903;25.565806;20.687097;55;
2008-11-30;14;127.5;32.24;25.825333;21.096667;61.4;
2008-12-31;15;160.8;29.945161;24.82;21.464516;72.959677;
2009-01-31;18;140.6;31.051613;25.443226;21.625806;70.508065;
2009-02-28;12;58.3;31.710714;25.794286;21.810714;68.017857;
2009-03-31;8;93.3;33.854839;27.337419;22.841935;null;
2009-04-30;21;287.4;29.458621;24.593333;21.473333;null;
2009-05-31;14;89.2;27.464516;23.223226;20.367742;null;
2009-06-30;10;65.1;27.256667;22.396667;19.476667;78.458333;
2009-07-31;10;32.5;27.86129;22.017419;18.43871;75.483871;
2009-08-31;12;24.7;28.567742;22.477419;18.522581;74.483871;
2009-09-30;6;17.4;31.82;24.678;19.626667;66.283333;
2009-10-31;15;306.1;30.874194;24.943871;20.929032;79.83871;
2009-11-30;8;20.3;30.883333;24.818;21.003333;79.191667;
2009-12-31;11;81.5;31.325806;25.183871;21.387097;78.58871;
