Nome: BOM JESUS DA LAPA
Codigo Estacao: 83288
Latitude: -13.25111111
Longitude: -43.40527777
Altitude: 447.75
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;10;162.6;32.487097;26.383871;20.63871;59.83871;
2008-02-29;8;105.6;32.848276;26.328966;20.989655;66.068966;
2008-03-31;8;40.7;31.625806;25.549677;20.506452;71.217742;
2008-04-30;8;153.4;31.583333;25.573333;20.593333;70.741667;
2008-05-31;0;0;31.816129;24.985806;19.312903;55.604839;
2008-06-30;0;0;31.33;23.795333;17.43;51.591667;
2008-07-31;0;0;31.080645;23.347097;16.329032;45.467742;
2008-08-31;0;0;33.029032;25.409032;18.148387;40.41129;
2008-09-30;2;28.8;35.26;27.517333;20.066667;45.141667;
2008-10-31;0;0;36.770968;29.630323;22.687097;36.169355;
2008-11-30;15;177.8;32.476667;26.982;22.796667;64.341667;
2008-12-31;17;154;30.951613;25.528387;21.519355;null;
2009-01-31;10;102.6;31.764516;26.226452;21.758065;null;
2009-02-28;8;105.6;32.967857;26.596429;21.267857;69.008929;
2009-03-31;11;158.7;33.367742;26.940645;21.822581;69.33871;
2009-04-30;11;92.3;30.286667;25.103333;21.036667;79.541667;
2009-05-31;3;18.9;30.096552;24.162069;19.565517;null;
2009-06-30;2;7.8;31.057692;23.918462;18.762963;63.826923;
2009-07-31;0;0;32.512903;24.864516;18.316129;52.083333;
2009-08-31;0;0;33.793548;26.077419;18.96129;46.274194;
2009-09-30;2;2.9;36.473333;29.194;22.466667;40.633333;
2009-10-31;10;181.1;34.277419;28.173548;23.287097;59.532258;
2009-11-30;4;27.3;33.924138;27.578;22.2;59.658333;
2009-12-31;13;181.4;32.609677;26.485806;21.680645;68.870968;
2010-01-31;6;26.3;33.764516;27.335484;21.916129;62.524194;
2010-02-28;7;45.4;35.375;28.103571;22.621429;57.714286;
2010-03-31;18;152.2;32.248387;26.268387;21.741935;73.653226;
2010-04-30;6;121.6;31.61;25.598;20.716667;68.358333;
2010-05-31;1;29.8;33.054839;26.522581;20.625806;59.072581;
2010-06-30;0;0;32.023333;24.164;17.12;48.441667;
2010-07-31;0;0;31.764516;24.534839;17.570968;45.427419;
2010-08-31;0;0;32.867742;25.129677;17.716129;39.475806;
2010-09-30;1;6.6;34.93;27.439333;20.336667;36.95;
2010-10-31;7;85.6;36.545161;29.572903;23.46129;46.370968;
2010-11-30;13;164.9;32.824138;26.907333;22.334483;70.15;
2010-12-31;14;97.3;31.906452;26.325161;22.129032;74.540323;
2011-01-31;12;129.8;31.825806;26.063226;21.554839;72.322581;
2011-02-28;11;70.1;33.874074;27.095;22.074074;65.883929;
2011-03-31;16;168.1;30.964516;25.725806;21.712903;80.056452;
2011-04-30;8;35.8;31.863333;25.792667;21.14;70.741667;
2011-05-31;4;10.1;32.041935;25.081935;19.280645;59.306452;
2011-06-30;0;0;32.21;24.85;18.106667;52.791667;
2011-07-31;0;0;32.274194;24.401935;17.170968;46.491935;
2011-08-31;0;0;34.067742;26.422581;19.283871;44.258065;
2011-09-30;0;0;34.576667;26.688;19.026667;39.525;
2011-10-31;9;94.1;33.919355;27.522581;22.132258;58.008065;
2011-11-30;14;134.5;30.566667;25.036667;20.61;73.483333;
2011-12-31;10;198.9;31.603226;25.877419;21.054839;71.895161;
2012-01-31;7;48.6;32.216129;26.456129;21.267742;66.419355;
2012-02-29;9;35.9;33.62069;26.836552;21.365517;60.594828;
2012-03-31;3;48.2;34.916129;28.350968;22.364516;54.741935;
2012-04-30;0;0;35.94;28.676;22.173333;47.641667;
2012-05-31;6;33.7;33.329032;26.396774;20.5;53.572581;
2012-06-30;2;2.2;33.383333;26.084;19.57;49.041667;
2012-07-31;0;0;32.648387;25.109032;17.832258;47.637097;
2012-08-31;0;0;32.164516;24.954839;18.077419;45.08871;
2012-09-30;0;0;35.863333;28.148;20.746667;40.758333;
2012-10-31;2;15.4;36.49;29.485806;22.017241;41.677419;
