Nome: ITIRUCU (JAGUAQUARA)
Codigo Estacao: 83295
Latitude: -13.52777777
Longitude: -40.11972221
Altitude: 757.53
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2016-01-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;8;5.2;29.541935;22.189677;17.267742;null;
2008-02-29;10;174.5;29.07931;22.381379;18.303448;null;
2008-03-31;12;132;28.683871;22.377419;18.290323;null;
2008-04-30;7;26.9;28.41;22.232667;18.243333;null;
2008-05-31;10;null;26.295833;20.470435;16.733333;null;
2008-06-30;19;96.2;23.553333;18.528;14.96;null;
2008-07-31;6;null;null;null;null;null;
2008-08-31;14;23.8;24.996774;18.587742;14.235484;null;
2008-09-30;11;31.4;25.783333;19.612;15.336667;null;
2008-10-31;4;12.4;28.754839;21.134194;16.135484;null;
2008-11-30;9;60;29.403333;22.349333;17.756667;null;
2008-12-31;17;120.4;27.670968;21.907742;18.041935;null;
2009-01-31;13;112.2;28.680645;22.405161;18.167742;null;
2009-02-28;13;35.3;29.135714;22.451429;18.253571;null;
2009-03-31;5;22.2;31.183871;23.707742;18.925806;null;
2009-04-30;17;125.4;27.869231;22.2448;18.866667;null;
2009-05-31;12;57.9;24.996774;20.223226;16.974194;null;
2009-06-30;15;69.6;24.146667;19.282;16.13;null;
2009-07-31;10;52;24.367742;19.081935;15.564516;null;
2009-08-31;15;36.3;24.529032;18.956774;15.203226;null;
2009-09-30;7;18.1;27.903333;21.041333;16.703333;null;
2009-10-31;11;124;27.96129;22.043226;18.396774;null;
2009-11-30;6;17.6;29.533333;22.301333;17.586667;null;
2009-12-31;3;27.9;30.548387;23.329677;18.7;null;
2010-01-31;11;51.8;29.580645;22.847742;18.480645;null;
2010-02-28;13;27.5;30.435714;23.551429;19.182143;null;
2010-03-31;20;181.6;29.516129;23.285806;19.416129;null;
2010-04-30;14;106.6;26.66;21.66;18.553333;null;
2010-05-31;7;21.4;26.890323;21.269677;17.925806;null;
2010-06-30;10;26.2;24.56;18.983333;15.29;null;
2010-07-31;28;106.4;22.712903;18.147742;15.267742;null;
2010-08-31;16;41.5;23.390323;17.815484;14.13871;null;
2010-09-30;17;65.1;24.956667;18.941333;15.15;null;
2010-10-31;8;55.3;28.603571;21.843846;17.992593;null;
2010-11-30;6;59.7;28.65;22.222667;18.373333;null;
2010-12-31;4;null;null;null;null;null;
2011-01-31;17;120;28.258065;22.094194;18.322581;null;
2011-02-28;8;12;29.764286;22.661429;18.517857;null;
2011-03-31;14;105.6;29.551613;23.165806;19.145161;null;
2011-04-30;21;115.5;26.95;21.530667;18.303333;null;
2011-05-31;13;59.6;24.345161;19.715484;16.76129;null;
2011-06-30;12;30.3;24.35;18.937333;15.44;null;
2011-07-31;20;69.8;23.422581;17.984516;14.532258;null;
2011-08-31;12;41.8;24.754839;18.771613;14.854839;null;
2011-09-30;4;null;null;null;null;null;
2011-10-31;17;81;25.919355;20.416129;16.841935;null;
2011-11-30;15;73.7;25.39;20.321333;16.996667;null;
2011-12-31;8;52.2;28.019355;21.812903;17.8;null;
