Nome: DIAMANTINO
Codigo Estacao: 83309
Latitude: -14.40611111
Longitude: -56.44694444
Altitude: 274.02
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;24;509;30.532258;25.127742;21.532258;89.258065;
2008-02-29;19;226.1;31.531034;25.422069;21.613793;88.37931;
2008-03-31;18;280.3;32.06129;25.523226;21.422581;87.314516;
2008-04-30;14;275.6;31.61;24.7;20.366667;86.516667;
2008-05-31;5;20.3;30.2;22.732903;17.916129;82.766129;
2008-06-30;0;0;31.15;21.829333;16.35;79.083333;
2008-07-31;0;0;34.974194;23.027097;16.241935;62.645161;
2008-08-31;0;0;37.303226;26.012258;18.693548;55.959677;
2008-09-30;3;35.4;36.016667;26.349333;19.363333;60.85;
2008-10-31;12;188.8;34.341935;26.623226;21.287097;75.983871;
2008-11-30;14;226;34.053333;26.930667;22.206667;80.433333;
2008-12-31;14;209.9;32.651613;26.046452;21.580645;82.314516;
2009-01-31;14;94.1;33.558065;26.330968;21.667742;80.129032;
2009-02-28;19;421.5;32.832143;25.853571;21.860714;85.973214;
2009-03-31;18;424.8;33.093548;25.917419;21.783871;86.677419;
2009-04-30;13;180;33.13;25.598;21.063333;84.55;
2009-05-31;5;58;32.541935;24.722581;19.890323;81.620968;
2009-06-30;3;26.3;30.62;22.253333;16.716667;79.675;
2009-07-31;1;4.3;33.2;23.08;17.151613;73.806452;
2009-08-31;4;97.8;35.180645;25.041935;18.190323;64.693548;
2009-09-30;13;114;34.213333;25.940667;20.446667;72.716667;
2009-10-31;12;208.1;34.283871;26.754194;21.790323;77.870968;
2009-11-30;7;67.5;33.646667;26.984;22.6;79.283333;
