Nome: NOVA XAV.(XAVANTINA)
Codigo Estacao: 83319
Latitude: -14.697917
Longitude: -52.350226
Altitude: 305.33
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;20;331;32.106452;25.143226;21.306452;86.862903;
2008-02-29;19;284.1;31.782759;25.046207;21.17931;89.706897;
2008-03-31;23;184.6;31.964516;25.036129;21.177419;89.008065;
2008-04-30;15;91.3;32.473333;25.088;20.953333;87.641667;
2008-05-31;0;0;32.751613;22.947097;16.577419;78.701613;
2008-06-30;0;0;33.12;21.252;13.873333;76.725;
2008-07-31;0;0;33.803226;20.82129;11.76129;67.217742;
2008-08-31;0;0;36.893548;23.327097;13.883871;58.725806;
2008-09-30;4;16.8;37.693333;27.256667;19.466667;54.55;
2008-10-31;7;59.1;36.980645;28.376774;22.022581;59.362903;
2008-11-30;13;167.4;33.206667;26.725333;22.366667;78.908333;
2008-12-31;22;281.5;31.267742;25.77871;22.251613;85.370968;
2009-01-31;13;191.7;32.764516;25.945161;21.677419;82.983871;
2009-02-28;14;186.9;32.582143;25.807143;21.732143;86.044643;
2009-03-31;13;156.3;33.235484;26.002581;21.835484;84.717742;
2009-04-30;14;164;32.266667;24.934667;20.5;85.025;
2009-05-31;3;1;32.919355;24;18.206452;80.379032;
2009-06-30;2;43;32.193333;22.186667;15.506667;75.975;
2009-07-31;0;0;34.425806;22.575484;15.070968;69.604839;
2009-08-31;3;37.6;35.132258;23.989032;16.780645;63.75;
2009-09-30;5;35.3;35.84;26.928667;21.103333;67.95;
2009-10-31;13;188.7;34.635484;26.365806;21.903226;80.709677;
2009-11-30;17;192.2;33.333333;26.29;22.533333;84.95;
2009-12-31;24;417.3;31.303226;25.348387;22.122581;89.080645;
2010-01-31;21;312.2;32.390323;25.886452;22.229032;85.491935;
2010-02-28;13;89.3;33.442857;26.267857;22.325;85.401786;
2010-03-31;14;139;33.564516;26.527097;22.696774;84.806452;
2010-04-30;4;32.5;34.226667;25.284667;19.71;77.916667;
2010-05-31;2;8.1;34.122581;23.678065;16.880645;71.322581;
2010-06-30;1;13;33.826667;21.936667;14.4;70.791667;
2010-07-31;0;0;34.345161;22.370323;13.919355;65.701613;
2010-08-31;0;0;35.616129;22.82;12.922581;52.283871;
2010-09-30;1;5.6;38.86;26.270667;17.086667;51.866667;
2010-10-31;10;152;36.441935;27.841935;22.167742;69.645161;
2010-11-30;19;357;32.773333;25.730667;22.066667;86.516667;
2010-12-31;20;267.3;32.493548;25.58129;21.787097;84.967742;
2011-01-31;21;425;31.845161;25.321935;21.629032;86.475806;
2011-02-28;16;206.7;32.764286;25.641429;21.835714;84.794643;
2011-03-31;19;294.3;31.409677;25.16129;22.009677;89.241935;
2011-04-30;7;64.4;33.553333;25.265333;20.32;81.083333;
2011-05-31;0;0;33.525806;23.344516;16.919355;76.153226;
2011-06-30;2;3.5;32.92;21.775333;14.503333;74.116667;
2011-07-31;1;.7;34.132258;21.954194;13.464516;67.927419;
2011-08-31;0;0;36.822581;24.18129;14.6;56.701613;
2011-09-30;2;8.8;38.26;26.68;17.673333;55.758333;
2011-10-31;16;172.6;33.564516;26.047097;21.625806;81.653226;
2011-11-30;13;77;31.913333;25.133333;21.133333;83.625;
2011-12-31;25;278.3;31.474194;25.275484;22.1;87.701613;
2012-01-31;27;552.5;30.680645;24.712903;21.541935;88.330645;
2012-02-29;19;149.6;32.727586;24.906207;20.437931;84.689655;
2012-03-31;11;143.1;34.096774;25.667742;20.803226;82.193548;
2012-04-30;4;36.9;34.773333;26.081333;21.2;81.825;
2012-05-31;4;56.8;32.54;23.836;18.451613;78.283333;
2012-06-30;1;10.6;33.56;23.186;16.736667;78.075;
2012-07-31;0;0;34.145161;21.665806;13.783871;68.814516;
2012-08-31;0;0;35.53871;23.226452;15.316129;57.459677;
2012-09-30;3;55.6;37.706667;26.108667;18.723333;58.366667;
2012-10-31;12;138.6;36.474194;27.038065;21.206452;72.879032;
2012-11-30;19;201.1;31.96;25.672;22.553333;87.441667;
2012-12-31;19;218.9;33.912903;26.045806;21.709677;81.846774;
2013-01-31;22;513.2;30.880645;25.330968;22.129032;89.322581;
2013-02-28;14;190.8;33.435714;25.941429;21.857143;83.401786;
2013-03-31;16;228.4;33.270968;25.956129;22.341935;86.112903;
