Nome: VITORIA DA CONQUISTA
Codigo Estacao: 83344
Latitude: -14.88638888
Longitude: -40.80138888
Altitude: 879.47
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;6;114.9;27.21;null;null;87.137097;
2008-02-29;9;74;28.517857;null;null;86.017241;
2008-03-31;10;103.1;27.103333;null;null;87.596774;
2008-04-30;6;14.8;27.98;null;null;83.475;
2008-05-31;3;1.1;25.983871;null;null;83.298387;
2008-06-30;13;22.2;23.134483;null;null;88.316667;
2008-07-31;10;13.8;23;null;null;84.451613;
2008-08-31;6;4.4;24.929032;null;null;78.112903;
2008-09-30;8;33.2;26.69;null;null;79.716667;
2008-10-31;4;12.8;28.706452;20.557419;12.46;75.862903;
2008-11-30;11;165.6;28.03;21.83;16.783333;78.841667;
2008-12-31;11;94.7;26.383871;21.322581;17.848387;87.975806;
2009-01-31;13;161.3;27.635484;21.713548;17.880645;87.483871;
2009-02-28;11;36;27.717857;21.699286;17.064286;86.1875;
2009-03-31;8;126.8;29.451613;22.789032;18.006452;84.524194;
2009-04-30;21;195.1;25.53;20.926;17.883333;91.483333;
2009-05-31;12;21.3;23.336667;18.929032;15.743333;90.330645;
2009-06-30;9;37;23.55;18.416;14.68;88.908333;
2009-07-31;9;10.3;23.916129;18.025806;13.590323;88.129032;
2009-08-31;13;18.5;24.132258;18.2;13.719355;86.177419;
2009-09-30;5;28.8;27.83;20.49;14.84;78.05;
2009-10-31;14;178;27.251613;22.450968;18.467742;74.919355;
2009-11-30;4;9.7;28.33;23.614667;19.053333;66.158333;
2009-12-31;9;56.4;28.973333;null;null;64.475806;
2010-01-31;8;50.1;29.074194;null;null;65.935484;
2010-02-28;5;7.4;29.353846;null;null;63.383929;
2010-03-31;16;176;28.609677;null;null;80.016129;
2010-04-30;13;77.5;25.958621;null;null;81.75;
2010-05-31;7;17.4;26.229032;null;null;79.201613;
2010-06-30;11;20.3;23.696667;null;null;77.591667;
2010-07-31;21;43.9;22.23;null;null;83.709677;
2010-08-31;13;20.5;22.948387;null;null;77.903226;
2010-09-30;6;12.5;25.576667;null;null;72.791667;
2010-10-31;4;41.6;28.796552;21.457391;16.372727;70.822581;
2010-11-30;16;237.2;27.516667;21.664;16.936667;77.741667;
2010-12-31;12;174.1;27.454839;21.821935;17.764516;78.193548;
2011-01-31;16;32.2;27.009677;21.239355;17.067742;79.75;
2011-02-28;5;32.5;28.353571;21.952857;17.042857;74.357143;
2011-03-31;13;90.5;28.170968;22.110323;18.212903;78.354839;
2011-04-30;19;67.7;25.7;20.72;17.413793;87.241379;
2011-05-31;11;21.1;23.664516;19.06;15.770968;90.419355;
2011-06-30;11;7;23.923333;18.374667;14.673333;84.75;
2011-07-31;10;25.6;23.63871;17.314839;12.793103;83.959677;
2011-08-31;6;6.5;25.533333;18.838065;null;77.314516;
2011-09-30;9;11.2;24.965517;18.228667;13.803333;75.533333;
2011-10-31;10;73;26.203226;20.285806;15.787097;80.104839;
2011-11-30;18;109.5;24.123333;19.626667;16.186667;85.841667;
2011-12-31;15;115.6;27.093548;21.239355;17.093548;84.564516;
2012-01-31;7;17.3;27.358065;21.228387;16.651613;81.145161;
2012-02-29;10;29.3;27.737037;21.164444;16.178571;78.268519;
2012-03-31;2;12.2;28.990323;22.059355;16.896774;75.048387;
2012-04-30;3;1.7;29.466667;21.832667;16.07;72.908333;
2012-05-31;11;30.2;25.06129;19.288387;15.387097;84.177419;
2012-06-30;10;22.2;25.406667;19.248667;15.016667;82.383333;
2012-07-31;11;18;23.829032;17.830968;13.045161;81.475806;
2012-08-31;18;55.3;22.980645;17.236129;12.9;82.395161;
2012-09-30;4;6.7;26.12;19.202;14.003333;81.375;
2012-10-31;6;48.4;27.296774;20.374839;15.193548;80.580645;
2012-11-30;18;258.4;26.146667;21.31;17.52;91.183333;
2012-12-31;3;4;29.467742;22.290323;16.254839;81.629032;
2013-01-31;9;95.4;28.893548;22.394194;17.293548;83.314516;
2013-02-28;8;65.1;27.764286;21.575714;16.3;84.267857;
2013-03-31;null;2.1;30.058065;22.750968;16.696774;82.983871;
2013-04-30;null;59.3;26.236667;20.661333;16.196667;88.308333;
2013-05-31;null;11.4;25.7;19.951613;15.170968;87.225806;
2013-06-30;null;35.3;24.003333;18.712667;14.533333;89.466667;
2013-07-31;null;17.1;23.777419;17.922581;13.212903;86.701613;
2013-08-31;null;20.4;23.803226;17.939333;12.903226;83.669355;
2013-09-30;null;20.8;26.217241;19.463448;14.293333;81.241379;
2013-10-31;null;29.3;26.63871;19.957419;14.33871;76.983871;
2013-11-30;null;33.2;28.182759;21.326897;15.31;71.883333;
2013-12-31;null;232.7;27.567742;21.850323;16.990323;79.532258;
2014-01-31;null;59;26.95;20.698065;15.354839;78.346774;
2014-02-28;null;30.2;27.346429;20.822143;15.014286;76.625;
