Nome: POXOREU
Codigo Estacao: 83358
Latitude: -15.82749999
Longitude: -54.39555555
Altitude: 374.35
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;23;401.4;31.254839;25.249677;21.477419;87.435484;
2008-02-29;18;197.9;32.082759;25.315862;21.355172;85.974138;
2008-03-31;16;202;32.077419;25.251613;21.180645;84.798387;
2008-04-30;14;168.6;31.446667;24.577333;20.286667;85.641667;
2008-05-31;4;82.1;30.180645;21.976129;16.532258;81.362903;
2008-06-30;0;0;31.086667;21.424667;14.78;77.8;
2008-07-31;0;0;33.56129;20.701935;11.303226;61.669355;
2008-08-31;0;0;36.341935;23.905161;14.212903;53.741935;
2008-09-30;1;35.4;35.703333;25.278667;17.15;56.066667;
2008-10-31;8;50.5;34.948387;26.713548;21.116129;66.691667;
2008-11-30;9;187.9;33.693333;26.263333;21.416667;77.491667;
2008-12-31;15;280.2;31.680645;25.71871;21.451613;80.733871;
2009-01-31;10;110.2;33.277419;25.95871;20.974194;77.048387;
2009-02-28;15;282.1;32.317857;25.517857;21.735714;84.0625;
2009-03-31;19;384.2;32.883871;25.464516;21.332258;85.427419;
2009-04-30;7;86.9;32.243333;24.575333;19.59;81.4;
2009-05-31;4;35;32.041935;23.418065;17.445161;79.008065;
2009-06-30;3;57.9;30.306667;21.150667;14.883333;77.825;
2009-07-31;0;0;33.287097;22.265161;14.480645;68.040323;
2009-08-31;3;80;34.467742;23.833548;15.764516;62.395161;
2009-09-30;8;91.2;33.7;25.524667;19.73;72.65;
2009-10-31;13;170.9;33.677419;26.329032;21.16129;75.306452;
2009-11-30;18;317.2;32.84;26.164;22.113333;80.75;
2009-12-31;23;471.1;31.96129;25.529677;21.735484;83.491935;
2010-01-31;19;313.8;31.887097;25.740645;21.83871;82.685484;
2010-02-28;19;350.2;32.992857;25.978571;21.889286;82.035714;
2010-03-31;11;130.1;34.009677;26.521935;21.819355;78.629032;
2010-04-30;5;141.4;33.096667;24.927333;19.063333;74.991667;
2010-05-31;1;2;31.416667;22.274839;15.343333;70.032258;
2010-06-30;1;1.3;33.77;22.161333;13.75;65.875;
2010-07-31;0;0;31.7;20.784516;12.603226;63.830645;
2010-08-31;null;0;34.703448;22.316129;12.22;60.193548;
2010-09-30;1;2;38.363333;27.016;17.689655;46.325;
2010-10-31;5;89.4;35.174194;27.298065;21.232258;62.741935;
