Nome: CUIABA
Codigo Estacao: 83361
Latitude: -15.61999999
Longitude: -56.10888888
Altitude: 157.7
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;24;355.5;31.596667;26.418;23.054839;82.691667;
2008-02-29;12;68.9;33.206897;26.926897;23.255172;79.422414;
2008-03-31;16;141;32.828571;26.795;23.122581;82.258929;
2008-04-30;5;null;null;null;null;null;
2008-05-31;null;null;null;null;null;null;
2008-06-30;null;null;null;null;null;null;
2008-07-31;null;null;null;null;null;null;
2008-08-31;null;null;null;null;null;null;
2008-09-30;null;null;null;null;null;null;
2008-10-31;null;null;null;null;null;null;
2008-11-30;null;null;null;null;null;null;
2008-12-31;null;null;null;null;null;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;null;null;null;null;null;null;
2009-03-31;null;null;null;null;null;null;
2009-04-30;1;null;null;null;null;null;
2009-05-31;6;49.7;32.470968;25.515484;21.16129;74.725806;
2009-06-30;3;45.2;29.616667;22.618;17.826667;76.275;
2009-07-31;2;29.7;32.196774;24.031333;18.603226;71;
2009-08-31;4;89.6;34.332258;25.652258;19.551613;62.064516;
2009-09-30;6;73.3;34.016667;27.080667;21.7;64.016667;
2009-10-31;7;175.6;35.096774;28.716667;24.03871;67.548387;
2009-11-30;19;111;34.376667;28.243333;23.663333;73.758333;
2009-12-31;19;353.9;33;26.898065;21.864516;78.629032;
2010-01-31;22;352.3;32.954839;26.910323;22.03871;79.201613;
2010-02-28;13;359.2;33.457143;27.476429;22.275;78.205357;
2010-03-31;17;352.1;34.496774;27.905161;24.26129;77.75;
2010-04-30;7;75.9;33.196667;26.582;22.196667;74.791667;
2010-05-31;4;26.7;31.003226;23.657419;18.619355;72.991935;
2010-06-30;1;2.6;33.543333;24.714667;18.51;65.041667;
2010-07-31;2;13.6;31.632258;22.81871;16.096774;64.072581;
2010-08-31;0;0;35.1;24.732645;16.854839;53.362903;
2010-09-30;2;3.6;38.033333;29.361333;22.46;54.108333;
2010-10-31;9;137;35.825806;28.712258;23.664516;63.814516;
2010-11-30;9;140.7;32.973333;27.037333;22.886667;75.816667;
2010-12-31;14;132.8;34.074194;27.642581;23.706452;76.266129;
2011-01-31;24;337.2;33.035484;26.815484;23.735484;81.104839;
2011-02-28;24;370.9;32.407143;26.817143;23.446429;81.5625;
2011-03-31;19;365.4;32.451613;26.749677;23.687097;82.75;
2011-04-30;10;163.4;34.003333;27.464;23.436667;75.483333;
2011-05-31;1;2.4;31.687097;24.763871;19.758065;72.443548;
2011-06-30;1;22.2;32.603333;24.01;18.236667;73.8;
2011-07-31;2;.7;33.3;24.247097;17.883871;67.080645;
2011-08-31;3;14.3;35.487097;26.01871;18.690323;61.040323;
2011-09-30;1;3;37.136667;28.960667;22.683333;57.291667;
2011-10-31;11;125.8;35.351613;28.523871;23.683871;65.806452;
2011-11-30;7;119.7;35.34;28.594;23.763333;66.008333;
2011-12-31;14;148;33.948387;27.36129;22.006452;75.443548;
2012-01-31;15;291.9;32.590323;26.421935;21.516129;82.91129;
2012-02-29;17;284.6;33.327586;26.496552;22.044828;80.258621;
2012-03-31;13;244.7;33.322581;26.391613;21.825806;79.191667;
2012-04-30;8;51.1;33.79;27.146;22.8;77.258333;
2012-05-31;7;264.2;32.029032;25.029677;19.448387;74.879032;
2012-06-30;5;33.3;31.006667;24.075333;18.42;78.583333;
2012-07-31;0;0;32;23.291333;16.219355;67.916667;
2012-08-31;0;0;35.858065;25.682581;16.864516;50.193548;
2012-09-30;5;40.8;37.983333;28.438;19.593333;49.158333;
2012-10-31;4;26;36.816129;29.223871;22.245161;58.209677;
2012-11-30;16;161.8;34.126667;null;null;74.5;
2012-12-31;19;222.2;33.858065;null;null;71.467742;
2013-01-31;18;194.2;32.245161;null;null;81;
2013-02-28;20;268.6;32.185714;null;null;81.767857;
2013-03-31;null;316.9;33.33871;27.556129;23.503226;79.209677;
2013-04-30;null;79.2;32.343333;26.679286;22.423333;75.603448;
2013-05-31;null;20;32.212903;25.623226;20.835484;72.120968;
2013-06-30;null;47.2;33.26;26.091333;20.853333;72.183333;
2013-07-31;null;10.6;32.209677;23.964;17.532258;64.216667;
2013-08-31;null;0;33.803226;24.223333;16.073333;51.604839;
2013-09-30;null;45.9;35.75;28.394667;21.893333;57.091667;
2013-10-31;null;139.4;34.629032;28.169032;23.509677;68.104839;
2013-11-30;null;175.5;33.74;28.051724;24.010345;73.341667;
2013-12-31;null;226.9;33.009677;27.42069;23.493333;76.846774;
2014-01-31;null;325.9;33.093548;26.476774;22.783871;77.685484;
2014-02-28;null;284.9;31.925;26.351429;22.782143;80.169643;
2014-03-31;null;260.2;33.012903;27.143571;23.392857;78.103448;
2014-04-30;null;120.9;33.05;27.104667;22.903333;77.6;
2014-05-31;null;142.5;31.112903;25.153103;20.43;74.225806;
2014-06-30;null;9.2;31.026667;24.523571;20.16;72.958333;
2014-07-31;null;48.6;31.022581;23.312258;17.880645;70.677419;
2014-08-31;null;0;35.248387;26.447333;19.122581;55.129032;
2014-09-30;null;46.9;37;29.468;23.72;58.725;
2014-10-31;null;50.2;36.819355;29.430968;24.145161;67.435484;
2014-11-30;null;231.3;34.533333;28.528667;24.016667;69.775;
2014-12-31;null;155.9;33.13871;27.43871;23.732258;74.830645;
2015-01-31;null;270.9;34.096774;27.550323;23.132258;73.274194;
2015-02-28;null;328.6;33.325;27.337778;23.337037;76.598214;
2015-03-31;null;320.1;33.493548;27.155333;23.143333;77.830645;
2015-04-30;null;104.3;32.873333;27.068667;23.313333;78.025;
2015-05-31;null;35.2;31.922581;26.320667;21.96;75.185484;
2015-06-30;null;2;32.844828;24.981429;19.141379;67.65;
2015-07-31;null;23.1;31.9;24.515333;18.329032;67.782258;
2015-08-31;null;0;36.819355;27.605333;19.463333;50.096774;
2015-09-30;null;24.9;37.624138;29.846207;23.513333;52.758333;
2015-10-31;null;27.8;35.32;null;24.332258;61.790323;
2015-11-30;null;113.3;null;null;24.634483;71.516667;
2015-12-31;null;132.2;null;null;24.493333;68.653226;
2016-01-31;null;256.8;null;null;24.306897;80.241667;
2016-02-29;null;213.9;null;null;24.135714;73.401786;
2016-03-31;null;178.4;null;null;23.773333;77.083333;
2016-04-30;null;98.6;34.06;27.111333;22.666667;70.741667;
2016-05-31;null;1.6;31.496774;25.474483;20.837931;73.443548;
2016-06-30;null;7.2;29.896667;22.982;17.476667;71.516667;
2016-07-31;null;0;34.025806;23.927143;16.353571;62.419355;
2016-08-31;null;45;34.929032;26.189677;19.229032;62.854839;
2016-09-30;null;41.3;34.317241;27.109655;20.946667;56.913793;
2016-10-31;null;257.5;35.190323;28.038065;22.9;62.548387;
2016-11-30;null;270.6;33.356667;27.072414;23.175862;76.483333;
2016-12-31;null;255;33.454839;27.314194;23.96129;77.798387;
2017-01-31;null;209;33.474194;27.223448;23.76129;75.620968;
2017-02-28;null;267.3;32.632143;27.106429;23.503571;77.5625;
2017-03-31;null;227;33.43871;27.385161;23.677419;76.475806;
2017-04-30;null;130.5;33.38;27.146667;22.96;75.983333;
2017-05-31;null;56.1;33.254839;27.072258;22.741935;74.427419;
2017-06-30;null;0;32.073333;24.128;18.23;68.741667;
2017-07-31;null;.2;33.16129;23.330968;15.351613;54.443548;
2017-08-31;null;30.5;36.135484;27.327742;19.893548;53.895161;
2017-09-30;null;36.8;37.79;29.08;21.9;48.366667;
2017-10-31;null;124.4;35.606452;28.387742;23.045161;64.241935;
2017-11-30;null;232.4;34.768966;28.656552;24.23;72.383333;
2017-12-31;null;309.1;33.213333;27.626;24.267742;75.35;
2018-01-31;null;384.1;33.567742;27.363871;23.935484;76.862903;
2018-02-28;null;478.5;33.357143;27.268571;23.957143;78.741071;
2018-03-31;null;181.5;33.635484;27.708387;24.554839;81.112903;
2018-04-30;null;134.5;33.186667;26.926;22.996667;75.125;
2018-05-31;null;32.4;32.809677;25.319355;19.558065;69.314516;
2018-06-30;null;.7;30.034483;22.66;17.423333;73.939655;
2018-07-31;null;1;32.345161;23.742667;16.72;64.419355;
2018-08-31;null;9.8;33.896774;25.189032;18.33871;56.5;
2018-09-30;null;66.2;37.203333;28.229655;21.626667;54.683333;
2018-10-31;null;140.9;34.983871;28.611613;24.467742;70.991935;
2018-11-30;null;446.8;33.686667;27.969333;24.633333;76.108333;
2018-12-31;17;254.3;33.993548;28.052903;24.219355;71.282258;
2019-01-31;null;184.3;33.893548;27.546452;23.506452;74.25;
2019-02-28;null;212.5;33.678571;27.883571;24.107143;75.669643;
2019-03-31;null;152.3;33.890323;28.089333;24.009677;75.108333;
2019-04-30;null;272.1;33.116667;27.058;23.456667;78.908333;
2019-05-31;null;87.7;31.962069;25.193793;20.345161;75.408333;
2019-06-30;null;0;33.523333;25.217333;18.89;67.291667;
2019-07-31;null;0;33.16129;23.836667;17.313333;60.83871;
2019-08-31;null;0;35.383871;26.374667;18.941935;61.072581;
2019-09-30;null;14.4;38.634483;30.568;23.882759;54.425;
2019-10-31;null;86;36.806452;29.454194;23.777419;63.185484;
2019-11-30;null;115.9;35.563333;28.767333;24.32;70.558333;
2019-12-31;null;133.4;33.748387;28.471429;24.996429;76.137097;
2020-01-31;11;156.5;35.093333;29.22;24.96;81.933333;
2020-02-29;8;null;33.306897;27.663704;24.241379;87.598214;
2020-03-31;7;84.8;35.309677;28.692903;23.951613;81.137097;
2020-04-30;7;65.8;34.17;27.444828;22.634483;75.758333;
2020-05-31;null;68.2;31.793333;24.351333;18.793548;71.75;
2020-06-30;0;0;33.789655;25.276667;19.156667;64.516667;
2020-07-31;null;0;34.66129;25.358;17.416667;52.814516;
2020-08-31;null;0;36.72069;28.082222;19.527586;42.706897;
2020-09-30;2;6.8;38.476667;30.28069;23.141379;43.5;
2020-10-31;12;165.4;38.122581;30.665161;25.419355;54.354839;
2020-11-30;null;95.1;36.886207;29.610345;24.453333;58.137931;
2020-12-31;12;102.9;35.513333;29.082;24.590323;66.616667;
2021-01-31;18;154.5;34.226667;27.926452;23.93871;73.846774;
2021-02-28;10;123.7;34.157143;27.9296;23.771429;70.660714;
2021-03-31;16;100.7;33.7;27.349032;23.319355;74.701613;
2021-04-30;9;48.1;33.86;26.954483;22.316667;70.458333;
2021-05-31;1;6.2;33.132258;25.746897;19.416129;63.458333;
2021-06-30;1;9.2;32.966667;24.708276;18.643333;62.933333;
2021-07-31;0;0;33.866667;23.619286;15.119355;45.846774;
2021-08-31;0;0;36.896774;27.523333;19.103226;39.048387;
2021-09-30;3;55.2;39.353333;31.132;24.546667;46.2;
2021-10-31;8;101.8;37.051613;30.086;24.958065;58.666667;
2021-11-30;14;217.1;33.313333;27.952414;23.97;74.206897;
2021-12-31;19;247.5;33.812903;28.314839;24.396774;76.096774;
2022-01-31;17;202.6;33.893548;27.663871;23.616129;76.5;
2022-02-28;20;234.7;33.621429;27.572857;23.803571;76.6875;
2022-03-31;15;396.9;33.02;26.987742;23.303226;79.951613;
2022-04-30;5;92.9;34.026667;27.186667;22.336667;72.4;
2022-05-31;0;0;31.858065;23.8992;17.203226;76.362903;
2022-06-30;5;42.6;30.846667;23.461333;17.933333;78;
2022-07-31;0;0;35.33871;25.241379;17.241935;62.112903;
2022-08-31;4;36.3;35.006452;25.424667;17.470968;57.375;
2022-09-30;3;67;36.223333;28.602;22.236667;57.016667;
2022-10-31;8;54.1;35.016129;28.74;23.864516;64.91129;
2022-11-30;4;31.9;35.842857;28.477778;21.096429;57.416667;
2022-12-31;13;86.7;34.558065;28.460667;24.551613;71.774194;

