Nome: PADRE RICARDO REMETTER
Codigo Estacao: 83364
Latitude: -15.7761111
Longitude: -56.07194443
Altitude: 140
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;24;332.2;31.516129;26.219355;22.987097;84.467742;
2008-02-29;17;155.5;32.662069;26.462069;22.786207;81.37931;
2008-03-31;17;164.8;32.519355;26.640645;22.86129;82.645161;
2008-04-30;12;159.6;31.563333;25.384;21.323333;83.025;
2008-05-31;6;52.5;29.848387;22.824516;18.23871;82.419355;
2008-06-30;0;0;29.433333;21.791333;16.723333;81.991667;
2008-07-31;0;0;34.316667;22.958667;15.209677;63.116667;
2008-08-31;1;12;36.351613;26.020645;17.490323;55.387097;
2008-09-30;3;28.7;35.183333;26.084;18.863333;57.016667;
2008-10-31;8;82.4;35.309677;27.929032;22.454839;66.91129;
2008-11-30;11;84.6;35.22;28.209655;23.453333;71.301724;
2008-12-31;19;460.6;33.523333;26.965333;22.903226;78.066667;
2009-01-31;11;152.9;33.76129;27.116129;22.845161;78.153226;
2009-02-28;15;243.6;32.928571;26.800714;23.025;83.071429;
2009-03-31;18;272.9;32.93871;26.75871;23.358065;85.524194;
2009-04-30;7;111.4;32.57;26.34;22.41;82.575;
2009-05-31;4;43.2;31.716129;24.903871;20.158065;81.137097;
2009-06-30;5;60.5;28.703333;21.755333;16.723333;83.575;
2009-07-31;3;13.4;31.480645;22.844516;17.26129;78.475806;
2009-08-31;4;22;33.580645;24.140645;17.448387;68.935484;
2009-09-30;8;77.1;33.663333;26.346667;20.833333;68.675;
2009-10-31;8;142.3;34.6;27.881935;22.964516;72.322581;
2009-11-30;15;183.2;33.686667;27.643333;23.75;76.5;
2009-12-31;18;364.4;32.654839;26.943871;23.219355;82.032258;
2010-01-31;17;290.5;32.558065;27.036129;23.222581;82.266129;
2010-02-28;8;170.4;33.342857;27.691429;23.953571;80.5;
2010-03-31;11;154.8;34.235484;27.550968;23.53871;80.75;
2010-04-30;4;146.8;32.733333;25.814;21.216667;80.641667;
2010-05-31;4;67.6;30.429032;22.66;17.474194;80.177419;
2010-06-30;0;0;32.83;23.132414;16.521429;71.891667;
2010-07-31;2;8.9;31.016129;21.212258;14.416129;68.782258;
2010-08-31;0;0;34.193548;23.185806;14.46129;54.532258;
2010-09-30;3;9.5;37.663333;28.2;20.196667;50.066667;
2010-10-31;8;73.2;35.335484;27.556129;21.687097;64.5;
