Nome: ARAGARCAS
Codigo Estacao: 83368
Latitude: -15.9025
Longitude: -52.24527777
Altitude: 327.03
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;24;392.8;31.045161;25.635484;22.016129;82.983871;
2008-02-29;17;161.3;31.657143;25.735862;22.175862;83.732759;
2008-03-31;18;310.7;31.703226;25.733548;21.809677;83.620968;
2008-04-30;14;208.2;32.153333;25.887333;21.833333;82.333333;
2008-05-31;1;3.8;31.767742;24.3;18.729032;77.145161;
2008-06-30;0;0;32.543333;23.503333;16.836667;65.383333;
2008-07-31;0;0;32.572;22.78;14.6;52.032258;
2008-08-31;0;0;null;null;17.129032;42.258065;
2008-09-30;5;21.4;36.993333;28.140667;20.426667;52.133333;
2008-10-31;7;61.3;36.512903;28.858065;22.764516;60.645161;
2008-11-30;10;113.3;33.83;27.481333;22.933333;70.633333;
2008-12-31;17;355.6;31.770968;26.270968;22.5;78.709677;
2009-01-31;13;302;33.438889;27.154444;21.922581;77.443548;
2009-02-28;18;279.5;31.788235;25.957647;22.282143;82.3125;
2009-03-31;13;169.1;33.070968;26.554839;22.374194;80.782258;
2009-04-30;9;116;32.136667;25.685333;21.133333;79.925;
2009-05-31;3;6.4;32.548387;24.963226;19.387097;72.330645;
2009-06-30;2;9.9;31.716667;23.181333;16.723333;68.075;
2009-07-31;0;0;33.73871;24.074667;16.516129;63.008065;
2009-08-31;3;24.2;34.648387;25.826452;18.519355;56.822581;
2009-09-30;6;24;36.283333;28.273333;22.136667;59.216667;
2009-10-31;13;83.9;34.641935;27.642581;22.487097;67.5;
2009-11-30;16;208.5;32.733333;26.932667;22.696667;77.275;
2009-12-31;24;452.1;31.135484;25.747097;22.26129;83.241935;
2010-01-31;22;265.4;31.980645;26.225161;22.464516;80.024194;
2010-02-28;16;242.3;33.635714;27.062143;22.435714;76.705357;
2010-03-31;20;302.4;33.235484;27.257419;22.977419;76.782258;
2010-04-30;6;26.7;33.78;26.542;20.743333;68.95;
2010-05-31;0;0;33.551613;24.776774;17.919355;64.290323;
2010-06-30;2;6.8;33.56;23.910667;16.373333;59.291667;
2010-07-31;0;0;34.074194;24.165806;16.13871;52.532258;
2010-08-31;0;0;35.848387;24.716129;15.041935;45.774194;
2010-09-30;2;14.4;38.413333;28.948;20.23;39.358333;
2010-10-31;6;46.5;36.996774;29.516774;23.425806;56.846774;
2010-11-30;14;168.3;33.07;26.846;22.396667;73.008333;
2010-12-31;20;182;32.267742;26.296774;22.358065;79.540323;
2011-01-31;20;368.7;32.119355;26.048387;21.703226;78.774194;
2011-02-28;17;199.4;32.585714;26.316429;22.125;76.866071;
2011-03-31;24;531.3;31.006452;25.353548;22.112903;84.701613;
2011-04-30;10;53.4;32.87;26.33;21.35;74.641667;
2011-05-31;1;4.4;32.970968;25.033548;18.429032;67.104839;
2011-06-30;1;28.6;32.343333;23.142667;16.166667;65.583333;
2011-07-31;1;3.6;33.290323;23.572258;15.680645;53.677419;
2011-08-31;0;0;36.429032;26.537419;17.906667;41.741935;
2011-09-30;1;4.2;37.696667;29.026667;21.203333;36.741667;
2011-10-31;13;139.6;33.970968;27.24129;22.170968;67.459677;
2011-11-30;12;120.2;31.906667;26.544;22.127586;71.216667;
2011-12-31;21;292.8;31.754839;25.912903;22.293548;79.330645;
2012-01-31;19;341.9;30.525806;25.073548;21.341935;81.395161;
2012-02-29;13;67.4;32.431034;26.086207;21.406897;71.853448;
2012-03-31;13;130.2;33.616129;26.630968;21.535484;72.072581;
2012-04-30;7;180.6;33.49;26.701333;21.91;73.125;
2012-05-31;3;11;31.732258;24.354839;19.132258;70.766129;
2012-06-30;2;11.2;33.51;24.547333;17.99;64.816667;
2012-07-31;0;0;33.741935;23.57871;15.464516;50.241935;
2012-08-31;0;0;34.929032;26.014839;17.725806;39.266129;
2012-09-30;4;34.8;37.36;28.576667;20.693333;41.366667;
2012-10-31;11;88.8;36.867742;29.444516;23.290323;53.830645;
2012-11-30;23;258.8;31.626667;26.339333;22.766667;78.616667;
2012-12-31;14;207.6;34.103226;27.360645;22.083871;70.314516;
2013-01-31;25;511.2;30.945161;25.916774;22.412903;81.524194;
2013-02-28;14;128.2;32.432143;26.584286;21.885714;74.392857;
2013-03-31;2;205.3;32.716667;26.734839;22.529032;77.024194;
2013-04-30;null;82.4;32.013333;25.869333;21.336667;72.725;
2013-05-31;null;17.8;33.267742;25.026452;18.316129;66.677419;
2013-06-30;null;37.3;32.57;25.136;19.3;68.6;
2013-07-31;null;0;33.222581;23.816129;16.035484;55.330645;
2013-08-31;null;0;35.003226;25.274194;16.225806;42.887097;
2013-09-30;null;20.5;36.463333;28.328;20.883333;46.091667;
2013-10-31;null;148.8;35.26129;28.148387;22.493548;62.41129;
2013-11-30;null;160.8;33.076667;26.836667;22.093333;72.966667;
2013-12-31;null;300.6;33.009677;26.429032;21.922581;78.491935;
2014-01-31;null;304.4;32.825806;26.340645;21.122581;73.451613;
2014-02-28;null;247.8;31.928571;25.941429;21.103571;77.214286;
2014-03-31;null;144.4;32.309677;26.08129;21.758065;78.870968;
2014-04-30;null;92.4;33.406667;26.598;21.59;75.425;
2014-05-31;null;0;33.519355;25.686452;19.86129;64.354839;
2014-06-30;null;7.6;33.15;24.201333;15.146667;62.941667;
2014-07-31;null;27.2;32.777419;23.610968;13.990323;56.846774;
2014-08-31;null;0;36.019355;25.591613;14.429032;45.290323;
2014-09-30;null;30.4;36.79;28.409333;19.12;51.7;
2014-10-31;null;124;36.806452;29.327097;22.432258;53.467742;
2014-11-30;null;70.5;33.516667;27.247333;22.64;72.666667;
2014-12-31;null;246.9;31.209677;25.992903;22.26129;80.435484;
2015-01-31;null;144.2;34.367742;27.474194;22.03871;71.120968;
2015-02-28;null;344.3;32.453571;26.342857;21.825;76.75;
2015-03-31;null;282.2;31.487097;25.370323;21.096774;81.225806;
2015-04-30;null;94.6;33.553333;26.945333;22.403333;75.666667;
2015-05-31;6;139.4;31.316129;25.129032;20.151613;74.967742;
2015-06-30;null;0;32.09;24.785333;18.486667;66.766667;
2015-07-31;null;19.8;33.341935;24.280645;16.929032;61.645161;
2015-08-31;null;.8;35.919355;26.16;16.912903;47.024194;
2015-09-30;null;36.6;37.726667;28.859333;20.9;51.333333;
2015-10-31;null;133.5;37.877419;29.858065;23.229032;57.701613;
2015-11-30;null;172.1;35.646667;28.771333;23.043333;66.891667;
2015-12-31;null;132.8;34.822581;28.145161;23.267742;69.080645;
2016-01-31;null;378;31.464516;26.28129;22.758065;83.201613;
2016-02-29;null;169.8;34.006897;27.512414;22.486207;72.87069;
2016-03-31;null;157;33.167742;27.32;22.977419;76.25;
2016-04-30;null;14.2;35.596667;28.176667;21.586667;65.708333;
2016-05-31;null;.8;34.951613;27.031613;20.245161;65.177419;
2016-06-30;null;0;33.88;24.802667;16.77;62.175;
2016-07-31;null;0;34.819355;24.702581;15.441935;53.798387;
2016-08-31;null;27.2;35.874194;26.527097;18.174194;55.862903;
2016-09-30;null;27.6;37.396667;29.184;21.276667;51.983333;
2016-10-31;null;74.6;35.603226;28.350968;22.432258;65.169355;
2016-11-30;null;274.2;32.78;26.857333;22.383333;77.358333;
2016-12-31;null;163.4;33.058065;26.903226;22.2;78.741935;
2017-01-31;null;146.2;32.83871;26.734839;22.212903;80.677419;
2017-02-28;null;217.8;32.053571;26.12;21.85;81.276786;
2017-03-31;null;173.4;33.629032;27.094839;22.283871;75.41129;
2017-04-30;null;48.2;34.073333;27.548667;22.28;71.566667;
2017-05-31;null;78.4;33.687097;26.526452;20.696774;70.209677;
2017-06-30;null;0;33.253333;25.01;18.283333;62.45;
2017-07-31;null;0;31.880645;23.031613;14.648387;51.532258;
2017-08-31;null;0;36.719355;27.256774;18.393548;42.983871;
2017-09-30;null;63.8;37.44;28.622667;19.5;41.108333;
2017-10-31;null;72.2;37.232258;29.513548;22.651613;52.782258;
2017-11-30;16;313.1;32.88;27.068;22.52;74.3;
2017-12-31;null;258.6;31.203226;25.969032;22.203226;82.120968;
2018-01-31;null;255.4;31.564516;26.065161;21.816129;81.225806;
2018-02-28;null;154.6;32.578571;26.600714;22.075;79.767857;
2018-03-31;null;166.1;33.380645;27.190667;21.596774;75.919355;
2018-04-30;null;86.7;32.173333;25.867333;19.793333;74.583333;
2018-05-31;null;32.4;33.223333;24.847333;16.896774;65.532258;
2018-06-30;null;0;33.086207;23.988966;15.26;63.327586;
2018-07-31;null;0;33.93871;23.46129;13.529032;53.887097;
2018-08-31;null;25.8;36.080645;26.492258;17.154839;52.274194;
2018-09-30;null;53.5;36.33;27.059333;18.226667;55.308333;
2018-10-31;null;261.6;33.793548;27.265806;21.293548;71.459677;
2018-11-30;null;540;32.123333;26.002;20.96;73.7;
2018-12-31;null;237.1;33.666667;27;20.745161;72.433333;
2019-01-31;null;194.3;34.435484;27.367742;20.754839;69.41129;
2019-02-28;16;204.6;32.828571;26.387143;20.814286;75.964286;
2019-03-31;16;179.8;32.896774;26.658065;20.66129;69.41129;
2019-04-30;8;145.4;33.433333;26.712667;20.47;59.241667;
2019-05-31;5;16.6;33.541935;26.024516;18.829032;49.895161;
2019-06-30;null;0;32.993333;24.070667;14.936667;53.933333;
2019-07-31;1;.6;33.46129;23.507097;13.693548;52.717742;
2019-08-31;null;0;35.874194;27.133548;17.764516;45.258065;
2019-09-30;null;11.6;39.08;30.165333;19.42;31.875;
2019-10-31;null;46.9;36.651613;29.027097;20.854839;55.266129;
2019-11-30;16;151.4;34.316667;27.33931;20.876667;69.675;
2019-12-31;19;286.1;32.722581;26.377857;19.954839;77.612069;
2020-01-31;21;275.3;33.174194;27.017419;20.874194;77.822581;
2020-02-29;19;322.6;32.289655;26.318621;20.47931;79.353448;
2020-03-31;14;193.3;32.887097;26.632414;20.529032;77.891667;
2020-04-30;9;115;33.186667;26.831034;20.05;73.181034;
2020-05-31;2;2;31.753571;24.234074;15.7;69.830357;
2020-06-30;null;0;33.307692;24.657692;14.662963;61.730769;
2020-07-31;null;0;33.892857;24.7475;13.822222;53.673077;
2020-08-31;null;0;35.948;27.026;15.153846;42.46875;
2020-09-30;1;12.8;38.453846;29.616667;18.092308;38.375;
2020-10-31;12;132.8;37.1;29.091538;20.671429;55.314815;
2020-11-30;8;33.2;34.656;28.56;20.432;56.673913;
2020-12-31;21;371.5;33.092593;27.105455;20.441935;73.046296;
2021-01-31;16;169.4;32.915385;26.5968;20.282759;76.298077;
2021-02-28;17;225.8;32.112;26.926;20.211111;78.836957;
2021-03-31;12;120.8;31.718519;25.725385;19.113793;77.185185;
2021-04-30;7;34.2;33.396154;26.286364;18.435714;66.228261;
2021-05-31;1;.2;33.715385;25.283846;16.040741;60.221154;
2021-06-30;null;0;33.180769;24.901739;14.361538;56.846154;
2021-07-31;null;0;33.188889;22.616;10.937037;45.777778;
2021-08-31;null;0;36.340741;26.667826;15.069231;40.788462;
2021-09-30;null;0;39.565385;30.398095;19.673077;36.259615;
2021-10-31;11;105.7;34.973077;28.512727;20.792593;59.048077;
2021-11-30;21;225;32.188462;26.344;20.151852;76.951923;
2021-12-31;20;262.1;32.05;26.370476;20.060714;76.116071;
2022-01-31;18;197;31.503846;25.805;19.419231;76.115385;
2022-02-28;17;221.1;31.508333;25.803333;19.326087;78.09375;
2022-03-31;11;130.9;32.644444;26.6216;19.6;73.638889;
2022-04-30;2;5.5;35.276923;27.593077;18.865385;61.240385;
2022-05-31;null;0;32.292308;23.5168;14.004;56.528846;
2022-06-30;null;0;33.352;24.3125;14.776923;55.884615;
2022-07-31;null;0;34.27037;24.0632;12.242308;48.055556;
2022-08-31;1;.3;35.466667;25.6872;13.532;38.083333;
2022-09-30;4;59.1;37;27.959167;15.988462;44.55;
2022-10-31;10;80.7;34.546154;28.248571;20.581818;56.548077;
2022-11-30;9;93.6;33.546154;26.8575;17.057692;61.163462;
