Nome: GOIAS
Codigo Estacao: 83374
Latitude: -15.93972221
Longitude: -50.14194444
Altitude: 508.68
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2017-10-02
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;23;328.4;30.690323;24.769677;21.077419;78.927419;
2008-02-29;20;311.6;31.224138;24.826897;21.034483;81.37931;
2008-03-31;25;294.3;31.177419;24.523226;20.8;82.379032;
2008-04-30;16;165.1;32.02;25.064;20.933333;78.125;
2008-05-31;1;12.7;32.035484;24.072903;18.883871;61.790323;
2008-06-30;0;0;31.856667;23.311333;17.65;56.158333;
2008-07-31;1;21.3;32;23.22;17.267742;null;
2008-08-31;1;.6;34.887097;25.98129;19.680645;38.08871;
2008-09-30;8;37.7;36.403333;27.644667;21.39;null;
2008-10-31;15;77.5;35.593548;27.69871;22.316129;56.177419;
2008-11-30;20;227.3;32.713333;25.804667;21.616667;73.691667;
2008-12-31;24;453.1;30.609677;24.763871;21;81.798387;
2009-01-31;20;281.5;32.16129;25.549032;21.374194;null;
2009-02-28;23;266.4;33.164286;25.322857;21.096429;79.116071;
2009-03-31;16;405.8;34.112903;25.747742;21.074194;77.322581;
2009-04-30;12;183.4;32.68;24.956667;20.29;76.033333;
2009-05-31;7;20.3;33.106452;24.391613;19.351613;70.451613;
2009-06-30;2;16;32.6;23.113333;17.4;62.305556;
2009-07-31;1;.6;34.409677;24.427742;18.106452;53.290323;
2009-08-31;3;27.2;34.803226;26.022581;20.164516;null;
2009-09-30;11;100.3;36.373333;27.684;22.193333;58.125;
2009-10-31;18;253.8;34.03871;26.114194;21.441935;73.147059;
2009-11-30;20;227.9;33.38;26.162667;21.8;77.975;
2009-12-31;23;555.3;31.680645;25.098065;21.235484;null;
2010-01-31;16;120.2;33.903226;26.323226;21.783871;null;
2010-02-28;16;160.4;34.914286;26.733571;21.764286;71.75;
2010-03-31;20;197.1;33.667742;26.195484;21.993548;77.5;
2010-04-30;4;80.9;34.68;26.046667;20.686667;64.475;
2010-05-31;0;0;34.783871;25.132903;19.183871;58.024194;
2010-06-30;1;3.5;34.33;24.213333;17.7;51.941667;
2010-07-31;1;2.6;34.719355;25.28;19.803226;null;
2010-08-31;0;0;36.264516;26.06;19.187097;37.693548;
2010-09-30;1;1.1;38.95;29.765333;24.15;35;
2010-10-31;13;151.5;36.245161;27.610323;22.332258;64.887097;
2010-11-30;17;254.5;32.906667;25.56;20.963333;76.516667;
2010-12-31;22;244.4;32.66129;25.916774;21.783871;null;
2011-01-31;23;512.1;31.625806;24.961935;20.977419;null;
2011-02-28;20;105.7;32.932143;25.480714;21.435714;80.133929;
2011-03-31;27;383.5;31.864516;24.797419;20.980645;83.75;
2011-04-30;6;67.9;34.203333;25.874667;20.756667;69.575;
2011-05-31;0;0;33.929032;24.854194;19.203226;60.701613;
2011-06-30;2;36;33.186667;23.452;17.25;60.583333;
2011-07-31;0;0;34.380645;24.274194;17.703226;52.40625;
2011-08-31;0;0;37.129032;26.944516;19.829032;42.177419;
2011-09-30;2;6.9;38.373333;28.432667;21.986667;38.85;
2011-10-31;17;219.3;33.787097;26.074194;21.370968;70.306452;
2011-11-30;19;288.2;32.623333;25.263333;20.743333;75.525;
2011-12-31;26;322;31.709677;24.814839;21.13871;83.266129;
2012-01-31;26;549.7;31.435484;24.421935;20.570968;null;
2012-02-29;21;248.4;33.303448;25.101379;20.517241;75.310345;
2012-03-31;14;143.7;34.483871;26.007097;21.229032;72.669355;
2012-04-30;7;73.9;35.253333;26.696;21.633333;69.791667;
2012-05-31;3;10.7;33.448387;24.810323;19.658065;63.258065;
2012-06-30;4;42.5;34.1;25.053333;19.57;61.875;
2012-07-31;1;.2;34.296774;24.549032;18.329032;48.959677;
2012-08-31;0;0;34.806452;26.047097;20.46129;37.90625;
2012-09-30;5;12.4;37.78;28.404;22.423333;32.183333;
2012-10-31;6;21.6;38.067742;29.215484;23.483871;49.41129;
2012-11-30;26;285;32.03;25.460667;21.75;80.475;
2012-12-31;19;140.8;33.967742;26.767742;22.03871;73.217742;
2013-01-31;26;376.3;31.087097;25.076129;21.690323;null;
2013-02-28;19;117.9;34.292857;26.150714;21.417857;75.276786;
2013-03-31;22;131;34.06129;26.205806;21.870968;77.217742;
2013-04-30;6;99.4;33.446667;25.606667;21.17;71.7;
2013-05-31;2;29.1;34.377419;25.214839;19.390323;61.967742;
2013-06-30;4;8.3;33.603333;24.749333;19.433333;64.35;
2013-07-31;null;0;34.116129;24.320645;18.035484;51.177419;
2013-08-31;null;0;35.787097;26.091613;19.390323;42.205882;
2013-09-30;4;26.9;36.703333;27.936;22.383333;43.25;
2013-10-31;13;144.9;35.574194;27.126452;22.251613;66.125;
2013-11-30;20;232;33.143333;25.469333;20.953333;77.725;
2013-12-31;27;315.5;32.303226;25.361935;21.403226;81.774194;
2014-01-31;3;223.6;33.967742;25.725806;20.63871;null;
2014-02-28;null;232.6;33.167857;25.459286;20.828571;75.616071;
2014-03-31;null;257.6;33.022581;25.477419;21.025806;79.580645;
2014-04-30;null;74.3;33.616667;25.710667;21.313333;78.716667;
2014-05-31;null;.4;34.048387;24.925806;19.235484;null;
2014-06-30;null;1.1;33.506667;24.304667;18.666667;61.9;
2014-07-31;null;.6;33.280645;24.509677;18.606452;50.870968;
2014-08-31;null;0;36.019355;26.601935;19.777419;40.785714;
2014-09-30;null;38.8;37.943333;28.776;22.876667;49.975;
2014-10-31;null;66.4;37.606452;28.852903;22.948387;47.25;
2014-11-30;null;256.3;33.47;26.176;21.57;74.316667;
2014-12-31;null;227.5;30.087097;24.987742;21.358065;78.475806;
2015-01-31;null;153.1;33.854839;26.396129;21.435484;null;
2015-02-28;null;442.9;31.621429;25.287143;21.264286;77.669643;
2015-03-31;null;252.4;30.887097;24.852258;20.970968;81.306452;
2015-04-30;null;74.4;32.436667;25.612;21.556667;79.783333;
2015-05-31;null;70.7;32.129032;24.570968;19.948387;69.453125;
2015-06-30;null;0;33.33;24.582667;19.446667;59.966667;
2015-07-31;null;2;33.925806;24.541935;18.287097;54.846774;
2015-08-31;null;4.4;36.406452;26.5;19.893548;44.833333;
2015-09-30;null;25.8;39.451724;29.305333;22.226667;48.225;
2015-10-31;null;65;null;null;23.470968;50.285714;
2015-11-30;null;81.8;null;null;23.013333;66.866667;
2015-12-31;null;148.5;null;null;22.319355;72.041667;
2016-01-31;null;461.6;null;null;22.112903;null;
2016-02-29;null;126.3;null;null;22.293103;76.055556;
2016-03-31;null;180.3;null;null;22.319355;74.330645;
2016-04-30;null;0;null;null;21.63;58.1;
2016-05-31;null;1.2;null;null;21.545161;55.959677;
2016-06-30;null;0;null;null;18.766667;53.083333;
2016-07-31;null;0;null;null;18.922581;46.290323;
2016-08-31;null;47.4;null;null;20.612903;42.464286;
2016-09-30;null;64.5;null;null;22.556667;43.7;
2016-10-31;null;117.7;34.406452;27.085161;22.058065;62.27381;
2016-11-30;null;288.9;31.936667;25.846667;22.096667;75.358333;
2016-12-31;null;129.6;32.56129;26.237419;22.054839;71.451613;
2017-01-31;null;190.5;32.316129;26.080645;21.822581;null;
2017-02-28;null;236.2;31.528571;25.202857;21.264286;78.044643;
2017-03-31;null;290.1;32.432258;25.816129;21.732258;77.620968;
2017-04-30;null;105.4;32.626667;26.020667;21.86;72.958333;
2017-05-31;null;31.3;32.912903;25.479333;20.787097;62.77381;
2017-06-30;null;0;32.126667;24.611333;19.54;58.9625;
2017-07-31;null;0;30.596774;22.845161;17.7;47.5;
2017-08-31;null;0;35.716129;27.002581;20.683871;41.357143;
2017-09-30;null;5.8;36.463333;28.729333;23.283333;34.066667;
2017-10-31;null;null;null;null;null;null;

