Nome: PIRENOPOLIS
Codigo Estacao: 83376
Latitude: -15.85472222
Longitude: -48.96611111
Altitude: 766.92
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;21;300.5;29.577419;23.379355;19.5;80.443548;
2008-02-29;24;397;30.003448;23.094483;19.417241;83.672414;
2008-03-31;25;195.1;29.76129;23.071613;19.206452;83.854839;
2008-04-30;13;166;30.653333;23.338;18.663333;78.65;
2008-05-31;2;2.6;30.125806;21.416129;15.56129;66.943548;
2008-06-30;0;0;30.133333;20.709333;14.166667;59.9;
2008-07-31;0;0;30.03871;20.176129;13.148387;50.129032;
2008-08-31;0;0;32.774194;22.994839;15.380645;41.217742;
2008-09-30;7;67.9;34.533333;25.032;17.853333;44.691667;
2008-10-31;9;50.9;33.96129;25.898065;19.690323;53.887097;
2008-11-30;22;234.4;31.066667;24.223333;19.64;75.683333;
2008-12-31;26;378.1;29.351613;23.325806;19.493548;82.524194;
2009-01-31;20;227.9;30.635484;23.887742;19.422581;79.75;
2009-02-28;24;328.9;30.882143;23.716429;19.035714;79.919643;
2009-03-31;19;280;31.532258;23.92129;19.06129;79.354839;
2009-04-30;19;226.8;29.986667;22.834;18.436667;79.566667;
2009-05-31;4;30.9;29.903226;21.716774;16.335484;73.725806;
2009-06-30;2;11.9;29.46;20.463333;14.61;69.441667;
2009-07-31;0;0;30.903226;21.252903;14.396774;57.016129;
2009-08-31;3;44.5;31.564516;23.078065;16.922581;51.064516;
2009-09-30;14;95.3;32.516667;24.586667;18.983333;63.666667;
2009-10-31;21;243.8;31.390323;23.925806;19.409677;76.483871;
2009-11-30;24;257.5;31.35;24.259333;19.86;78.233333;
2009-12-31;24;337.7;28.948387;23.254839;19.729032;83.403226;
2010-01-31;22;236.5;31.074194;23.985161;19.26;77.645161;
2010-02-28;16;223.8;31.817857;24.515;19.446429;75.991071;
2010-03-31;25;210.8;31.270968;24.172258;19.83871;81.887097;
2010-04-30;7;216.9;31.363333;23.282667;18.176667;71.866667;
2010-05-31;1;.4;31.819355;22.14129;15.703226;66.298387;
2010-06-30;1;15.5;31.266667;20.822667;14.126667;59.491667;
2010-07-31;0;0;31.1;22.358065;16.325806;48.524194;
2010-08-31;0;0;32.832258;22.802581;15.416129;39.225806;
2010-09-30;1;9.4;35.023333;26.268;19.023333;34.3;
2010-10-31;18;188.7;32.848387;25.373548;20.116129;68.75;
2010-11-30;22;320.5;29.773333;23.472;19.473333;80.316667;
2010-12-31;27;420.5;29.664516;23.732258;19.809677;82.25;
2011-01-31;26;236;29.187097;23.39871;19.322581;81.540323;
2011-02-28;22;288.2;30.232143;23.535714;19.582143;81.035714;
2011-03-31;29;336.5;29.841935;23.441935;19.767742;84.879032;
2011-04-30;8;34.4;31.443333;23.726667;18.62;71.608333;
2011-05-31;1;21.7;30.748387;22.097419;16.264516;64.483871;
2011-06-30;2;8.4;30.043333;20.461333;14.353333;64.391667;
2011-07-31;0;0;31.33871;21.047742;13.990323;53.419355;
2011-08-31;0;0;34.229032;23.945161;16.274194;39.16129;
2011-09-30;3;6.1;34.9;25.206;17.49;35.183333;
2011-10-31;17;212.2;30.674194;23.73871;19.23871;73.104839;
2011-11-30;20;233.5;29.626667;23.230667;18.756667;77.025;
2011-12-31;27;264;29.132258;23.275484;19.66129;82.830645;
2012-01-31;27;326.8;28.7;22.684516;19.2;83.379032;
