Nome: MONTE AZUL
Codigo Estacao: 83388
Latitude: -15.160374
Longitude: -42.866344
Altitude: 623.22
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2016-01-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;9;112.7;31.296774;25.592258;21.019355;63.241935;
2008-02-29;11;114.7;31.558621;25.715862;21.337931;68.293103;
2008-03-31;13;133.8;29.793548;null;null;73.064516;
2008-04-30;9;92.3;30.54;null;null;69.866667;
2008-05-31;1;.8;30.409677;null;null;55.459677;
2008-06-30;1;.1;28.413333;null;null;56.775;
2008-07-31;1;.3;28.1;null;null;51.919355;
2008-08-31;0;0;30.654839;null;null;42.935484;
2008-09-30;2;3;32.58;null;null;44.225;
2008-10-31;0;0;34.783871;null;null;36.645161;
2008-11-30;15;222.2;30.13;null;null;65.833333;
2008-12-31;17;118.2;null;null;null;73.741935;
2009-01-31;14;164.3;31.206452;null;null;72.927419;
2009-02-28;5;70;33.4;26.462;21.465;60.366071;
2009-03-31;10;53.4;33.570968;26.663704;22.148276;63.62963;
2009-04-30;1;18;null;null;null;null;
2009-05-31;3;13.5;29.264516;23.372903;18.419355;63.233871;
2009-06-30;1;4.6;29.616667;23.468;18.093333;58.033333;
2009-07-31;1;.4;30.396774;23.783226;17.741935;51.282258;
2009-08-31;0;0;30.977419;24.359355;18.683871;48.854839;
2009-09-30;2;3.9;34.44;27.584667;21.266667;42.333333;
2009-10-31;11;182.4;32.829032;26.675484;21.532258;58.032258;
2009-11-30;4;57.7;32.906667;26.431333;20.913333;55.858333;
2009-12-31;15;170.1;31.280645;25.46;20.793548;67.629032;
2010-01-31;13;82.4;32.790323;26.069032;20.667742;61.201613;
2010-02-28;11;71.8;34.214286;26.997143;21.403571;57.107143;
2010-03-31;15;192.1;31.454839;25.391613;20.677419;73.451613;
2010-04-30;3;38.5;30.86;24.948;19.513333;63.833333;
2010-05-31;2;6.6;31.996774;25.492903;19.26129;57.112903;
2010-06-30;0;0;29.853333;22.814;16.336667;51.108333;
2010-07-31;1;.6;29.070968;22.895484;17.329032;51.83871;
2010-08-31;0;0;30.503226;23.161935;16.216129;46.983871;
2010-09-30;1;.2;32.806667;25.161333;18.07;47.3;
2010-10-31;3;7.5;35.542105;28.396842;21.515789;49.282258;
2010-11-30;19;220.1;null;null;null;67.633333;
2010-12-31;16;209.4;31.229032;25.321935;21.29;73.25;
2011-01-31;11;45.4;31.454839;25.387742;21.03871;67.25;
2011-02-28;5;121;33.335714;26.955;22.010714;56.705357;
2011-03-31;16;260.6;30.436667;24.720645;21.266667;77.233871;
2011-04-30;6;29.1;30.63;24.918;20.77;66.383333;
2011-05-31;0;0;29.506452;23.688387;18.616129;57.306452;
2011-06-30;1;.8;29.953333;23.046;17.343333;54.733333;
2011-07-31;0;0;29.848387;22.572903;16.73871;51.314516;
2011-08-31;0;0;32.109677;24.576774;18.26129;43.870968;
2011-09-30;0;0;31.953333;24.648;18.466667;43.275;
2011-10-31;9;97.2;30.906452;25.350323;21.077419;58.814516;
2011-11-30;14;75.5;29.43;24.208667;20.503333;66.3;
2011-12-31;11;85.2;31.051613;25.005806;20.687097;68.387097;
2012-01-31;6;83.6;31.106452;25.450323;21.216129;61.080645;
2012-02-29;5;65.7;32.706897;26.453793;21.658621;52.284483;
2012-03-31;4;10.4;33.951613;27.520645;22.483871;50.346774;
2012-04-30;1;1;35.06;27.828;22.06;44.125;
2012-05-31;6;4.2;30.951613;24.905161;20.477419;53.846774;
2012-06-30;0;0;31.62;25.223333;20.33;49.358333;
2012-07-31;0;0;30.564516;23.903871;18.812903;46.572581;
2012-08-31;0;0;29.941935;23.257419;18.377419;45.040323;
2012-09-30;0;0;33.79;26.248667;20.226667;38.583333;
2012-10-31;0;0;34.96129;27.735484;21.825806;42.096774;
2012-11-30;22;208.3;29.443333;24.722667;21.736667;78.016667;
2012-12-31;3;17.4;34.141935;27.517419;22.112903;53.258065;
2013-01-31;13;142.9;31.996774;26.47871;22.512903;64.5;
2013-02-28;1;54.4;34.303571;27.878571;22.878571;47.964286;
2013-03-31;null;58.3;34.351613;28.00129;23.241935;54.895161;
2013-04-30;null;51.6;31.686667;25.828;21.526667;59.866667;
2013-05-31;null;.2;32.496774;25.616129;20.46129;53.403226;
2013-06-30;null;1;31.083333;24.846667;20.03;54.6;
2013-07-31;null;0;30.841935;24.304516;19.06129;48.032258;
2013-08-31;null;0;31.283871;24.510968;19.303226;51.774194;
2013-09-30;null;0;33.166667;26.468;21.213333;46.658333;
2013-10-31;null;60.9;32.393548;26.258;21.216129;48.548387;
2013-11-30;null;123.6;32.883333;26.730667;21.936667;54.316667;
2013-12-31;null;376.2;29.125806;24.382581;21.183871;79.072581;
2014-01-31;null;14;32.316129;26.142581;21.719355;58.516129;
2014-02-28;null;52.3;33.089286;26.746429;22.235714;53.678571;
2014-03-31;null;99.5;32.170968;26.423871;22.274194;61.096774;
2014-04-30;null;77;32.076667;26.154;21.633333;58.1;
2014-05-31;null;1.2;31.487097;25.290968;20.445161;53.814516;
2014-06-30;null;0;29.7;23.866;19.33;53.241667;
2014-07-31;null;0;29.519355;23.363871;18.932258;50.217742;
2014-08-31;null;0;31.374194;24.44;18.564516;42.596774;
2014-09-30;null;0;33.162069;26.037931;20.13;41.344828;
2014-10-31;null;21.5;33.280645;26.907097;21.358065;49.395161;
2014-11-30;null;129.6;31.933333;26.42;21.956667;59.316667;
2014-12-31;null;80.8;31.66129;26.02;21.587097;59.653226;
2015-01-31;null;22.6;34.441935;27.825806;22.451613;46.306452;
2015-02-28;null;69.7;32.789286;26.592143;22.3;56.616071;
2015-03-31;null;58.6;33.796774;27.812903;23.193548;54.008065;
2015-04-30;null;34.4;32.853333;26.962;22.63;58.016667;
2015-05-31;null;9.8;30.667742;24.914194;20.6;56.427419;
2015-06-30;null;17.5;29.572414;23.705333;19.58;56.733333;
2015-07-31;null;0;30.190323;23.967742;19.419355;52.790323;
2015-08-31;null;0;31.248387;24.655484;19.335484;50.475806;
2015-09-30;null;0;36.286667;28.422759;21.536667;41.833333;
2015-10-31;null;2.4;36.287097;29.272258;23.174194;38.241935;
2015-11-30;null;51.5;36.123333;29.286923;23.592308;50.836538;
2015-12-31;null;32.8;36.758065;29.886667;24.225926;45.851852;
2016-01-31;null;null;null;null;null;null;

