Nome: JANAUBA
Codigo Estacao: 83395
Latitude: -15.802909
Longitude: -43.297092
Altitude: 534.61
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2016-08-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;8;94.8;32.306667;25.837333;20.670968;64.058333;
2008-02-29;8;39.9;32.844828;26.055862;20.558621;66.853448;
2008-03-31;12;172;31.241935;24.999355;20.348387;70.725806;
2008-04-30;6;183.7;31.883333;24.982;19.813333;70.983333;
2008-05-31;1;.5;30.754839;23.475333;17.664516;61.666667;
2008-06-30;0;0;29.833333;22.683448;16.806667;58.456897;
2008-07-31;0;0;29.125806;21.894839;15.651613;53.693548;
2008-08-31;0;0;31.867742;23.98129;16.264516;47.887097;
2008-09-30;1;4.4;33.98;25.669655;18.296667;49.327586;
2008-10-31;0;0;36.155172;28.12069;20.090323;42.12069;
2008-11-30;18;104.4;31.336667;25.819333;21.56;66.841667;
2008-12-31;16;193.9;30.483333;24.647333;20.864516;75.375;
2009-01-31;10;215.6;32.216129;25.825806;20.970968;69.717742;
2009-02-28;7;24.8;33.314286;26.592143;20.517857;60.169643;
2009-03-31;9;83.2;33.745161;26.65871;21.174194;64.096774;
2009-04-30;9;70.9;30.65;25.017333;20.803333;69.8;
2009-05-31;3;9.1;29.758065;23.450323;18.119355;62.975806;
2009-06-30;0;0;30.266667;23.287333;17.49;60.358333;
2009-07-31;0;0;30.790323;23.450968;15.858065;51.540323;
2009-08-31;0;0;31.474194;24.423871;17.987097;49.306452;
2009-09-30;2;2.7;34.433333;27.132;19.866667;46.558333;
2009-10-31;12;192.9;33.367742;26.734;21.110345;59.612903;
2009-11-30;3;126.9;33.246667;26.522667;20.446667;60.216667;
2009-12-31;12;207;31.3;25.450323;21.164516;70.991935;
2010-01-31;6;17.4;33.416129;26.577419;20.735484;61.298387;
2010-02-28;9;51;34.446429;27.044286;21.417857;58.9375;
2010-03-31;13;152.5;31.587097;25.629032;21.254839;72.822581;
2010-04-30;6;17.4;31.606667;25.202667;19.886667;64.808333;
2010-05-31;2;11.2;32.06;25.132;19.386667;59.758333;
2010-06-30;null;0;29.85;22.332143;17.066667;53.541667;
2010-07-31;0;0;29.26129;22.792903;17.503226;52.66129;
2010-08-31;0;0;30.448387;22.925806;15.56129;45.129032;
2010-09-30;1;.5;32.623333;25.211333;17.886667;43.158333;
2010-10-31;6;19.7;34.609677;27.483226;21.277419;52.322581;
2010-11-30;20;203.3;31.73;25.391333;20.866667;71.591667;
2010-12-31;15;203.3;31.367742;25.234839;20.8;75.072581;
2011-01-31;10;90.6;32.016129;25.489677;20.277419;67.943548;
2011-02-28;6;42.9;34.357143;26.871429;20.521429;57.651786;
2011-03-31;17;166.8;31.125806;24.921935;20.883871;77.443548;
2011-04-30;3;8.4;31.46;25.374667;20.653333;63.575;
2011-05-31;2;1.3;30.633333;23.706667;18.5;58.658333;
2011-06-30;null;0;30.611111;22.811111;16.592593;55.592593;
2011-07-31;0;0;30.487097;22.42;15.451613;51.008065;
2011-08-31;0;0;32.680645;24.042667;16.533333;46.55;
2011-09-30;1;.6;32.923333;24.543333;16.693333;39.65;
2011-10-31;8;118.3;31.235484;25.054194;20.067742;62.58871;
2011-11-30;13;82.4;30.706897;24.44069;19.821429;66.672414;
2011-12-31;11;183.9;30.874194;24.985161;20.386667;72.217742;
2012-01-31;8;89.7;31.590323;25.210968;19.735484;65.701613;
2012-02-29;4;29.4;33.706897;26.411724;20.310345;56.068966;
2012-03-31;6;29.1;34.590323;27.263871;20.903226;52.685484;
2012-04-30;2;39.7;35.075862;26.795862;20.137931;51.293103;
2012-05-31;4;41.1;30.635484;23.928387;18.883871;59.75;
2012-06-30;0;0;31.393333;24.330667;18.126667;53.658333;
2012-07-31;0;0;31.087097;23.426452;16.380645;49.637097;
2012-08-31;0;0;30.145161;23.127097;17.264516;51.120968;
2012-09-30;2;6.7;33.393333;25.429333;18.48;46.183333;
2012-10-31;0;0;35.306667;27.897419;20.232258;42.645161;
2012-11-30;21;333.9;29.993333;24.817333;21.32;78.35;
2012-12-31;3;32.3;34.66129;27.185806;20.503226;58.145161;
2013-01-31;10;156.5;32.832258;26.366;21.180645;66.016129;
2013-02-28;1;1.7;35.381481;27.722222;20.511111;52.555556;
2013-03-31;1;64.4;34.038462;27.774194;21.706667;58.806452;
2013-04-30;null;64.2;31.953333;25.352;20.7;64.766667;
2013-05-31;null;0;32.729032;24.719333;18.490323;57.169355;
2013-06-30;null;0;31.396552;24.237931;18.289655;55.327586;
2013-07-31;null;0;30.906452;23.547742;16.967742;51.572581;
2013-08-31;null;7;31.483871;24.127742;16.941935;48.75;
2013-09-30;null;1.2;33.31;25.791333;19.273333;50.116667;
2013-10-31;null;33.1;33.13871;26.097419;20.290323;52.209677;
2013-11-30;null;200.7;33.25;26.468667;20.86;57.333333;
2013-12-31;null;355.2;29.825806;24.499355;20.896774;80.766129;
2014-01-31;null;31.3;33.083871;26.145806;20.051613;58.766129;
2014-02-28;null;31.4;33.682143;26.455;20.692857;55.919643;
2014-03-31;null;65.1;32.351613;26.163226;21;64.620968;
2014-04-30;null;12.5;33.41;26.188667;20.366667;58.108333;
2014-05-31;null;0;32.274194;24.93871;19.167742;54.201613;
2014-06-30;null;3.8;30.45;23.392667;17.786667;56.7;
2014-07-31;null;3.2;30.590323;22.951613;16.909677;53.66129;
2014-08-31;null;0;31.516129;23.790968;16.696774;44.419355;
2014-09-30;null;.7;33.71;25.498;17.58;41.65;
2014-10-31;null;31.5;34.054839;26.823871;19.767742;43.959677;
2014-11-30;null;93.1;32.336667;26.186;20.846667;60.966667;
2014-12-31;null;170.8;32.229032;25.653548;20.083871;62.016129;
2015-01-31;null;0;35.674194;27.484516;19.541935;44.83871;
2015-02-28;null;65.2;33.592857;26.661429;20.864286;55.678571;
2015-03-31;null;32.5;34.63871;27.32;20.851613;53.266129;
2015-04-30;null;73;33.343333;26.318;21.066667;59.808333;
2015-05-31;null;3.8;31.758065;24.641935;19.154839;56.41129;
2015-06-30;null;0;30.72;23.654667;18.24;52.775;
2015-07-31;null;0;31.003226;23.824444;17.445161;51.152778;
2015-08-31;null;0;31.735484;24.558519;17.916129;42.981481;
2015-09-30;null;0;37.2;null;18.744828;null;
2015-10-31;null;8.5;37.448387;null;21.43871;null;
2015-11-30;null;163.2;36.746667;null;22.913333;null;
2015-12-31;null;18.6;36.7;null;22.4;null;
2016-01-31;null;377.2;30.751613;null;21.916129;null;
2016-02-29;null;1.7;34.396552;null;20.372414;null;
2016-03-31;null;18;34.51;null;21.851613;null;
2016-04-30;null;.7;34.726667;null;20.8;null;
2016-05-31;null;2.9;33.322581;null;19.045161;null;
2016-06-30;null;5.1;31.1;null;17.526667;null;
2016-07-31;null;.7;31.626667;null;16.393333;null;
2016-08-31;null;0;33.254839;null;17.283871;null;

