Nome: CARINHANHA
Codigo Estacao: 83408
Latitude: -14.29749999
Longitude: -43.77138888
Altitude: 455.25
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2020-10-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;9;43.4;32.362069;25.977241;21.137931;62.275862;
2008-02-29;13;156.8;32.34;25.704;20.82963;70.1;
2008-03-31;14;78.3;31.248387;25.342581;20.945161;72.959677;
2008-04-30;9;34.3;32.19;25.827333;20.893333;67.425;
2008-05-31;0;0;32.5;24.917419;18.019355;50.83871;
2008-06-30;0;0;31.236667;23.237931;16.293333;50.075;
2008-07-31;0;0;30.416129;22.192258;14.5;44.129032;
2008-08-31;0;0;32.422581;24.494194;16.970968;39.137097;
2008-09-30;3;9.7;34.553333;26.634667;19.733333;44.083333;
2008-10-31;0;0;36.463333;29.245333;21.670968;36.408333;
2008-11-30;15;137.6;32.322222;26.4456;22.419231;63.625;
2008-12-31;19;275;30.187097;24.892903;21.33871;78.129032;
2009-01-31;11;173.1;31.203333;25.592667;21.467742;72.608333;
2009-02-28;7;72.2;33.15;26.556;21.315385;67.201923;
2009-03-31;8;122;34.103448;27.10069;21.62069;63.646552;
2009-04-30;14;163.8;30.43;24.778667;21.196667;null;
2009-05-31;3;6.3;30.012903;23.340645;18.380645;null;
2009-06-30;0;0;31;23.278;17.223333;null;
2009-07-31;0;0;31.941935;23.579355;16.674194;null;
2009-08-31;0;0;32.825806;25.096774;18.435484;null;
2009-09-30;null;null;35.27;27.805263;20.794737;null;
2009-10-31;8;null;null;null;null;null;
2009-11-30;4;32.4;32.996667;26.490667;21.22;null;
2009-12-31;16;325.2;31.406452;25.423871;21.351613;null;
2010-01-31;6;49.7;32.548387;26.328387;21.216129;null;
2010-02-28;9;69.9;34.010714;26.647857;21.325;null;
2010-03-31;14;211.8;31.658065;25.529677;21.790323;null;
2010-04-30;5;114.1;31.896667;25.272;20.106667;null;
2010-05-31;3;2.1;32.390323;25.616129;19.483871;null;
2010-06-30;3;1.3;31.143333;23.134667;15.973333;null;
2010-07-31;0;0;30.803226;23.696774;17.725806;null;
2010-08-31;0;0;31.348387;23.619355;16.254839;null;
2010-09-30;1;.6;33.606667;25.892667;18.993333;null;
2010-10-31;2;null;null;null;null;null;
2010-11-30;13;null;31.147619;25.409524;21.747619;null;
2010-12-31;11;157.9;30.912903;25.494194;21.593548;null;
2011-01-31;14;117.1;31.416129;25.596774;21.348387;null;
2011-02-28;8;119.6;33.157143;26.614286;21.453571;null;
2011-03-31;17;258.7;30.374194;25.040645;21.53871;null;
2011-04-30;6;9.7;30.9;25.202667;20.866667;null;
2011-05-31;1;.5;30.919355;23.85871;17.816129;null;
2011-06-30;1;.1;31.483333;23.426667;16.623333;null;
2011-07-31;null;0;30.851724;22.624138;15.14;null;
2011-08-31;0;0;33.154839;24.874839;17.5;null;
2011-09-30;1;.6;33.523333;25.226;17.993333;null;
2011-10-31;null;null;null;null;null;null;
2011-11-30;18;289.4;29.662069;24.271333;20.575862;null;
2011-12-31;13;158.5;30.045161;24.830968;20.929032;null;
2012-01-31;8;96.9;31.219355;25.608387;20.958065;null;
2012-02-29;3;19.8;33.27931;26.636552;21.103448;null;
2012-03-31;4;51.3;34.487097;27.444516;21.435484;null;
2012-04-30;1;.9;35.16;27.564;20.61;null;
2012-05-31;2;1.2;32.867742;25.592903;19.519355;null;
2012-06-30;null;0;32.896429;25.062143;18.065517;null;
2012-07-31;null;0;31.919231;23.792308;16.434615;null;
2012-08-31;1;.2;31.374194;23.99871;17.590323;null;
2012-09-30;0;0;35.02;27.060667;20.05;null;
2012-10-31;1;null;null;null;null;null;
2012-11-30;24;399.7;30.15;24.986;22;null;
2012-12-31;2;12.5;34.316129;27.765333;21.848387;null;
2013-01-31;18;263.5;32.277419;26.432258;22.348387;null;
2013-02-28;5;5.6;35.142857;27.715714;21.439286;null;
2013-03-31;12;82.5;34.716129;27.990323;22.419355;null;
2013-04-30;4;97.9;31.74;25.622667;20.916667;null;
2013-05-31;1;1.4;33.025806;25.470968;19.253333;null;
2013-06-30;null;0;32.316667;24.854;18.483333;null;
2013-07-31;0;0;32.106452;24.197333;17.3;null;
2013-08-31;1;.6;32.548387;24.96129;18.345161;null;
2013-09-30;null;0;34.606667;27.316429;21.27;null;
2013-10-31;null;null;null;null;null;null;
2013-11-30;12;92.5;34.22;27.727586;22.623333;null;
2013-12-31;22;294.1;30.248387;25.132903;21.8;null;
2014-01-31;null;1.4;32.53871;26.289032;21.119355;null;
2014-02-28;null;33;33.664286;26.806429;21.625;null;
2014-03-31;null;196.9;32.641935;26.670323;22.106452;null;
2014-04-30;null;52.6;32.93;26.353333;21.483333;null;
2014-05-31;null;2.2;33.403226;25.88129;19.725806;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;0;31.664516;24.048387;17.406452;null;
2014-08-31;null;0;32.816129;24.807742;17.603226;null;
2014-09-30;null;0;35.153333;27.372667;20.34;null;
2014-10-31;null;35.4;35.035484;27.938065;21.819355;null;
2014-11-30;null;130.2;33.303333;27.282667;22.546667;null;
2014-12-31;null;229.7;31.096774;25.554194;21.551613;null;
2015-01-31;null;.5;35.032258;27.665161;21.370968;null;
2015-02-28;null;132.7;33.082143;26.289286;21.582143;null;
2015-03-31;null;38.7;34.174194;27.689333;22.167742;null;
2015-04-30;null;66.5;33.666667;27.415333;22.516667;null;
2015-05-31;2;60.7;31.545161;25.107742;20.06129;null;
2015-06-30;null;.1;31.563333;24.47931;18.89;null;
2015-07-31;null;0;31.664516;24.34129;18.083871;null;
2015-08-31;null;0;32.593548;25.175484;18.819355;null;
2015-09-30;null;0;37.21;29.068;21.586667;null;
2015-10-31;null;null;null;null;null;null;
2015-11-30;8;127.2;36.526667;29.632;23.96;null;
2015-12-31;null;15.5;37.43871;30.217143;23.777419;null;
2016-01-31;26;624.9;30.941935;25.662143;22.464516;null;
2016-02-29;null;25.9;33.32069;27.316429;22.255172;null;
2016-03-31;null;6.8;34.8;28.4;22.948387;null;
2016-04-30;null;0;35.213333;27.937333;21.576667;null;
2016-05-31;null;0;33.925806;26.36;20.019355;null;
2016-06-30;null;1.4;32.496667;24.852667;18.513333;null;
2016-07-31;null;0;31.970968;24.37871;17.490323;null;
2016-08-31;null;0;33.725806;25.995484;19.158065;null;
2016-09-30;null;8;34.81;27.404;21.113333;null;
2016-10-31;null;null;null;null;null;null;
2016-11-30;12;287.8;33.233333;27.028966;22.776667;null;
2016-12-31;null;64.9;32.577419;26.888;22.422581;null;
2017-01-31;null;5.9;36.280645;29.245333;22.926667;null;
2017-02-28;null;37.2;33.439286;27.186429;22.739286;null;
2017-03-31;null;251.7;33.741935;27.413548;22.282759;null;
2017-04-30;null;5.2;32.77;26.329333;21.353333;null;
2017-05-31;null;10.1;33.180645;25.985161;20.254839;null;
2017-06-30;null;0;32.333333;24.804667;18.213333;null;
2017-07-31;null;4.5;29.62;22.875484;17.322581;null;
2017-08-31;null;.6;32.8;24.612258;17.103226;null;
2017-09-30;null;0;32.66;25.977333;20.13;null;
2017-10-31;null;.3;36.387097;29.169032;22.612903;null;
2017-11-30;null;113.8;32.883333;26.832;22.456667;null;
2017-12-31;null;null;null;null;null;null;
2018-01-31;null;51.4;34.83871;28.101333;22.822581;null;
2018-02-28;null;236.4;31.614286;26.3016;22.160714;null;
2018-03-31;null;151.3;31.835484;26.251613;22.13871;null;
2018-04-30;null;9.1;32.4;26.12;20.93;null;
2018-05-31;null;0;32.970968;25.707097;19.396774;null;
2018-06-30;null;0;31.86;24.505333;18.31;null;
2018-07-31;null;0;31.409677;23.380645;16.493548;null;
2018-08-31;null;0;33.719355;26.376774;19.803226;null;
2018-09-30;null;0;35.386667;28.025333;21.416667;null;
2018-10-31;null;null;null;null;null;null;
2018-11-30;null;107.6;31.613333;25.962667;22.156667;null;
2018-12-31;null;250.3;30.358065;25.064;21.170968;null;
2019-01-31;null;6.8;34.925806;27.851034;21.896774;null;
2019-02-28;null;136.8;34.525;27.723077;22.8;null;
2019-03-31;11;255.8;34.154839;27.551724;22.664516;null;
2019-04-30;null;59.8;32.79;26.589655;21.986667;null;
2019-05-31;null;4.3;33.7;26.545161;20.829032;null;
2019-06-30;null;0;32.2;24.827333;18.763333;null;
2019-07-31;null;0;31.663333;23.913548;17.406452;null;
2019-08-31;null;0;32.606452;25.103226;18.932258;null;
2019-09-30;null;16.9;35.23;27.525517;21.083333;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;null;71.4;35.676667;29.074483;23.353333;null;
2019-12-31;6;46.1;35.290323;28.706957;23.374194;null;
2020-01-31;null;411.8;31.68;26.42;22.193548;null;
2020-02-29;null;37.2;31.817857;26.673846;22.646429;null;
2020-03-31;null;null;30.568182;25.487273;22.595652;null;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
