Nome: MONTES CLAROS
Codigo Estacao: 83437
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;14;135;30.33871;24.432903;19.803226;66.83871;
2008-02-29;15;164.1;30.57931;24.551034;19.706897;70.810345;
2008-03-31;15;251.6;29.080645;23.477419;19.777419;77.725806;
2008-04-30;6;83;30.013333;23.674;18.76;73.566667;
2008-05-31;3;3.9;28.948387;21.271613;15.116129;62.717742;
2008-06-30;1;.2;28.156667;20.336667;14.213333;60.975;
2008-07-31;0;0;27.593548;19.398065;12.06129;51.620968;
2008-08-31;0;0;30.232258;22.134839;14.512903;44.798387;
2008-09-30;3;9.8;31.94;24.156667;17.12;46.691667;
2008-10-31;1;1.6;34.880645;27.203226;20.209677;36.379032;
2008-11-30;21;313;29.843333;24.412667;20.743333;70.166667;
2008-12-31;20;398;28.609677;23.472903;20.103226;78.120968;
2009-01-31;18;204;30.048387;24.24129;20.074194;76.016129;
2009-02-28;8;69;31.028571;24.840714;19.896429;68.794643;
2009-03-31;8;62.8;31.525806;25.110323;19.954839;67.814516;
2009-04-30;12;64.9;28.513333;23.092667;19.25;77.133333;
2009-05-31;2;5.4;28.329032;21.337419;16.012903;68.193548;
2009-06-30;0;0;28.32;20.884;15.16;65.666667;
2009-07-31;0;0;29.567742;21.345806;14.296774;56.653226;
2009-08-31;1;.2;29.883871;22.438065;15.86129;51.943548;
2009-09-30;5;48.4;32.446667;25.504;19.356667;53.325;
2009-10-31;16;323.9;31.274194;25.165806;20.741935;66.330645;
2009-11-30;9;135.8;31.5;25.097333;19.93;64.108333;
2009-12-31;16;219.5;29.132258;23.912258;20.035484;76.25;
2010-01-31;7;37.8;31.496774;25.124516;19.722581;64.814516;
2010-02-28;2;17.3;33.103571;26.052143;20.364286;58.553571;
2010-03-31;19;262.5;30.025806;24.332903;20.564516;77.887097;
2010-04-30;5;15.7;29.87;23.145333;17.97;69.65;
2010-05-31;7;51.7;29.867742;22.543226;17.090323;68.806452;
2010-06-30;0;0;27.9;19.675333;13.183333;61.425;
2010-07-31;1;.3;28.074194;20.62;14.029032;54.733871;
2010-08-31;0;0;29.174194;20.910323;13.209677;46.362903;
2010-09-30;1;2.9;31.446667;23.67;16.74;44.741667;
2010-10-31;7;85.7;33.16129;26.146452;20.512903;54.677419;
2010-11-30;18;302.2;28.846667;23.638;20.096667;78.183333;
2010-12-31;15;282.2;30.019355;24.316129;20.064516;74.83871;
2011-01-31;12;148.7;29.809677;24.040645;19.380645;71.016129;
2011-02-28;5;8.9;32.275;25.41;19.75;58.732143;
2011-03-31;19;172.6;29.13871;23.720645;20.012903;79.701613;
2011-04-30;4;65.8;29.466667;23.390667;18.653333;71.641667;
2011-05-31;1;9;28.745161;21.313548;15.46129;65.032258;
2011-06-30;0;0;28.79;20.760667;14.35;60.433333;
2011-07-31;0;0;28.774194;20.39871;13.36129;53.540323;
2011-08-31;0;0;31.232258;22.865161;15.054839;43.846774;
2011-09-30;0;0;31.34;23.22;15.483333;37.766667;
2011-10-31;15;66;29.641935;23.737419;19.441935;65.177419;
2011-11-30;17;192.2;28.483333;22.746667;18.503333;71.525;
2011-12-31;19;410.7;28.341935;23.400645;19.83871;78.604839;
2012-01-31;13;158.2;29.054839;23.442581;19.412903;71.620968;
2012-02-29;2;5.4;31.186207;24.764138;19.472414;60.508621;
2012-03-31;6;40.6;31.416129;24.93871;19.516129;60.612903;
2012-04-30;2;17.6;32.37;25.069333;18.723333;56.666667;
2012-05-31;5;39.7;28.651613;22.149677;17.067742;64.177419;
2012-06-30;1;.8;29.64;22.119333;15.783333;58.675;
2012-07-31;2;2.3;29.006452;21.305161;14.464516;52.25;
2012-08-31;3;5.3;28.164516;21.372258;15.3;49.290323;
2012-09-30;2;10.2;32.023333;24.576;17.686667;41.675;
2012-10-31;1;30.4;33.422581;26.28129;19.712903;39.943548;
2012-11-30;24;273.5;28.556667;23.808667;20.786667;78.5;
2012-12-31;4;36.6;32.987097;26.480645;20.587097;56.354839;
2013-01-31;17;326.5;30.190323;24.96129;20.690323;70.467742;
2013-02-28;1;4.6;32.396429;25.810714;19.828571;56.491071;
2013-03-31;1;102.1;32.054839;25.907742;20.867742;64.137097;
2013-04-30;null;98.5;28.793333;23.182;18.683333;72.55;
2013-05-31;null;0;29.774194;22.57871;16.480645;61.677419;
2013-06-30;null;2.1;29.296667;22.304;16.343333;60.633333;
2013-07-31;null;0;29.374194;22.014194;15.545161;53.08871;
2013-08-31;null;0;30.1;22.836129;16.306452;46.516129;
2013-09-30;null;37.8;31.486667;24.828667;19.006667;48.875;
2013-10-31;null;72.5;30.33871;24.069677;19.067742;59.596774;
2013-11-30;null;196.3;31.09;24.928667;20.31;61.533333;
2013-12-31;null;414.7;28.551613;23.901935;20.83871;81.008065;
2014-01-31;null;25.1;30.819355;24.866452;19.748387;62.040323;
2014-02-28;null;12.7;31.792857;25.444286;20.053571;55.839286;
2014-03-31;null;76.8;30.580645;24.903871;20.696774;67.532258;
2014-04-30;null;35.4;31.18;24.683333;19.483333;63.083333;
2014-05-31;null;2;30.132258;22.963226;16.758065;56.919355;
2014-06-30;null;1.8;28.31;21.483333;15.823333;60.008333;
2014-07-31;null;0;28.429032;21.227742;15.135484;54.330645;
2014-08-31;null;0;29.987097;22.419355;15.377419;44.379032;
2014-09-30;null;2.7;32.13;24.925333;18.323333;39.4;
2014-10-31;null;87.3;31.877419;25.420645;19.529032;45.693548;
2014-11-30;null;141.9;30.233333;24.795333;20.596667;66.808333;
2014-12-31;null;93;30.854839;25.127097;20.212903;62.564516;
2015-01-31;null;0;34.816129;27.447097;20.374194;44.362903;
2015-02-28;null;95.7;31.439286;25.416429;20.45;61.419643;
2015-03-31;null;129.6;32.125806;25.651613;20.567742;63.983871;
