Nome: SALINAS
Codigo Estacao: 83441
Latitude: -16.154862
Longitude: -42.284921
Altitude: 476.07
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;11;79;31.003226;24.721935;20.125806;72.354839;
2008-02-29;12;62.7;31.67931;25.065517;19.975862;74.853448;
2008-03-31;10;36.3;32.277419;25.342581;20.212903;73.403226;
2008-04-30;7;76.6;31.823333;24.436;19.346667;80;
2008-05-31;0;0;29.877419;21.98;15.516129;73.75;
2008-06-30;2;.5;28.46;21.158667;15.216667;65.75;
2008-07-31;0;0;27.796774;19.861935;12.306452;58.032258;
2008-08-31;0;0;30.858065;22.80129;14.477419;48.072581;
2008-09-30;3;22;32.013333;24.513333;17.64;51.483333;
2008-10-31;1;1;34.958065;27.188387;19.570968;42.58871;
2008-11-30;20;351.6;30.836667;25.443333;21.35;68.675;
2008-12-31;20;260.9;29.712903;24.360645;20.648387;79.169355;
2009-01-31;14;119.2;31.23871;24.92129;20.76129;77.548387;
2009-02-28;2;4.8;32.564286;25.675714;20.625;68.955357;
2009-03-31;8;34.7;33.480645;25.734839;19.925806;69.104839;
2009-04-30;17;204.3;28.866667;23.715333;20.5;83.916667;
2009-05-31;8;22.8;26.812903;20.685161;17.048387;84.5;
2009-06-30;0;0;27.893333;20.787333;16.373333;80.191667;
2009-07-31;0;0;29.458065;20.804516;14.241935;69.822581;
2009-08-31;5;6.5;29.770968;22.56129;16.370968;62.483871;
2009-09-30;1;2.6;33.46;25.981333;19.006667;54.758333;
2009-10-31;12;186.5;32.119355;25.797419;21.009677;68.540323;
2009-11-30;7;56.9;31.963333;24.876;19.31;72.1;
2009-12-31;14;79.5;31.683871;25.214194;20.445161;73.814516;
2010-01-31;8;28.3;34.532258;26.387742;19.783871;64.072581;
2010-02-28;8;88.8;34.55;26.693571;20.85;64.651786;
2010-03-31;19;247.7;31.241935;25.110968;21.248387;81.33871;
2010-04-30;6;75;29.583333;23.402;19.1;80.625;
2010-05-31;5;16.6;29.632258;22.66129;17.964516;80.241935;
2010-06-30;3;.7;27.686667;20.002667;13.766667;72.15;
2010-07-31;6;6;27.770968;21.332903;15.651613;65.241935;
2010-08-31;0;0;29.645161;21.270968;13.348387;57.798387;
2010-09-30;0;0;32.003333;24.091333;16.375862;55.083333;
2010-10-31;7;25.6;33.445161;26.590323;20.851613;63.717742;
2010-11-30;18;303;30.533333;24.632;20.533333;81.291667;
2010-12-31;14;241.5;30.719355;24.692258;20.316129;83.233871;
2011-01-31;9;52.6;30.996774;24.652258;19.954839;78.508065;
2011-02-28;6;28.4;33.071429;25.47;19.596429;70.1875;
2011-03-31;15;131.2;31.574194;24.778065;20.525806;80.564516;
2011-04-30;13;38.6;30.05;23.597333;19.233333;79.075;
2011-05-31;3;1.5;28.732258;21.84;16.364516;71.185484;
2011-06-30;0;0;28.766667;21.014;14.553333;67.025;
2011-07-31;3;3.4;29.458065;20.903226;13.516129;64.016129;
2011-08-31;1;.2;31.490323;22.860645;15.006452;55.758065;
2011-09-30;0;0;31.566667;23.243333;14.616667;51.725;
2011-10-31;10;95.1;30.293548;24.598065;19.625806;70.516129;
2011-11-30;11;138.3;28.293333;23.347333;19.756667;73.75;
2011-12-31;10;216.9;29.883871;24.32129;20.332258;76.532258;
2012-01-31;7;65.6;30.170968;24.272903;19.693548;73.403226;
2012-02-29;6;48;32.431034;25.555172;19.772414;59.922414;
2012-03-31;5;25.2;33.183871;26.027097;20.009677;59.709677;
2012-04-30;1;1;34.126667;26.204;19.35;54.916667;
2012-05-31;12;63.7;29.23871;22.929677;17.929032;68.862903;
2012-06-30;0;0;29.87;22.656667;16.531034;64.658333;
2012-07-31;1;.8;29.83871;22.116129;15.245161;60.75;
2012-08-31;3;1.4;28.906452;22.032258;15.53871;58.419355;
2012-09-30;2;6.2;33.023333;25.34;18.413333;51.058333;
2012-10-31;3;3.3;34.445161;26.860645;20.435484;50.596774;
2012-11-30;21;243.2;29.233333;24.558;21.48;81.416667;
2012-12-31;4;54.9;33.574194;26.079355;19.706452;67.830645;
2013-01-31;16;164.5;32.616129;26.192903;21.390323;70.112903;
2013-02-28;2;62.6;33.267857;26.123571;20.389286;65.830357;
2013-03-31;null;101.1;33.78;26.987742;21.706667;69.766129;
2013-04-30;null;17.2;30.96;25.061333;20.64;73.266667;
2013-05-31;null;15.2;31.087097;23.845161;18.077419;71.258065;
2013-06-30;null;7.9;29.79;23.287333;17.92;70.858333;
2013-07-31;null;0;29.706452;22.625806;16.467742;65.322581;
2013-08-31;null;18.4;30.374194;23.234839;17.087097;62.733871;
2013-09-30;null;1.4;31.836667;25.326667;19.916667;60.691667;
2013-10-31;null;33.6;31.712903;25.48129;20.254839;63.951613;
2013-11-30;null;225.9;32.103333;26.079333;21.186667;68.05;
2013-12-31;null;303.5;29.5;24.636774;21.24;86.951613;
2014-01-31;null;26.3;31.267742;25.123226;20.041935;76.016129;
2014-02-28;null;17.9;32.992857;26.028571;19.714286;67.410714;
2014-03-31;null;92.5;31.809677;25.409032;20.964516;78.137097;
2014-04-30;null;12.1;32.56;25.831333;19.966667;70.191667;
2014-05-31;null;9.5;31.293548;24.209032;18.132258;65.75;
2014-06-30;null;12.5;29.116667;22.448;17.003333;69.816667;
2014-07-31;null;4.8;28.625806;22.32129;16.729032;63.5;
2014-08-31;null;.6;30.425806;22.723226;15.080645;55.983871;
2014-09-30;null;.4;32.796667;25.316667;18.446667;50.625;
2014-10-31;null;67.1;32.712903;26.205161;20.203226;60.693548;
2014-11-30;null;218.3;31.086667;25.453333;21.165517;75.575;
2014-12-31;null;136.7;30.622581;24.610323;20.36129;82.991935;
2015-01-31;null;13.9;33.964516;26.270323;19.816129;71.354839;
2015-02-28;null;118.8;32.210714;25.48;20.464286;76.883929;
2015-03-31;null;40.9;33.254839;26.391613;20.393548;73.387097;
2015-04-30;null;38.9;31.93;25.443333;20.46;75.916667;
2015-05-31;null;21.3;29.087097;23.304516;18.683871;75.645161;
2015-06-30;null;2;28.89;22.612667;17.58;73.591667;
2015-07-31;null;11.5;28.941935;22.530968;17.045161;72.959677;
2015-08-31;null;3.1;29.932258;23.281935;17.019355;66.298387;
2015-09-30;null;0;35.77;27.532;19.703333;56.45;
2015-10-31;null;75.4;35.603226;28.386452;21.422581;58.379032;
2015-11-30;null;53;35.723333;28.404667;22.156667;68.208333;
2015-12-31;null;78.4;35.725806;28.200645;21.867742;52.895161;
2016-01-31;null;319.9;31.441935;25.944516;22.232258;74.870968;
2016-02-29;null;5.1;33.365517;26.045517;20.217241;65.724138;
2016-03-31;null;4.4;34.064516;27.050323;20.735484;57.580645;
2016-04-30;null;0;33.853333;26.764667;20.18;52.616667;
2016-05-31;null;1;31.790323;24.277419;17.670968;55.645161;
2016-06-30;null;8.6;30.35;22.729333;16.276667;55.541667;
2016-07-31;null;1.2;29.774194;22.483226;16.364516;54.774194;
2016-08-31;null;5;31.425806;24.350323;18.135484;50.540323;
2016-09-30;null;58;32.926667;25.88;19.463333;46.533333;
2016-10-31;null;46.8;32.916129;26.306452;20.887097;56.427419;
2016-11-30;null;203.2;31.723333;25.903333;21.41;65.158333;
2016-12-31;null;102.5;31.235484;25.367742;20.725806;70.306452;
2017-01-31;null;70.9;33.829032;26.896774;20.593548;55.266129;
2017-02-28;null;175.1;31.335714;25.518571;21.332143;69.892857;
2017-03-31;null;45.9;33.045161;26.551613;20.912903;58.991935;
2017-04-30;null;46.4;31.28;25.244667;20.476667;65.5;
2017-05-31;null;4.4;29.567742;23.670968;19.145161;63.330645;
2017-06-30;null;.2;29.683333;23.082667;17.126667;57.716667;
2017-07-31;null;7.8;26.264516;20.516129;15.329032;60.443548;
2017-08-31;null;0;29.790323;22.425806;15.332258;60.580645;
2017-09-30;null;0;30.463333;24.112667;18.433333;63.675;
2017-10-31;null;0;34.541935;27.252903;20.729032;63.459677;
2017-11-30;null;141.1;31.303333;25.444667;20.92;78.75;
