Nome: ARACUAI
Codigo Estacao: 83442
Latitude: -16.84888888
Longitude: -42.06083333
Altitude: 317.67
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;9;47.4;33.887097;26.696129;21.664516;63.540323;
2008-02-29;13;136.6;34.151724;26.688276;21.317241;67.051724;
2008-03-31;11;84.7;33.070968;26.236129;21.322581;68.830645;
2008-04-30;3;54.1;33.796667;26.230667;20.756667;67.333333;
2008-05-31;0;0;31.554839;23.929677;17.745161;58.733871;
2008-06-30;0;0;30.182759;22.666897;16.896667;58.043103;
2008-07-31;1;.1;29.193548;21.061935;14.090323;54.330645;
2008-08-31;0;0;32.432258;24.089677;16.693548;47.66129;
2008-09-30;3;36;32.873333;25.304;19.3;50.066667;
2008-10-31;0;0;35.980645;28.368387;21.8;40.895161;
2008-11-30;17;216;32.2;26.440667;22.416667;67.858333;
2008-12-31;18;242.9;30.690323;25.033548;21.212903;77.08871;
2009-01-31;13;195.1;32.448387;25.914839;21.745161;76.685484;
2009-02-28;4;19.6;34.628571;27.345714;21.728571;63.303571;
2009-03-31;5;22.6;35.758065;27.733548;21.987097;61.112903;
2009-04-30;10;37.7;31.476667;25.223333;21.033333;73.341667;
2009-05-31;3;16.2;29.454839;22.787742;17.587097;69.467742;
2009-06-30;2;8.2;29.62;22.653333;17.566667;65.891667;
2009-07-31;1;.2;30.945161;22.773548;15.974194;57.733871;
2009-08-31;3;2.3;31.677419;24.278065;18.6;54.475806;
2009-09-30;1;.6;34.953333;27.472;21.466667;48.575;
2009-10-31;8;141.4;33.664516;26.926452;21.990323;62.830645;
2009-11-30;4;67.1;34.043333;26.731333;20.81;61.966667;
2009-12-31;12;169.7;32.767742;26.154194;21.619355;73.516129;
2010-01-31;6;49.7;36.4;28.008387;21.903226;60.145161;
2010-02-28;7;133.2;36.95;28.198571;22.021429;59.696429;
2010-03-31;13;262;33.209677;26.325161;21.987097;75.16129;
2010-04-30;3;2.9;32.22;25.342;20.27;68.975;
2010-05-31;2;31.3;31.33871;24.154839;18.870968;68.814516;
2010-06-30;null;0;28.182353;21.28;15.738095;63.738636;
2010-07-31;1;6.8;null;null;17.122581;59.524194;
2010-08-31;0;0;null;null;15.983871;50.080645;
2010-09-30;0;0;null;null;19.144444;47.5;
2010-10-31;6;93.2;34.096774;26.729677;21.790323;58.887097;
2010-11-30;15;216.1;31.306667;25.292;21.586667;77.183333;
2010-12-31;13;106;32.735484;25.818065;21.006452;77.491935;
2011-01-31;9;81.3;33.483871;26.132258;20.945161;73.040323;
2011-02-28;4;19;36.403571;27.910714;21.503571;59.107143;
2011-03-31;8;171.8;33.558065;26.599355;22.080645;71.403226;
2011-04-30;9;13.2;32.066667;25.223333;20.223333;73.15;
2011-05-31;2;.5;31.054839;23.276129;17.335484;66.395161;
2011-06-30;0;0;30.37;22.591333;16.746667;62.55;
2011-07-31;2;1.4;30.722581;22.242581;15.6;59.524194;
2011-08-31;0;0;32.9;24.259355;17.112903;51.096774;
2011-09-30;0;0;32.546667;24.137333;17.293333;48.558333;
2011-10-31;11;49.1;31.458065;25.327742;21.151613;64.903226;
2011-11-30;15;125.1;30.743333;24.573333;20.363333;69.533333;
2011-12-31;12;156.2;31.570968;25.362581;21.151613;75.629032;
2012-01-31;8;59.7;32.493548;25.812903;20.76129;69.879032;
2012-02-29;5;5.9;36.268966;27.524828;21.124138;56.87931;
2012-03-31;4;15;35.96129;27.986452;21.893548;54.129032;
2012-04-30;1;39.8;35.226667;27.314;21.366667;56.975;
2012-05-31;10;97.9;29.793548;23.443871;18.651613;70.120968;
2012-06-30;0;0;30.58;23.049333;17.21;68.516667;
2012-07-31;2;8.6;30.654839;22.460645;15.770968;60.064516;
2012-08-31;4;5.3;30.529032;22.973548;17.167742;57.741935;
2012-09-30;1;7.9;33.813333;25.880667;19.77;50.666667;
2012-10-31;2;6.8;35.6;27.49871;21.496774;48.572581;
2012-11-30;18;285.1;30.966667;25.494;22.106667;78.691667;
2012-12-31;3;40;35.077419;27.249677;21.319355;64.895161;
2013-01-31;11;147.8;34.570968;27.113548;22.067742;67.354839;
2013-02-28;3;30.8;35.089286;27.317143;21.478571;62.3125;
2013-03-31;1;53;35.393548;27.856129;22.532258;60.733871;
2013-04-30;null;46.7;32.013793;25.393103;20.689655;65.905172;
2013-05-31;null;15.7;31.874194;24.305161;18.532258;63.201613;
2013-06-30;null;6.2;30.91;23.878;18.476667;62.733333;
2013-07-31;null;0;30.535484;23.320645;17.470968;58.177419;
2013-08-31;null;0;31.754839;24.133548;17.509677;51.459677;
2013-09-30;null;13.6;32.97;25.634;19.906667;53.75;
2013-10-31;null;28;32.819355;25.761935;20.43871;57.395161;
2013-11-30;null;124.7;33.846667;26.845333;21.436667;59.883333;
2013-12-31;null;308;31.893548;25.790968;21.612903;79.854839;
2014-01-31;null;13.6;34.090323;26.449677;20.645161;66.991935;
2014-02-28;null;3.3;36.364286;27.872857;21.160714;52.508929;
2014-03-31;null;26;34.53871;27.170968;21.674194;63.701613;
2014-04-30;null;33.1;33.95;26.518667;20.62;60.891667;
2014-05-31;null;.1;32.06129;24.615484;18.074194;59.903226;
2014-06-30;null;5.3;30.17931;23.326897;17.46;63.982759;
2014-07-31;null;1.7;29.8;22.770323;17.064516;61.983871;
2014-08-31;null;0;31.835484;23.463226;15.990323;53.5;
2014-09-30;null;0;33.863333;25.971333;19.436667;46.675;
2014-10-31;null;53.3;34.06129;26.649677;20.645161;51.032258;
2014-11-30;null;185.8;33.05;26.219333;21.13;66.575;
2014-12-31;null;155.3;32.622581;25.940645;20.977419;69.580645;
2015-01-31;null;8.5;37.309677;28.512258;21.270968;51.540323;
2015-02-28;null;74.3;34.75;27.151429;21.278571;65.026786;
2015-03-31;null;132.1;34.516129;27.13871;21.148387;63.733871;
2015-04-30;null;27.3;32.89;26.048667;20.563333;66.108333;
2015-05-31;null;8.2;30.090323;23.812903;18.677419;68.548387;
2015-06-30;null;4.4;29.766667;23.249333;17.836667;64.433333;
2015-07-31;null;10.5;29.816129;23.074194;17.532258;62.887097;
2015-08-31;null;2;31.177419;23.810968;17.309677;54.548387;
2015-09-30;null;0;null;null;20.603333;42.5;
2015-10-31;null;6.1;null;null;22.422581;43.459677;
2015-11-30;null;49.8;null;null;23.073333;49.458333;
2015-12-31;null;163.8;37.625806;29.116129;22.022581;53.887097;
2016-01-31;null;332.5;32.512903;26.518065;21.754839;74.540323;
2016-02-29;null;15.7;35.958621;27.782069;20.9;61.784483;
2016-03-31;null;2.8;36.387097;28.624516;22.041935;55.217742;
2016-04-30;null;.3;35.383333;27.681333;20.716667;51.975;
2016-05-31;null;1.4;32.525806;25.180645;18.106452;54.701613;
2016-06-30;null;15.3;30.383333;22.874;15.936667;60.258333;
2016-07-31;null;.5;30.287097;22.690968;15.793548;56.3;
2016-08-31;null;5.8;32.074194;24.744516;18.254839;52.653226;
2016-09-30;null;17;34.613333;26.644667;20.44;47.308333;
2016-10-31;null;12.9;34.774194;27.435484;21.883871;53.16129;
2016-11-30;null;129.6;32.93;26.464;21.146667;65.4;
2016-12-31;null;110.9;33.148387;26.174839;20.854839;70.435484;
2017-01-31;null;74.8;35.441935;27.948387;21.467742;56.524194;
2017-02-28;null;112.4;33.382143;26.523571;21.489286;70.258929;
2017-03-31;null;94.4;35.248387;27.516129;21.345161;58.024194;
2017-04-30;null;2.6;32.616667;26.021333;20.386667;63.183333;
2017-05-31;null;5.8;30.883871;24.399355;19.032258;62.427419;
2017-06-30;null;.2;30.313333;23.488;17.543333;60.383333;
2017-07-31;null;4.8;27.422581;21.058065;15.303226;60.419355;
2017-08-31;null;0;30.606452;22.632258;15.358065;52.443548;
2017-09-30;null;2.6;31.77;24.651333;18.66;49.558333;
2017-10-31;null;3.7;35.932258;28.02129;21.812903;44.798387;
2017-11-30;null;94.7;32.5;26.164;21.33;64.391667;
2017-12-31;null;180;31.483871;25.835484;21.087097;73.854839;
2018-01-31;null;23.8;36.26129;28.268387;21.529032;54.645161;
2018-02-28;null;283.7;32.589286;26.321429;21.521429;72.419643;
2018-03-31;null;113.8;33.541935;26.423871;21.170968;73.556452;
2018-04-30;null;15.6;31.516667;24.954667;19.96;68.841667;
2018-05-31;null;10.9;30.451613;23.745161;17.967742;65.379032;
2018-06-30;null;.3;30.24;23.230667;17.23;62.825;
2018-07-31;null;1.1;30.706452;22.625161;15.36129;57.08871;
2018-08-31;null;0;32.525806;25.197419;19.332258;53.185484;
2018-09-30;null;4.8;34.69;26.772;20.463333;47.491667;
2018-10-31;null;97.2;34.690323;27.623226;21.977419;55.887097;
2018-11-30;null;107.5;32.123333;26.092667;21.47;67.666667;
2018-12-31;null;108.2;32.767742;25.963871;20.56129;72.153226;
2019-01-31;null;17;37.2;28.632258;21.909677;52.58871;
2019-02-28;null;119.5;36.907143;28.574286;22.817857;62.473214;
2019-03-31;null;38.8;36.1;28.478261;22.665217;60.25;
2019-04-30;null;33.3;34.776667;27.455333;22.346667;64.675;
2019-05-31;null;3.4;33.109677;26.282581;20.822581;60.08871;
2019-06-30;null;6.8;31.103333;23.82;17.94;61;
2019-07-31;null;1.1;29.912903;22.262581;15.832258;56.83871;
2019-08-31;null;6.1;30.577419;23.732903;18.341935;56.290323;
2019-09-30;null;1.3;33.906667;26.272;20.12;49.041667;
2019-10-31;null;62.5;35.732258;27.869677;21.993548;49.08871;
2019-11-30;null;46.2;36.586667;29.036667;23.47;52.158333;
2019-12-31;null;85.4;35.996774;28.37871;22.574194;56.645161;
2020-01-31;15;258.7;34.3;27.915484;23.5;67.532258;
2020-02-29;7;46;35.548276;28.249655;23.431034;65;
2020-03-31;16;160.8;30.509677;25.382667;22.103226;79.967742;
2020-04-30;4;14.2;30.46;24.67;20.883333;77.808333;
2020-05-31;null;null;null;null;null;null;
2020-06-30;2;4.6;29.226667;22.131333;16.583333;69.516667;
2020-07-31;2;2;29.603226;22.138065;16.309677;65.169355;
2020-08-31;4;5.8;29.964516;22.996667;17.922581;60.217742;
2020-09-30;0;0;34.95;26.768;20.19;47.508333;
2020-10-31;8;65.6;35.209677;27.863333;22.793548;56.951613;
2020-11-30;null;null;null;null;null;null;
2020-12-31;7;57.8;34.758065;27.023226;21.554839;65.620968;
2021-01-31;3;34.1;36.654839;28.420645;22.525806;55.153226;
2021-02-28;13;224.8;32.014286;26.102143;22.067857;75.598214;
2021-03-31;5;23.6;33.780645;26.123226;20.587097;66.629032;
2021-04-30;2;38.8;31.936667;25.271333;20.56;66.95;
2021-05-31;0;0;30.812903;23.489677;17.496774;62.258065;
2021-06-30;1;.7;29.583333;22.33931;16.136667;62.517241;
2021-07-31;1;.4;29.367742;21.907097;15.719355;55.798387;
2021-08-31;2;2.4;30.209677;23.337419;17.751613;56.395161;
2021-09-30;1;6;35.263333;27.030345;20.496667;47.933333;
2021-10-31;8;94.9;34.409677;27.630323;22.819355;59.387097;
2021-11-30;16;154;31.01;25.39931;21.283333;76.716667;
2021-12-31;20;384.2;30.3;25.258667;22.216129;81.075;
2022-01-31;8;68.2;33.041935;26.148387;21.545161;74.322581;
2022-02-28;11;100.2;33.403571;26.614815;22.385714;75.026786;
2022-03-31;7;44.6;33.948387;26.818571;21.835484;66.333333;
2022-04-30;3;10.6;32.886667;25.989333;20.563333;65.15;
2022-05-31;2;3.2;30.332258;23.024;17.2;65.169355;
2022-06-30;0;0;29.073333;20.793333;13.66;63.283333;
2022-07-31;2;.6;30.380645;22.873548;16.690323;58.91129;
2022-08-31;1;1;30.829032;23.477419;16.951613;52.104839;
2022-09-30;1;3.4;32.926667;25.474667;19.666667;51.466667;
