Nome: GUARATINGA
Codigo Estacao: 83446
Latitude: -16.58081
Longitude: -39.783182
Altitude: 197.88
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;18;86.5;30.322581;24.730968;21.135484;77.725806;
2008-02-29;13;126;32.262069;25.870714;21.753571;74.362069;
2008-03-31;16;106;31.603226;25.82;22.177419;79.298387;
2008-04-30;2;3.4;32.533333;26.095333;21.803333;74.825;
2008-05-31;3;3.2;30.148387;23.798065;19.364516;74.346774;
2008-06-30;15;59.8;27.14;21.972667;18.5;79.825;
2008-07-31;11;45.1;26.319355;20.755484;16.432258;75.935484;
2008-08-31;16;38.7;27.583871;21.725806;17.432258;77.612903;
2008-09-30;7;26.2;28.916667;22.804;18.866667;74.841667;
2008-10-31;5;21.7;31.422581;24.503871;20.254839;72.733871;
2008-11-30;17;157.4;29.863333;24.330667;21.353333;80.675;
2008-12-31;16;98.1;30.090323;24.865161;21.558065;82.112903;
2009-01-31;13;156.2;31.064516;25.694194;22.270968;82.580645;
2009-02-28;9;36.3;32.339286;26.170714;22.128571;80.482143;
2009-03-31;13;201.9;32.687097;26.528387;22.758065;80.548387;
2009-04-30;21;215;29.196667;24.739333;22.010345;83.866667;
2009-05-31;14;85.9;27.622581;22.906452;19.574194;82.08871;
2009-06-30;15;107;26.69;22.096;18.88;84.416667;
2009-07-31;9;27.8;27.454839;22.116129;18.332258;81.209677;
2009-08-31;21;57.1;26.964516;21.931613;18.377419;80.814516;
2009-09-30;11;50.5;29.68;23.708667;19.51;76.333333;
2009-10-31;18;192.5;29.487097;24.3;21.116129;81.830645;
2009-11-30;9;26.5;31.566667;25.498;21.256667;74.083333;
2009-12-31;8;125.8;33.119355;26.387097;22.296774;72.983871;
2010-01-31;13;53.9;33.63;26.655484;22.345161;71.467742;
2010-02-28;10;58.6;32.55;26.576429;22.453571;74.383929;
2010-03-31;20;221.3;31.990323;26.166452;22.636667;81.233871;
2010-04-30;14;113.8;29.85;24.986667;21.646667;80.491667;
2010-05-31;10;54.1;29.003226;24.021935;20.496774;80.201613;
2010-06-30;10;13.9;26.9;21.7;18.063333;76.35;
2010-07-31;25;62.3;26.125806;21.570968;18.548387;81.072581;
2010-08-31;12;23.1;26.222581;20.792258;16.816129;78.717742;
2010-09-30;17;54.8;27.74;21.986667;18.006667;77.116667;
2010-10-31;12;64.5;28.777419;23.584516;20.545161;79.822581;
2010-11-30;17;237.7;29.85;24.618667;21.373333;81.466667;
2010-12-31;10;137.3;31.335484;25.755484;22.054839;76.185484;
2011-01-31;19;87;30.919355;25.37871;21.822581;78.322581;
2011-02-28;12;54.3;31.653571;25.703571;21.7;76.392857;
2011-03-31;16;262;31.6;25.777419;22.216129;79.048387;
2011-04-30;27;276.4;29.05;24.457333;21.453333;85.541667;
2011-05-31;11;55;27.503226;22.669032;19.125806;81.685484;
2011-06-30;7;8.2;27.036667;21.924;18.35;78.783333;
2011-07-31;14;51.1;null;null;17.083871;81.201613;
2011-08-31;9;6.8;null;null;17.729032;75.951613;
2011-09-30;4;4;null;null;17.466667;68.883333;
2011-10-31;21;240.9;null;null;20.219355;81.282258;
2011-11-30;18;144.1;null;null;19.923333;83.5;
2011-12-31;14;204.8;null;null;21.341935;78.83871;
2012-01-31;17;77.1;null;null;21.209677;78.443548;
2012-02-29;16;67;null;null;20.848276;76.258621;
2012-03-31;9;54.6;null;null;21.045161;76.258065;
2012-04-30;10;14.3;null;null;20.846667;74.225;
2012-05-31;12;65.2;null;null;19.76;82.725806;
2012-06-30;12;47.9;null;null;19.033333;82.208333;
2012-07-31;14;47.2;null;null;17.435484;82.129032;
2012-08-31;26;163.1;null;null;17.574194;80.612903;
2012-09-30;12;64.6;null;null;18.86;77.025;
2012-10-31;14;63.5;null;null;19.535484;75.991935;
2012-11-30;19;207;28.83;24.307333;21.473333;83.625;
