Nome: JURAMENTO
Codigo Estacao: 83452
Latitude: -16.775057
Longitude: -43.667085
Altitude: 655.59
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;11;110.8;30;23.391613;17.283871;72.516129;
2008-02-29;9;55.6;30.765517;23.872414;18.144828;76.543103;
2008-03-31;17;204.6;28.725806;22.770323;18.341935;85.862903;
2008-04-30;8;106.3;29.756667;22.814;17.65;85.666667;
2008-05-31;1;6.8;28.803226;20.109677;13.332258;72.25;
2008-06-30;0;0;27.96;19.253333;12.14;71.108333;
2008-07-31;0;0;27.641935;18.205161;10.116129;62.830645;
2008-08-31;0;0;30.009677;20.988387;13.016129;54.274194;
2008-09-30;5;18.7;31.62;23.001333;14.986667;54.741667;
2008-10-31;1;2.4;34.206452;26.397419;18.777419;45.645161;
2008-11-30;20;237.7;29.68;24.047333;20.15;72.991667;
2008-12-31;16;301.3;28.312903;22.919355;18.770968;79.475806;
2009-01-31;16;212.4;29.580645;23.43871;18.748387;79.137097;
2009-02-28;7;134.3;30.646429;23.777857;18.214286;75.25;
2009-03-31;7;86.4;31.183871;24.030323;18.841935;73.91129;
2009-04-30;11;85.2;28.416667;22.432667;18.27;80.75;
2009-05-31;2;3;28.119355;20.248387;14.487097;75.766129;
2009-06-30;2;20.5;27.786667;19.630667;13.576667;73.625;
2009-07-31;0;0;29.080645;19.914194;12.232258;65.612903;
2009-08-31;1;.2;29.519355;21.347742;14.151613;59.274194;
2009-09-30;7;87.9;31.863333;24.134667;17.226667;59.3;
2009-10-31;13;318.5;30.770968;24.047097;18.851613;72.548387;
2009-11-30;7;60.6;31.073333;23.952667;18.143333;70.166667;
2009-12-31;18;193.5;28.958065;23.300645;18.770968;79.16129;
2010-01-31;10;42;31.132258;24.012258;18.616129;72.33871;
2010-02-28;5;33;32.225;24.652857;18.735714;66.723214;
2010-03-31;16;165.1;30.074194;23.777419;19.506452;80.064516;
2010-04-30;2;5.6;29.396667;22.077333;16.543333;74.158333;
2010-05-31;4;46;29.716129;21.61871;15.767742;75.443548;
2010-06-30;1;15.8;27.733333;null;null;71.483333;
2010-07-31;1;.8;27.803226;null;null;65.798387;
2010-08-31;0;0;29.112903;null;null;54.733871;
2010-09-30;0;0;31.256667;null;null;51.725;
2010-10-31;6;83.5;32.680645;null;null;61.709677;
2010-11-30;17;243.6;28.76;null;null;80.475;
2010-12-31;18;305.6;29.796774;null;null;80.274194;
2011-01-31;10;149.9;29.754839;null;null;76.266129;
2011-02-28;3;15.7;31.864286;null;null;68.446429;
2011-03-31;17;217.1;29.219355;null;null;83.822581;
2011-04-30;3;39.1;29.18;null;null;77.466667;
2011-05-31;0;0;28.374194;null;null;75.193548;
2011-06-30;0;0;28.123333;null;null;72.091667;
2011-07-31;0;0;28.632258;18.926452;11.148387;64.951613;
2011-08-31;0;0;30.851613;21.116129;13.835484;60.443548;
2011-09-30;0;0;30.98;22.05;13.973333;52.166667;
2011-10-31;13;109.1;30.043333;23.268;18.1;70.096774;
2011-11-30;18;212.9;28.153333;21.982667;17.13;77.141667;
2011-12-31;19;305.3;28.564516;22.727742;19.287097;83.306452;
2012-01-31;10;111.9;29.322581;22.44;17.632258;79.645161;
2012-02-29;6;50.1;31.041379;23.198621;17.441379;73.87069;
2012-03-31;6;44.8;31.045161;23.432903;17.622581;71.830645;
2012-04-30;1;1.1;32.21;23.52;16.393333;68.465517;
2012-05-31;4;53.9;28.729032;20.874194;14.709677;72.798387;
2012-06-30;0;0;29.5;20.793333;14.326667;69.716667;
2012-07-31;1;3.4;28.777419;20.237419;14.419355;62.701613;
2012-08-31;1;2.5;27.916129;20.309677;14.545161;59.354839;
2012-09-30;1;2.4;32.003333;23.516;16.456667;51.933333;
2012-10-31;2;4.2;33.283871;25.483871;19.190323;49.854839;
2012-11-30;24;218.9;29.103333;23.538;19.973333;80.808333;
