Nome: RIO VERDE
Codigo Estacao: 83470
Latitude: -17.78527777
Longitude: -50.96472222
Altitude: 780.04
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;26;285.7;28.525806;22.985161;18.480645;79.895161;
2008-02-29;22;296.6;29.413793;22.942759;17.77931;81.37069;
2008-03-31;21;414.5;29.370968;22.894839;18.241935;79.629032;
2008-04-30;18;231.4;29.146667;23.042;18.633333;77.875;
2008-05-31;4;24.2;27.993548;21.085161;15.312903;68.137097;
2008-06-30;1;.2;28.786667;21.408667;15.52;58.55;
2008-07-31;0;0;29.4;21.337419;14.170968;39.104839;
2008-08-31;3;6.9;31.774194;23.810968;16.622581;40.177419;
2008-09-30;4;15.1;32.863333;24.416667;16.786667;44.283333;
2008-10-31;10;109.5;32.06129;24.751613;19.067742;61.532258;
2008-11-30;22;244.5;30.353333;23.818667;19.406667;74.341667;
2008-12-31;14;141.3;30.148387;23.9;19.66129;76.879032;
2009-01-31;21;175.5;30.148387;23.961935;19.53871;73.854839;
2009-02-28;18;254.9;29.771429;23.782143;19.467857;78.553571;
2009-03-31;22;302.8;30.548387;23.993548;19.890323;77.717742;
2009-04-30;10;39.3;28.71;22.721333;18.153333;72.95;
2009-05-31;3;15.6;29.277419;22.332903;16.480645;64.693548;
2009-06-30;7;34.9;27.126667;20.159333;14.133333;63.325;
2009-07-31;2;5.7;29.774194;22.422581;15.903226;50.846774;
2009-08-31;3;23;30.467742;22.793548;15.880645;47.596774;
2009-09-30;11;94.9;31.856667;24.514;19.236667;61.6;
2009-10-31;14;188.4;30.458065;23.782581;19.354839;71.798387;
2009-11-30;18;265.4;30.523333;24.487333;20.396667;75.716667;
2009-12-31;25;343.4;28.451613;23.190968;19.496774;81.741935;
2010-01-31;21;222.7;29.841935;23.917419;19.93871;78.241935;
2010-02-28;19;283.6;31.467857;24.187143;20.1;75.428571;
2010-03-31;12;252.5;31.377419;24.669032;19.880645;73.064516;
2010-04-30;6;59.4;29.836667;23.112667;17.663333;64.225;
2010-05-31;5;10.5;29.03871;20.878065;15.167742;60.612903;
2010-06-30;1;.2;29.71;20.876;13.733333;48.658333;
2010-07-31;1;25;30.245161;21.656774;14.251613;45.637097;
2010-08-31;0;0;31.709677;22.452903;14.416129;35.758065;
2010-09-30;2;3.3;34.893333;25.899333;18.35;38.425;
2010-10-31;8;142.2;32.709677;24.982581;19.035484;57.282258;
