Nome: PARACATU
Codigo Estacao: 83479
Latitude: -17.24416666
Longitude: -46.88166666
Altitude: 711.41
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-11-22
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;21;195.3;30.209677;23.901935;19.716129;77.532258;
2008-02-29;14;250.2;30.113793;24.229655;20.124138;79.836207;
2008-03-31;18;185.5;29.519355;23.616774;19.593548;81.806452;
2008-04-30;9;167;30.143333;23.982;19.226667;77.058333;
2008-05-31;0;0;28.483871;21.379355;15.903226;68.491935;
2008-06-30;0;0;27.866667;20.698667;15.233333;66.466667;
2008-07-31;0;0;27.177419;19.54129;13.232258;58.403226;
2008-08-31;0;0;30.258065;22.441935;15.480645;48.040323;
2008-09-30;6;37.1;32.073333;24.399333;18.02;48.75;
2008-10-31;2;26;33.880645;26.636774;20.535484;46.612903;
2008-11-30;17;153.5;30.416667;24.252667;19.86;72.658333;
2008-12-31;22;343.2;29.093548;23.587097;20.077419;80.225806;
2009-01-31;17;242.9;30.083871;24.105806;19.877419;78.362903;
2009-02-28;13;172.6;30.396429;24.733571;20.042857;73.482143;
2009-03-31;14;144.3;31.051613;24.672258;20.354839;75.040323;
2009-04-30;14;251.4;28.25;22.826;18.926667;80.883333;
2009-05-31;2;.9;27.712903;21.545806;16.677419;75.024194;
2009-06-30;4;19.7;27.236667;20.329333;15.093333;72.991667;
2009-07-31;0;0;29.183871;21.632903;15.458065;62.701613;
2009-08-31;3;44.7;29.106452;22.003226;16.277419;61.532258;
2009-09-30;10;63.7;31.78;25.014;19.72;63.233333;
2009-10-31;14;149.4;30.767742;24.502581;20.16129;74.387097;
2009-11-30;11;108.5;31.7;25.256667;20.426667;70.191667;
2009-12-31;21;410.6;29.403226;23.652258;19.787097;81.83871;
2010-01-31;13;95.3;31.096774;24.959355;20.296774;73.282258;
2010-02-28;6;99.6;32.067857;25.709286;20.7;68.464286;
