Nome: JOAO PINHEIRO
Codigo Estacao: 83481
Latitude: -17.74027777
Longitude: -46.17694443
Altitude: 759.62
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2018-01-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;410.5;29.693333;24.01871;19.88;72.032258;
2008-02-29;13;337.8;30.041379;24.509655;20.437931;71.991379;
2008-03-31;17;235.5;29.554839;23.826452;19.66129;74.120968;
2008-04-30;10;57;30.14;24.736;20.026667;67.1;
2008-05-31;1;6.2;28.387097;22.54129;17.783871;57.274194;
2008-06-30;0;0;28.126667;21.974667;16.826667;55.25;
2008-07-31;0;0;27.729032;20.970968;15.545161;46.701613;
2008-08-31;1;.3;30.709677;23.714194;17.758065;40.435484;
2008-09-30;4;62;32.046667;24.966667;19.093333;43.7;
2008-10-31;2;1.8;33.741935;27.253548;21.654839;44.072581;
2008-11-30;15;210.6;30.226667;24.518667;20.273333;68.1;
2008-12-31;22;280.1;28.896774;23.77871;20.093548;76.830645;
2009-01-31;17;383.1;30.541935;24.625161;20.345161;72.58871;
2009-02-28;13;130.9;30.664286;25.235714;21.05;70.044643;
2009-03-31;14;219.8;31.051613;25.478065;21.203226;68.830645;
2009-04-30;11;94.3;28.82;23.528;19.646667;73.1;
2009-05-31;2;1.1;28.077419;22.320645;17.86129;64.983871;
2009-06-30;4;4.8;27.461538;21.2672;16.738462;61.89;
2009-07-31;0;0;29.619355;22.761935;17.229032;51.120968;
2009-08-31;4;29.8;29.077419;22.839355;17.390323;52.08871;
2009-09-30;4;38.5;32.053333;25.734;20.816667;53.558333;
2009-10-31;19;209.2;30.651613;24.839355;20.267742;67.870968;
2009-11-30;11;84.5;31.426667;25.560667;21.016667;64.891667;
2009-12-31;24;412.6;28.890323;23.543226;19.645161;78.419355;
2010-01-31;10;125.1;30.974194;25.572258;21.332258;66.612903;
2010-02-28;8;82.8;32.128571;26.268571;21.478571;60.866071;
2010-03-31;15;180.2;30.322581;24.74;20.519355;74.475806;
2010-04-30;7;76.6;29.465517;23.737333;18.882759;63.875;
2010-05-31;4;61.1;29.167742;23.049677;18.532258;61.822581;
2010-06-30;2;4.5;27.086667;20.461333;15.313793;57.825;
2010-07-31;0;0;28.012903;21.361935;16.1;52.919355;
2010-08-31;0;0;29.677419;22.266452;16.203226;41.314516;
2010-09-30;2;4.5;31.666667;24.452667;18.356667;42.658333;
2010-10-31;14;202;32.6;25.687097;20.267742;60.524194;
2010-11-30;23;312.2;28.953333;23.456;19.613333;77.541667;
2010-12-31;18;355.4;30.032258;24.548387;20.426667;75.685484;
2011-01-31;17;346.1;29.451613;24.398065;20.451724;75.516129;
2011-02-28;10;106.7;31.835714;26.044286;21.15;63.053571;
2011-03-31;20;409.7;28.916129;23.758065;19.958065;80.129032;
