Nome: PIRAPORA
Codigo Estacao: 83483
Latitude: -17.34916666
Longitude: -44.92166666
Altitude: 509.52
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;15;224.7;31.16129;25.535484;21.409677;72.991935;
2008-02-29;11;131.7;31.2;25.61931;21.2;75.267241;
2008-03-31;18;188.7;30.535484;24.583871;20.735484;80.040323;
2008-04-30;8;67.9;31.26;24.867333;20.196667;77.375;
2008-05-31;0;0;30.167742;21.894194;15.712903;67.620968;
2008-06-30;1;.2;30.05;21.136667;14.36;64.875;
2008-07-31;0;0;29.206452;19.834839;12.132258;58.016129;
2008-08-31;0;0;32.093548;23.234839;15.329032;50.201613;
2008-09-30;3;11.9;33.89;25.48;18.283333;49.133333;
2008-10-31;2;18.6;36.190323;28.534194;21.835484;44.935484;
2008-11-30;17;118.2;31.976667;25.937333;21.883333;72.125;
2008-12-31;17;249.4;30.280645;24.903871;21.380645;80.33871;
2009-01-31;18;128.7;31.219355;25.563871;21.477419;78.217742;
2009-02-28;10;80.9;32.267857;26.116429;21.325;73.5625;
2009-03-31;11;164.6;32.667742;25.913548;20.896774;75.677419;
2009-04-30;8;59.8;30.353333;24.068;19.793333;79.5;
2009-05-31;1;.2;29.935484;22.115484;16.241935;72.548387;
2009-06-30;0;0;29.23;21.24;15.483333;71.158333;
2009-07-31;0;0;31.119355;22.262;15.013333;59.637097;
2009-08-31;5;29.2;31.006452;23.25871;16.625806;58.096774;
2009-09-30;4;44;33.923333;26.629333;20.676667;59.1;
2009-10-31;11;277.2;32.470968;26.154839;21.667742;71.66129;
2009-11-30;11;141.8;33.193333;26.665333;21.363333;70.025;
2009-12-31;22;334.9;29.848387;24.75871;20.925806;82.459677;
2010-01-31;9;77.9;32.677419;26.314839;21.209677;72.806452;
2010-02-28;5;51.6;34.471429;27.329286;21.544444;65.705357;
2010-03-31;15;155.6;32.629032;25.823871;21.567742;78.717742;
2010-04-30;7;119.5;31.08;23.750667;18.336667;74.833333;
2010-05-31;3;11.1;31.235484;23.18129;17.36129;71.927419;
2010-06-30;1;.8;29.066667;19.94;12.933333;67.358333;
2010-07-31;0;0;30.080645;21.825161;14.525806;60.056452;
2010-08-31;0;0;30.945161;21.828387;13.416667;51.927419;
2010-09-30;2;.9;33.503333;25.692667;18.448276;46.275;
2010-10-31;13;114.8;34.280645;27.209032;21.629032;62;
2010-11-30;17;164.7;30.893333;25.067333;21.282143;79.158333;
2010-12-31;15;172.9;32.741935;26.256129;21.53871;73.919355;
2011-01-31;11;149.6;31.83871;26.020645;21.283871;73.193548;
2011-02-28;4;17;34.657143;27.543571;21.6;61.017857;
2011-03-31;20;394.1;30.716129;24.937419;21.173333;81.532258;
2011-04-30;7;53.7;30.833333;24.352667;19.32;75.058333;
2011-05-31;1;.3;29.970968;21.940645;16.003226;71.120968;
2011-06-30;0;0;29.396667;20.843333;14.403333;69.166667;
2011-07-31;1;.1;29.887097;20.850968;13.629032;64.564516;
2011-08-31;0;0;32.864516;23.665806;15.703226;52.169355;
2011-09-30;0;0;33.433333;25.231333;17.551724;46.35;
2011-10-31;12;153.1;31.070968;24.869032;20.390323;71.41129;
2011-11-30;14;143.4;29.966667;24.291333;19.93;73.983333;
2011-12-31;20;425.3;29.332258;24.290323;20.76129;82.548387;
2012-01-31;15;222.4;30.464516;24.96129;21.041935;75.717742;
2012-02-29;6;21.1;32.596552;26.225517;20.889655;66.060345;
2012-03-31;9;106.7;31.63871;25.487097;20.570968;70.080645;
2012-04-30;5;5.3;32.71;25.358667;19.876667;69.891667;
2012-05-31;4;7.1;29.4;22.528387;17.403226;70.435484;
2012-06-30;1;.4;30.83;22.636;16.326667;68.75;
2012-07-31;0;0;30.422581;21.632258;14.412903;59.532258;
2012-08-31;0;0;29.896774;22.460645;15.583871;52.669355;
2012-09-30;1;.7;33.39;25.581333;18.6;49.65;
2012-10-31;4;3.6;35.416129;27.983871;21.316129;49.096774;
2012-11-30;22;369.4;30.633333;25.278;21.713333;77.133333;
2012-12-31;9;123.4;34.177419;27.702581;22.358065;64.645161;
2013-01-31;17;187.4;30.870968;25.550968;21.706452;76.556452;
2013-02-28;4;2.5;33.217857;26.665714;21.210714;66.508929;
2013-03-31;2;145.5;32.83871;26.212258;21.635484;74.201613;
2013-04-30;null;78.8;30.151724;23.80069;19.341379;78.258621;
2013-05-31;null;13.5;30.113793;22.6;17.096429;72.798077;
2013-06-30;null;1;30.203333;22.0376;16.428;72.87;
2013-07-31;null;0;null;null;null;null;
2013-08-31;null;0;32.516667;24.32;17.458824;50.779412;
2013-09-30;null;41.8;33.086207;26.02;19.536;53.96875;
2013-10-31;null;35;32.8;26.011538;20.82069;61.175926;
2013-11-30;null;202;33.006667;26.611538;21.856667;65.778846;
2013-12-31;null;407.8;30.516667;25.256;21.706667;82.26;
2014-01-31;null;40.1;32.351613;26.183846;21.162069;67.067308;
2014-02-28;null;67.2;33.559259;26.799091;21.192;62.956522;
2014-03-31;null;90.1;31.983871;26.353333;21.533333;69.40625;
2014-04-30;null;26.2;32.283333;25.405833;20.651852;70.84375;
2014-05-31;null;.8;31.336667;22.845833;16.422581;64.729167;
2014-06-30;null;11.3;30.176667;21.8992;15.536667;66.6875;
2014-07-31;null;1.7;29.961111;21.7325;14.544444;61.1875;
2014-08-31;null;7.2;null;null;null;null;
2014-09-30;null;1.7;34.176667;26.602;19.533333;47.462963;
2014-10-31;null;67.2;34.370968;26.965714;21.2;52.36;
2014-11-30;null;231.8;32.210345;26.115;21.593333;70.03125;
2014-12-31;null;111.2;31.557143;25.704348;21.616667;74.315217;
2015-01-31;null;4;null;null;null;null;
2015-02-28;null;116.1;32.007692;25.840909;21.488889;74.215909;
2015-03-31;null;129.6;32.035484;25.777692;21.377419;76.557692;
2015-04-30;null;43.9;32.296429;25.485714;20.840741;73.011905;
2015-05-31;null;.2;30.553333;23.3224;17.876667;70;
2015-06-30;null;0;30.513333;22.596667;16.143333;64.239583;
2015-07-31;null;0;30.822581;23.074815;16.13871;58.601852;
2015-08-31;null;0;32.148387;24.078462;16.512903;51.769231;
2015-09-30;null;.2;36.56;27.938333;20.826667;44.864583;
2015-10-31;null;16.9;37.296774;29.8344;23.232258;45.04;
