Nome: CARBONITA
Codigo Estacao: 83485
Latitude: -17.533008
Longitude: -43.012091
Altitude: 765.37
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;16;145.2;29.464516;23.010968;18.209677;71.725806;
2008-02-29;15;151.8;30.4;23.290345;18.07931;74.206897;
2008-03-31;10;92.8;28.980645;22.812258;18.467742;75.991935;
2008-04-30;8;87.4;29.773333;22.626667;17.326667;75.025;
2008-05-31;3;18.9;27.248387;18.985806;12.609677;73.709677;
2008-06-30;1;1.4;26.093333;17.992;11.513333;71.141667;
2008-07-31;2;1.8;25.954839;16.672903;8.687097;64.25;
2008-08-31;1;1.5;28.706452;19.623226;11.3;56.467742;
2008-09-30;2;30.2;29.886667;21.304;14;56.675;
2008-10-31;1;4.3;32.922581;24.467742;16.590323;48.887097;
2008-11-30;20;183.9;28.533333;22.842667;18.813333;74.866667;
2008-12-31;23;237.3;27.933333;22.476;18.793333;79.45;
2009-01-31;17;254.9;29.464516;23.343871;19.080645;77.225806;
2009-02-28;7;57.1;30.992857;24.086429;18.925;69.589286;
2009-03-31;8;51.2;31.180645;23.967097;18.396774;70.233871;
2009-04-30;10;68;28;21.846667;17.48;78.525;
2009-05-31;3;4.6;26.503226;19.337419;13.919355;76.58871;
2009-06-30;3;3.3;26.373333;18.730667;13.206667;75.6;
2009-07-31;2;1.2;27.96129;18.951613;11.764516;67.741935;
2009-08-31;2;3.6;27.890323;19.490323;12.551613;64.483871;
2009-09-30;7;23.3;31.466667;23.002667;16.446667;61.166667;
2009-10-31;10;329.7;29.612903;23.114839;18.422581;72.153226;
2009-11-30;6;81;30.77;23.438;17.36;68.441667;
2009-12-31;18;276.7;29.574194;23.13871;18.435484;75.362903;
2010-01-31;3;6.4;31.612903;24.217419;18.435484;66.387097;
2010-02-28;9;101;32.221429;24.287857;18.589286;65.919643;
2010-03-31;16;117.3;30.690323;23.849677;19.26129;76.395161;
2010-04-30;2;35.6;28.883333;21.933333;16.2;71.491667;
2010-05-31;5;56.3;27.548387;20.226452;15.029032;77.83871;
2010-06-30;1;.8;25.466667;17.496;12.54;73.325;
2010-07-31;2;4.9;26.070968;18.302581;11.551613;68.669355;
2010-08-31;0;0;27.341935;18.016129;9.609677;58.983871;
2010-09-30;0;0;29.653333;20.877333;13.113333;56.091667;
2010-10-31;9;132.8;30.445161;23.111613;17.925806;66.943548;
2010-11-30;19;300.4;28.146667;22.356;18.673333;79.591667;
2010-12-31;13;225.8;30.341935;23.715484;18.732258;73.233871;
2011-01-31;14;157.8;29.412903;23.079355;18.390323;73.653226;
2011-02-28;3;56.2;31.471429;24.142857;18.092857;64;
2011-03-31;17;174.6;28.987097;22.965806;18.93871;78.580645;
2011-04-30;7;97;28.166667;21.938;17.7;76.725;
2011-05-31;2;7.7;26.477419;18.856129;13.216129;74.556452;
2011-06-30;0;0;26.46;18.193333;12.126667;71.116667;
2011-07-31;3;5.7;26.651613;17.627742;10.9;67.548387;
2011-08-31;0;0;29.574194;19.678065;11.383871;58.524194;
2011-09-30;0;0;29.166667;20.008667;11.543333;51.9;
2011-10-31;12;82.6;27.141935;21.417419;16.919355;72.475806;
2011-11-30;18;269.4;26.28;21.057241;17.286207;75.608333;
2011-12-31;21;423.8;27.219355;22.043226;18.519355;81.733871;
2012-01-31;9;112;28.935484;22.589032;17.945161;72.33871;
2012-02-29;7;13.7;30.613793;23.366207;17.596552;63.439655;
2012-03-31;6;106.8;29.909677;22.947742;17.287097;68.427419;
2012-04-30;1;.5;30.38;22.728667;17.22;68.308333;
2012-05-31;9;76.7;26.051613;19.665161;15.132258;76.112903;
2012-06-30;0;0;27.153333;19.229333;13.473333;73.516667;
2012-07-31;1;.2;27.064516;18.53871;11.480645;66.209677;
2012-08-31;7;9;26.554839;18.805806;12.325806;65.266129;
2012-09-30;2;20;29.76;21.488;14.433333;56.016667;
2012-10-31;4;15.5;31.83871;23.361935;16.358065;52.91129;
2012-11-30;20;231;28.36;22.728;19.133333;78.591667;
2012-12-31;5;67.7;32.325806;24.972903;18.629032;62.387097;
2013-01-31;16;222.4;29.948387;23.698065;19.187097;71.201613;
2013-02-28;null;10.2;31.071429;23.742143;17.692857;65.482143;
2013-03-31;null;63.2;31.083871;24.284516;19.383871;68.701613;
2013-04-30;null;76.1;27.406667;21.22;16.08;75.925;
2013-05-31;null;0;27.580645;19.74;13.293548;73.137097;
2013-06-30;null;8.4;26.813333;19.328;13.66;73.9;
2013-07-31;null;0;27.090323;18.974839;12.209677;66.33871;
2013-08-31;null;.2;27.909677;19.683226;12.693548;58.443548;
2013-09-30;null;22;29.246667;21.754667;15.873333;59.108333;
2013-10-31;null;45.1;28.619355;21.814839;16.558065;64.822581;
2013-11-30;null;250.9;29.78;23.094667;18.34;65.758333;
2013-12-31;null;595.7;28.935484;23.109032;19.332258;80.25;
2014-01-31;null;14.9;30.541935;23.506452;17.977419;65.629032;
2014-02-28;null;0;31.064286;23.628571;17.785714;60.375;
2014-03-31;null;118.8;29.303226;22.983871;18.564516;72.524194;
2014-04-30;null;3.5;29.406667;22.325333;17.113333;70.641667;
2014-05-31;null;0;27.954839;20.198065;13.970968;67.620968;
2014-06-30;null;6.4;25.613333;18.502667;12.946667;72.983333;
2014-07-31;null;3.9;25.529032;18.382581;12.719355;69;
2014-08-31;null;2.5;27.786667;18.849333;10.993333;58.858333;
2014-09-30;null;1.6;29.893333;21.532;13.786667;50.825;
2014-10-31;null;65.2;29.967742;22.236774;15.680645;55.508065;
2014-11-30;null;227.7;29.38;22.822667;18.093333;69.7;
2014-12-31;null;152.7;29.303226;23.114194;18.229032;70.596774;
2015-01-31;null;10.3;33.022581;24.883226;17.683871;54.408333;
2015-02-28;null;85;29.935714;23.575714;18.585714;68.241071;
2015-03-31;null;66.3;30.425806;23.662581;18.203226;67.016129;
2015-04-30;null;36.4;28.86;22.458667;17.626667;71.891667;
2015-05-31;null;6.2;26.296774;20.114839;15.419355;73.508065;
2015-06-30;null;.6;26.6;19.761333;14.306667;68.275;
2015-07-31;null;5.7;26.458065;19.043226;12.719355;67.290323;
2015-08-31;null;22;27.645161;19.968387;13.5;59.08871;
2015-09-30;null;25.8;32.96;24.093333;15.913333;46.35;
2015-10-31;null;10.8;33.477419;24.987742;17.719355;48.330645;
2015-11-30;null;64.5;34.213333;26.369333;20.186667;54.658333;
2015-12-31;null;85.7;33.432258;25.676774;19.758065;56.983871;
2016-01-31;null;434;29.432258;24.033548;19.958065;73.822581;
2016-02-29;null;1;32.765517;25.113793;18.251724;58.362069;
2016-03-31;null;19.7;31.593548;24.510968;18.783871;63.572581;
2016-04-30;null;39.8;31.24;23.533333;17.133333;61.491667;
2016-05-31;null;13.3;28.187097;20.684516;14.835484;70.362903;
2016-06-30;null;2.2;27.58;19.293333;12.446667;65.9;
2016-07-31;null;6.1;27.554839;19.044516;12.370968;63.516129;
2016-08-31;null;4.4;28.864516;20.817419;13.848387;57.467742;
2016-09-30;null;27.2;31.1;22.745333;15.733333;52.416667;
2016-10-31;null;35.7;31.296774;24.232258;18.529032;57.330645;
2016-11-30;null;168.5;29.04;23.17;19.133333;70.091667;
2016-12-31;null;155.5;30.167742;23.652903;18.787097;71.016129;
2017-01-31;null;57.2;31.570968;24.508387;18.970968;61.233871;
2017-02-28;null;213.4;29.364286;23.26;19.035714;73.151786;
2017-03-31;null;95;30.058065;23.337419;17.841935;68.475806;
2017-04-30;null;77.3;28.966667;22.349333;16.946667;68.683333;
2017-05-31;null;21.1;27;20.444516;15.809677;73.741935;
2017-06-30;null;4.9;26.626667;18.898667;12.993333;71.975;
2017-07-31;null;4.5;23.812903;16.974839;11.203226;67.701613;
2017-08-31;null;0;27.83871;18.590323;10.441935;58.443548;
2017-09-30;null;1.5;28.213333;20.505333;14.086667;53.8;
2017-10-31;null;31.3;32.316129;24.063226;17.290323;51.185484;
2017-11-30;null;75.7;28.736667;22.868667;18.666667;70.658333;
2017-12-31;null;237.9;28.941935;22.969677;18.512903;76.274194;
2018-01-31;null;121.7;31.348387;24.14;18.203226;63.403226;
2018-02-28;null;289.6;29.2;23.124286;18.85;76.3125;
2018-03-31;null;142.2;30.293548;23.703226;19.112903;74.435484;
2018-04-30;null;58.3;27.246667;21.304667;17.05;77.358333;
2018-05-31;null;8.2;26.348387;19.462581;14.222581;75.064516;
2018-06-30;null;0;26.353333;18.430667;12.146667;73.708333;
2018-07-31;null;1.5;26.783871;17.754839;10.545161;66.709677;
2018-08-31;null;3.1;28.303226;20.267742;13.86129;64.064516;
2018-09-30;null;12.7;30.386667;22.048667;14.873333;57.35;
2018-10-31;null;129.4;31.054839;24.052903;18.229032;67.298387;
2018-11-30;null;78.5;28.216667;22.803333;18.683333;72.108333;
2018-12-31;null;300.9;29.441935;22.823871;17.806452;74.145161;
2019-01-31;null;2.4;32.419355;24.561935;17.725806;58.822581;
2019-02-28;null;144.3;32.157143;24.627143;18.985714;69.517857;
2019-03-31;null;31.5;31.574194;24.676774;19.5;66.669355;
2019-04-30;null;23.7;31.58;24.042667;18.573333;68.85;
2019-05-31;null;34.4;30.167742;22.057857;16.007143;69.282258;
2019-06-30;null;2.7;27.74;19.676;13.25;66.458333;
2019-07-31;null;0;27.912903;18.482581;11.054839;59.580645;
2019-08-31;null;6.7;28.019355;19.756129;12.583871;60.943548;
2019-09-30;null;16.7;31.6;22.329333;13.48;54.633333;
2019-10-31;null;96.5;32.290323;23.887097;16.048387;54.33871;
2019-11-30;null;114.4;32.36;25.08;18.046667;59.65;
2019-12-31;null;92.2;31.283871;null;18.977419;null;
2020-01-31;15;341.7;30.367742;24.359355;19.564516;72.08871;
2020-02-29;10;77.2;30.572414;24.305517;19.727586;73.155172;
2020-03-31;14;186.4;27.477419;null;19.070968;null;
