Nome: CAPINOPOLIS
Codigo Estacao: 83514
Latitude: -18.7261111
Longitude: -49.56222222
Altitude: 608.98
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2018-08-13
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;20;326.8;29.345161;23.650323;20.425806;83.693548;
2008-02-29;17;357.7;28.848276;23.26069;19.955172;84.844828;
2008-03-31;20;135.2;29.558065;23.545161;20.235484;82.540323;
2008-04-30;14;121.6;29.81;23.258667;19.673333;79.45;
2008-05-31;4;111.6;27.683871;20.763871;16.5;69.782258;
2008-06-30;1;.6;28.696667;21.184667;16.433333;63.491667;
2008-07-31;0;0;28.916129;20.587742;14.829032;46.145161;
2008-08-31;1;1.8;31.783871;23.465806;17.567742;43.516129;
2008-09-30;3;3.6;33.14;24.312;17.923333;42.866667;
2008-10-31;9;200.6;32.351613;25.20129;20.512903;62.008065;
2008-11-30;13;47.6;31.276667;24.493333;20.283333;72.833333;
2008-12-31;17;320.6;30.964516;24.421935;20.493548;74.209677;
2009-01-31;20;378.5;30.077419;24.006452;20.322581;78.556452;
2009-02-28;16;152;30.507143;24.230714;20.525;81.107143;
2009-03-31;16;109.1;30.56129;24.396129;21.012903;79.943548;
2009-04-30;10;131.7;30.046667;23.106667;18.72;73.583333;
2009-05-31;4;43.9;29.348387;21.891613;17.174194;70.483871;
2009-06-30;6;17.1;27.276667;19.687333;14.9;66.6;
2009-07-31;1;8.2;30.370968;21.756129;16.077419;58.669355;
2009-08-31;4;24.7;30.345161;22.360645;17.383871;68.879032;
2009-09-30;10;235.7;31.676667;24.37;20.053333;70.783333;
2009-10-31;16;83.9;31.383871;24.335484;20.251613;77.362903;
2009-11-30;17;174.4;32.21;25.354667;21.656667;77.983333;
2009-12-31;24;402.8;29.206452;23.717419;20.496774;85.25;
2010-01-31;21;284;30.187097;24.355484;21.022581;82.677419;
2010-02-28;10;207.8;31.728571;25.119286;21.021429;81.205357;
2010-03-31;14;108.5;31.390323;24.530323;20.645161;78.491935;
2010-04-30;5;81.7;30.073333;23.046667;18.636667;68.866667;
2010-05-31;3;15.2;28.816129;20.873548;16.054839;62.435484;
2010-06-30;4;17.1;28.9;20.341333;14.86;57.891667;
2010-07-31;2;4.7;29.674194;21.830323;16.803226;51.387097;
2010-08-31;0;0;31.583871;22.454839;16.012903;38.080645;
2010-09-30;3;28.6;34.26;25.780667;20.216667;42.708333;
2010-10-31;10;111.9;32.835484;24.813548;19.535484;61.725806;
2010-11-30;18;194.3;31.253333;24.131333;19.783333;75.666667;
2010-12-31;18;165.6;31.393548;24.731333;20.883333;79.370968;
2011-01-31;21;256.7;30.222581;24.145161;20.56129;83.153226;
2011-02-28;16;202.4;31.103571;24.45;20.675;80.955357;
2011-03-31;23;517.6;29.774194;23.723226;20.706452;85.620968;
2011-04-30;8;57.6;30.613333;23.501333;19.316667;73.216667;
2011-05-31;0;0;29.048387;21.472258;16.554839;66.112903;
2011-06-30;1;34.9;27.643333;19.880667;14.73;64.216667;
2011-07-31;0;0;29.887097;21.490323;16.029032;54.564516;
2011-08-31;1;4.6;32.445161;23.476774;17.096774;45.556452;
2011-09-30;1;7.6;34.27;25.321333;18.87;39.008333;
2011-10-31;14;161.2;30.93871;24.116129;19.922581;71.379032;
2011-11-30;10;132.1;31.103333;24.053333;19.303333;66.95;
2011-12-31;17;136.5;30.629032;24.216129;20.567742;78.959677;
2012-01-31;21;307.8;28.7;23.040645;19.658065;86.225806;
2012-02-29;15;175.8;31.096552;24.134483;19.737931;75.103448;
2012-03-31;10;173.4;31.590323;24.565806;20.296774;74.290323;
2012-04-30;9;48.7;30.64;23.883333;19.763333;77.791667;
