Nome: ITUIUTABA
Codigo Estacao: 83521
Latitude: -18.952916
Longitude: -49.525072
Altitude: 540.09
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2015-10-25
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;20;424.4;31.196774;24.816129;21.129032;81.362903;
2008-02-29;17;377.7;31.313793;24.488966;19.882759;81.62069;
2008-03-31;13;158.2;32.222581;24.487097;18.970968;79.991935;
2008-04-30;11;110;31.65;24.082;19.693333;80.216667;
2008-05-31;4;39.4;29.683871;20.869677;15.419355;73.66129;
2008-06-30;0;0;30.58;20.938667;14.773333;67.583333;
2008-07-31;0;0;31.083871;19.943226;12.16129;51.935484;
2008-08-31;1;7.2;33.470968;23.623226;16.206452;45.048387;
2008-09-30;3;14.8;34.5;24.410667;16.4;42.841667;
2008-10-31;8;175.6;34.154839;25.787097;20.258065;64.137097;
2008-11-30;13;158.4;33.3;25.328;20.233333;72.366667;
2008-12-31;14;358;32.480645;25.132258;20.574194;74.596774;
2009-01-31;18;339.6;32.464516;25.11871;20.903226;78.041667;
2009-02-28;15;202.4;32.603571;25.497857;21.292857;79.258929;
2009-03-31;16;215;32.487097;25.398065;21.341935;80.08871;
2009-04-30;8;71;31.58;23.581333;18.28;75.241667;
2009-05-31;3;26;31.064516;22.209032;16.174194;72.379032;
2009-06-30;5;31.4;29.106667;19.526667;13.46;70.991667;
2009-07-31;1;8;31.464516;21.725161;15.129032;61;
2009-08-31;4;23.8;31.754839;22.472258;16.167742;56.056452;
2009-09-30;11;169;33.116667;24.760667;19.346667;69.041667;
2009-10-31;13;137.2;33.003226;25.129677;20.219355;74.758065;
2009-11-30;16;262.6;33.64;26.284;21.96;75.475;
2009-12-31;22;322.8;31.112903;24.73871;20.870968;83.467742;
2010-01-31;19;235.2;32.564516;25.777419;21.548387;77.983871;
2010-02-28;9;116.2;34.285714;26.295714;21.371429;73.125;
2010-03-31;11;166.4;33.448387;25.601935;20.890323;75.935484;
2010-04-30;5;83.4;31.593333;23.26;17.653333;71.25;
2010-05-31;3;3.9;30.503226;20.500645;13.96129;67.459677;
2010-06-30;2;22;30;19.222667;12.106667;64.666667;
2010-07-31;2;3.3;31.219355;21.286452;14.548387;53.266129;
2010-08-31;0;0;32.932258;21.670323;13.270968;40.951613;
2010-09-30;3;27.8;35.396667;26.075333;19.533333;41.783333;
2010-10-31;10;200.3;33.848387;25.13871;19.270968;62.927419;
2010-11-30;13;213;32.35;25.163333;20.38;73.416667;
2010-12-31;16;220.2;32.980645;25.956129;21.651613;76.233871;
2011-01-31;15;231;32.251613;25.392258;21.432258;79.274194;
