Nome: IPAMERI
Codigo Estacao: 83522
Latitude: -17.72444443
Longitude: -48.17194443
Altitude: 778.14
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;23;259.5;28.596774;23.367742;19.770968;78.709677;
2008-02-29;25;309.4;29.034483;23.251724;19.7;81.077586;
2008-03-31;21;281.2;28.887097;23.171613;19.270968;79.040323;
2008-04-30;13;78.6;29.403333;23.377333;19.11;75.65;
2008-05-31;2;52;27.709677;20.465806;14.829032;69.379032;
2008-06-30;0;0;28.013333;20.072667;13.683333;62.525;
2008-07-31;0;0;27.677419;18.954194;11.267742;50.080645;
2008-08-31;0;0;30.587097;22.38;14.83871;42.637097;
2008-09-30;3;30.2;32.253333;23.964;17.203333;44.533333;
2008-10-31;9;52.4;32.258065;25.323871;19.529032;56.790323;
2008-11-30;16;134.1;29.996667;24.177333;19.87;70.541667;
2008-12-31;22;301.8;28.751613;23.534194;19.867742;78.274194;
2009-01-31;19;428.2;29.622581;23.853548;19.764516;77.153226;
2009-02-28;16;178.9;30.225;24.105;19.892857;75.964286;
2009-03-31;17;150.8;30.451613;24.13871;19.66129;76.354839;
2009-04-30;12;115.7;28.183333;22.388;18.016667;75.933333;
2009-05-31;4;30.3;27.874194;21.059355;15.667742;72.370968;
2009-06-30;4;16.7;27.17;19.396667;13.436667;69.108333;
2009-07-31;1;.4;29.029032;20.906452;14.164516;59.354839;
2009-08-31;2;22.8;29.483871;22.030323;15.880645;54.564516;
2009-09-30;14;98.3;31.3;24.198;18.753333;63.391667;
2009-10-31;14;115.1;30.370968;24.280645;19.896774;72.483871;
2009-11-30;18;206;30.823333;24.71;20.383333;73.866667;
2009-12-31;24;246.4;29.103226;23.814839;20.135484;76.774194;
2010-01-31;15;196.6;30.451613;24.509032;20.174194;73.580645;
2010-02-28;10;58.5;31.55;24.981429;20.142857;71.892857;
2010-03-31;17;145.1;30.719355;24.438065;20.33871;75.258065;
2010-04-30;5;62;29.69;22.784667;17.066667;66.675;
2010-05-31;2;2.5;29.374194;21.310968;14.870968;63.16129;
2010-06-30;1;1.4;28.093333;19.412667;12.433333;59.341667;
2010-07-31;0;0;28.474194;20.888387;14.4;52.217742;
2010-08-31;0;0;30.125806;21.143871;12.751613;42.75;
2010-09-30;2;43.5;32.756667;24.825333;18.143333;42.191667;
2010-10-31;17;92.5;31.96129;24.923226;19.545161;62.975806;
2010-11-30;17;214.9;29.393333;23.706;19.703333;75.766667;
2010-12-31;19;279.3;30.219355;24.435484;20.535484;76.201613;
2011-01-31;21;261.8;29.041935;23.841935;20.035484;78.33871;
2011-02-28;15;91.7;30.914286;24.32;19.960714;73.758929;
2011-03-31;27;323.8;28.836667;23.278065;19.835484;81.524194;
2011-04-30;9;98.2;29.5;23.061333;18.013333;70.341667;
2011-05-31;1;.2;28.245161;20.745161;14.567742;67.693548;
2011-06-30;1;9.7;27.55;19.194667;12.806667;65.991667;
2011-07-31;0;0;28.693548;20.126452;13.077419;53.741935;
2011-08-31;0;0;31.464516;22.613548;14.916129;41.322581;
2011-09-30;0;0;32.8;24.56;17.293333;35.708333;
2011-10-31;18;320.8;29.312903;23.092903;18.977419;72.596774;
2011-11-30;11;98.9;29.473333;23.616667;18.993333;67.841667;
2011-12-31;25;324;28.641935;23.347742;19.948387;79.354839;
2012-01-31;25;374;28.083871;22.656129;19.409677;79.903226;
2012-02-29;13;94.2;30.27931;24.013103;19.117241;68.482759;
2012-03-31;15;150.4;30.387097;23.816774;19.167742;72.419355;
2012-04-30;11;121;30.046667;23.558667;19.096667;73.783333;
2012-05-31;8;54;27.122581;20.535484;15.6;72.459677;
2012-06-30;3;82.9;27.9;20.84;15.25;68.2;
2012-07-31;1;1.1;27.906452;19.668387;12.674194;58.419355;
2012-08-31;0;0;28.377419;20.861935;14.077419;48.314516;
2012-09-30;5;46.8;32.19;24.172667;17.116667;45.308333;
2012-10-31;5;41.2;33.325806;25.827742;19.567742;49.733871;
2012-11-30;16;189.3;30.186667;24.405333;20.57;74.741667;
2012-12-31;15;181.7;31.687097;25.249032;20.43871;70.266129;
2013-01-31;21;222.4;28.554839;23.638065;20.296774;79.604839;
2013-02-28;11;79.4;30.689286;24.224286;19.578571;72.678571;
2013-03-31;20;282.8;30.012903;24.195484;20.448387;78.217742;
2013-04-30;10;226.8;28.403333;22.066667;17.35;75.05;
2013-05-31;null;32.4;28.551613;21.26;15.264516;67.862903;
2013-06-30;null;17.8;27.896667;20.971333;15.486667;71.741667;
2013-07-31;null;0;28.209677;19.728387;13.006452;60.201613;
2013-08-31;null;.3;29.841935;21.508387;14.170968;48.709677;
2013-09-30;null;28.8;31.12;23.698667;17.586667;53.616667;
2013-10-31;null;95.8;30.574194;24.196774;19.351613;63.282258;
2013-11-30;null;175.2;30.08;24.23;19.813333;71.683333;
2013-12-31;null;365.2;29.709677;24.130323;20.470968;78.241935;
2014-01-31;null;85.1;30.877419;24.394194;18.970968;66.733871;
2014-02-28;null;32.8;30.696429;24.362857;19.110714;67.571429;
2014-03-31;null;282.9;29.519355;23.852258;19.829032;76.427419;
2014-04-30;null;96.9;29.723333;23.448;18.996667;74.375;
2014-05-31;null;9.4;28.812903;20.975484;14.76129;67.274194;
2014-06-30;null;1.1;28.216667;20.119333;13.796667;65.975;
2014-07-31;null;40.6;27.329032;19.698065;13.451613;62.862903;
2014-08-31;null;0;30.716129;21.557419;13.567742;48.798387;
