Nome: ITUMBIARA
Codigo Estacao: 83523
Latitude: -18.40972222
Longitude: -49.19194444
Altitude: 491.55
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2012-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;22;288.8;30.406452;24.609677;20.196774;78.072581;
2008-02-29;23;276.3;29.962069;24.184828;19.92069;82.267241;
2008-03-31;19;152.4;30.493548;24.432;19.812903;79.475806;
2008-04-30;13;117.6;30.223333;24.038;19.13;79.833333;
2008-05-31;4;28.4;28.43871;21.013548;14.590323;72.08871;
2008-06-30;0;0;29.486667;21.338667;13.89;66.608333;
2008-07-31;1;11.2;28.306667;19.976;12.02;52.403226;
2008-08-31;2;19;null;null;null;51.588235;
2008-09-30;3;5.9;34.323333;null;null;45.35;
2008-10-31;9;148.4;33.745161;26.369677;20.212903;58.541667;
2008-11-30;15;99.3;32.24;25.808667;21.266667;68.158333;
2008-12-31;19;269.6;31.687097;25.172903;20.580645;74.935484;
2009-01-31;13;247.8;31.296774;25.375484;20.658065;75.814516;
2009-02-28;14;207.2;32.089286;25.435;21.228571;78.482143;
2009-03-31;16;79.4;31.587097;25.476129;21.480645;76.533333;
2009-04-30;12;96.3;30.4;23.738;18.663333;73.691667;
2009-05-31;4;17.6;29.822581;22.558667;16.390323;68.717742;
2009-06-30;6;20.8;28.383333;20.113846;13.783333;66.808333;
2009-07-31;1;6.9;31.13871;21.578824;15.312903;56.591667;
2009-08-31;3;35.8;30.858065;null;17.196774;54.08871;
2009-09-30;11;146.4;32.61;null;19.526667;64.034483;
2009-10-31;11;158.8;31.825806;null;20.629032;70.516667;
2009-11-30;15;328.4;32.613333;null;22.09;73.303571;
2009-12-31;24;280.9;30.567742;null;21.480645;78.366667;
2010-01-31;16;180.5;31.767742;25.901935;21.719355;74.572581;
2010-02-28;9;50.3;33.403571;26.590714;21.689286;70.526786;
2010-03-31;15;128.3;32.454839;25.926452;21.451613;73.709677;
2010-04-30;4;78.8;30.973333;24.116;18.156667;66.2;
2010-05-31;2;3.9;30.251613;22.010323;14.606452;59.91129;
2010-06-30;2;12.6;29.456667;20.886667;12.676667;57.85;
2010-07-31;1;.4;31.067742;21.752903;11.367742;55.741935;
2010-08-31;0;0;32.41;22.110909;13.854545;43.683333;
2010-09-30;3;23.2;35.123333;null;null;43.241667;
2010-10-31;7;81;34.067742;null;null;55.854839;
2010-11-30;15;248;31.386667;null;null;70.066667;
2010-12-31;19;250.6;32.448387;null;null;74.072581;
2011-01-31;18;306.6;31.025806;null;null;77.879032;
2011-02-28;16;220.1;32.117857;null;null;74.330357;
2011-03-31;23;552.8;29.674194;null;null;81.330645;
2011-04-30;7;149;30.286667;null;null;73.341667;
2011-05-31;0;0;29.56129;null;null;67.379032;
2011-06-30;0;0;28.266667;null;null;66.375;
2011-07-31;0;0;30.148387;null;null;57.483871;
2011-08-31;1;1.3;33.035484;null;null;44.322581;
2011-09-30;null;0;34.65;null;null;null;
2011-10-31;11;110.4;31.510714;null;null;66.633929;
2011-11-30;null;null;null;null;null;null;
2011-12-31;null;null;31.181818;null;null;77.454545;
2012-01-31;null;null;30.509677;null;null;77.725806;
2012-02-29;null;null;32;null;null;69.344828;
2012-03-31;null;null;32.074194;null;null;69.685484;
2012-04-30;3;69;31.533333;null;null;73.633333;
2012-05-31;3;14.5;28.593548;null;null;71.91129;

