Nome: CATALAO
Codigo Estacao: 83526
Latitude: -18.17027777
Longitude: -47.95805555
Altitude: 857.98
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;22;253.8;null;null;19.419355;76.58871;
2008-02-29;23;377.6;null;null;19.444828;77.181034;
2008-03-31;20;308.4;null;null;19.187097;76.975806;
2008-04-30;13;111.7;null;null;19.193333;72.083333;
2008-05-31;2;11.8;null;null;15.870968;64.741935;
2008-06-30;0;0;null;null;15.856667;60.691667;
2008-07-31;0;0;null;null;13.987097;48.072581;
2008-08-31;0;0;null;null;17.093548;42.741935;
2008-09-30;6;32;31.966667;24.209333;18.17;46.95;
2008-10-31;11;67.9;31.787097;25.34129;20.16129;54.717742;
2008-11-30;15;132.7;29.653333;24.076667;19.633333;69.85;
2008-12-31;21;336.7;28.870968;23.5;19.53871;74.919355;
2009-01-31;21;365.6;29.125806;23.561935;19.6;78.540323;
2009-02-28;17;214.2;30;24.372857;20.167857;75.821429;
2009-03-31;14;120.9;29.858065;24.525806;20.219355;71.846774;
2009-04-30;7;42.8;28.346667;22.821333;18.52;71.341667;
2009-05-31;4;81.5;28.029032;21.614194;16.680645;67.467742;
2009-06-30;5;43.4;26.49;19.920667;14.98;66.958333;
2009-07-31;1;3.9;28.690323;21.723226;16.148387;56.653226;
2009-08-31;4;54.7;28.732258;22.222581;16.916129;56.080645;
2009-09-30;12;80.4;30.543333;24.344;19.516667;61.925;
2009-10-31;17;185.1;30.070968;24.193548;19.641935;69.782258;
2009-11-30;14;148.6;30.593333;24.860667;20.33;70.333333;
2009-12-31;23;232.7;28.712903;23.545806;19.725806;77.387097;
2010-01-31;19;265.9;29.883871;24.210323;20.154839;74.314516;
2010-02-28;13;190.6;31.546429;25.232143;20.596429;68.044643;
2010-03-31;16;209.5;30.516129;24.540645;20.33871;74.112903;
2010-04-30;4;48.5;29.46;23.295333;18.46;64.1;
2010-05-31;1;.5;28.948387;22.050968;16.706452;59.725806;
2010-06-30;4;14.8;27.66;20.047333;14.186667;58.916667;
2010-07-31;0;0;28.519355;21.431613;15.974194;53.016129;
2010-08-31;0;0;30.193548;22.178065;15.316129;41.354839;
2010-09-30;4;25.2;32.383333;25.119333;19.046667;42.441667;
2010-10-31;15;92.6;31.645161;25.111613;19.767742;60.58871;
2010-11-30;18;255.2;28.936667;23.254667;19.18;76.791667;
2010-12-31;18;246.5;30.36129;24.649032;20.593548;73.330645;
2011-01-31;21;273.3;28.9;23.883871;20.129032;76.629032;
2011-02-28;14;123.7;30.839286;24.773571;20.15;70.526786;
2011-03-31;26;487.7;28.219355;23.014839;19.541935;82.290323;
2011-04-30;9;159.4;29.406667;23.353333;18.633333;68.533333;
2011-05-31;0;0;28.245161;21.6;16.196774;63.927419;
2011-06-30;1;16.2;26.893333;19.837333;14.59;63.466667;
2011-07-31;0;0;28.541935;21.023871;15.06129;51.774194;
2011-08-31;0;0;31.4;23.472903;17.151613;40.693548;
2011-09-30;0;0;32.81;25.074;18.36;37.666667;
2011-10-31;16;137.2;28.883871;23.084516;18.812903;70.58871;
2011-11-30;12;132.9;29.183333;23.495333;18.876667;66.008333;
2011-12-31;23;346.1;28.083871;22.97871;19.454839;79.596774;
2012-01-31;24;343.8;27.529032;22.68;19.241935;80.362903;
2012-02-29;10;110.8;29.910345;24.44;19.993103;65.146552;
2012-03-31;18;160.7;30.141935;24.095484;19.648387;70.733871;
2012-04-30;8;59.9;29.916667;24.073333;19.76;69.441667;
