Nome: BOM DESPACHO
Codigo Estacao: 83533
Latitude: -19.71944443
Longitude: -45.36749999
Altitude: 695
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-01-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;350.8;29.658065;23.074839;18.567742;79.225806;
2008-02-29;13;230.2;30.42069;23.508276;18.348276;78.396552;
2008-03-31;14;303.7;30.225806;22.655484;17.477419;80;
2008-04-30;9;91.1;29.86;22.101333;16.486667;80.166667;
2008-05-31;1;.4;27.56129;17.905161;10.687097;76.008065;
2008-06-30;0;0;28;17.22;10.127273;76.166667;
2008-07-31;0;0;27.690323;14.832258;5.554839;69.137097;
2008-08-31;1;9;30.412903;18.365806;9.306452;65.508065;
2008-09-30;7;53.1;30.733333;19.830667;11.38;64.725;
2008-10-31;7;34;32.103226;23.125161;16.032258;67.314516;
2008-11-30;18;222.6;30.386667;23.192;18.32;76.758333;
2008-12-31;19;417.3;28.909677;22.905806;18.696774;79.58871;
2009-01-31;21;339.2;30.432258;23.570323;19.109677;78.91129;
2009-02-28;11;169.2;31.664286;24.014286;18.635714;76.276786;
2009-03-31;11;126.8;31.264516;23.709677;18.554839;77.83871;
2009-04-30;8;86.7;29.393333;21.221333;15.233333;78.216667;
2009-05-31;3;32.8;27.845161;18.470968;11.774194;77.645161;
2009-06-30;2;3.2;26.78;16.550667;9;74.583333;
2009-07-31;1;2;29.148387;17.396129;9.316129;72.733871;
2009-08-31;3;22.4;29.245161;18.374194;10.393548;68.975806;
2009-09-30;9;66.6;31.773333;22.3;15.646667;69.3;
2009-10-31;15;195.8;30.758065;23.342581;17.825806;73.790323;
2009-11-30;10;140.8;32.208;24.32;18.913333;70.683333;
2009-12-31;22;386.6;29.509677;23.458065;19.309677;78.572581;
2010-01-31;12;100.6;32.173913;24.275652;18.793548;74.870968;
2010-02-28;5;38.4;null;null;18.171429;71.294643;
2010-03-31;15;180;null;null;18.380645;78.564516;
2010-04-30;7;21.4;null;null;15.146667;73.425;
2010-05-31;5;54.2;null;null;11.077419;76.741935;
2010-06-30;2;4;null;null;6.573333;73.5;
2010-07-31;1;.4;null;null;9.374194;70.08871;
2010-08-31;0;0;30.290323;16.419355;6.412903;59.370968;
2010-09-30;5;75.8;31.73;20.139333;11.053333;59.791667;
2010-10-31;13;132.4;30.883871;22.592258;16.283871;71.427419;
2010-11-30;16;280.5;29.77;22.833333;18.156667;77.816667;
2010-12-31;17;327.4;31.664516;24.330968;19.067742;76.645161;
2011-01-31;10;128.2;31.309677;23.949677;18.864516;74.604839;
2011-02-28;6;124.5;34.039286;24.712857;17.875;67.125;
2011-03-31;17;399.7;29.43871;23.149032;18.787097;81.975806;
2011-04-30;7;122.6;30.27;21.448667;15.113333;76.5;
2011-05-31;0;0;28.551613;18.441935;11.587097;75.572581;
2011-06-30;3;16.6;27.42;16.355333;8.863333;74.341667;
2011-07-31;0;0;28.541935;16.38129;7.93871;71.677419;
2011-08-31;0;0;31.941935;18.93871;9.609677;61.524194;
2011-09-30;1;.8;32.53;20.222069;10.565517;53.558333;
2011-10-31;17;182;29.993548;22.172903;16.587097;71.193548;
2011-11-30;12;100.6;29.493333;21.667333;16.096667;73.341667;
2011-12-31;18;448.6;29.567742;23.042581;19.135484;81.290323;
2012-01-31;14;151.2;30.025806;23.089032;18.56129;77.524194;
2012-02-29;7;58.6;31.806897;23.395862;17.358621;70.181034;
2012-03-31;10;117;31.229032;23.345806;17.587097;73.193548;
2012-04-30;6;43.2;30.493333;22.356;16.44;74.433333;
2012-05-31;8;39.9;27.283871;18.350968;12.025806;76.822581;
2012-06-30;7;100.5;28.226667;18.504;12.18;77.051724;
2012-07-31;1;1.6;28.629032;16.622581;8.045161;70.185484;
2012-08-31;0;0;28.458065;17.755484;8.803226;62.483871;
2012-09-30;4;17;31.923333;20.471333;11.78;58.641667;
2012-10-31;7;56.8;33.632258;22.832903;14.06129;58.056452;
2012-11-30;16;236.1;30.31;23.246667;18.27;74.833333;
2012-12-31;11;71;33.383871;25.067742;19.232258;70.451613;
2013-01-31;17;259;30.277419;23.905806;19.503226;74.814516;
2013-02-28;null;3.8;null;null;null;null;
2013-03-31;null;141.2;30.719355;23.901935;19.26129;76.862903;
2013-04-30;null;67.8;28.723333;20.894667;15.44;77.225;
2013-05-31;null;82.8;28.758065;19.047097;11.941935;74.58871;
2013-06-30;null;34;28.286667;18.553333;11.573333;76.616667;
2013-07-31;null;0;28.448387;17.029032;9.206452;70.41129;
2013-08-31;null;1.4;29.919355;17.808387;9.290323;63.370968;
2013-09-30;null;35.2;30.876667;20.530667;12.19;65.258333;
2013-10-31;null;132.3;29.864516;21.334194;15.206452;71.903226;
2013-11-30;null;237.2;30.27;22.808667;17.253333;73.666667;
2013-12-31;null;221.7;30.9;24.152258;19.635484;79.258065;
2014-01-31;null;76.7;33.222581;23.963226;16.219355;68.177419;
2014-02-28;null;4.2;33.210714;23.902143;16.3;63.366071;
