Nome: CURVELO
Codigo Estacao: 83536
Latitude: -18.74749999
Longitude: -44.45472222
Altitude: 668.26
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2022-04-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;306.4;30.487097;24.264516;19.722581;71.822581;
2008-02-29;11;133.3;31.562069;25.085517;19.97931;70.724138;
2008-03-31;13;138.6;30.719355;24.018065;19.193548;73.790323;
2008-04-30;5;62.8;31.273333;24.192667;18.523333;70.441667;
2008-05-31;0;0;29.003226;20.512903;13.683871;64.629032;
2008-06-30;0;0;29.013333;20.122;12.993333;61.908333;
2008-07-31;0;0;28.151613;18.51871;10.277419;54.370968;
2008-08-31;1;4;30.977419;21.809032;13.374194;49.209677;
2008-09-30;5;54;31.98;23.071333;14.833333;49.25;
2008-10-31;2;44;33.925806;26.201935;19.177419;47.870968;
2008-11-30;16;267.8;30.42;24.304;19.666667;70.008333;
2008-12-31;19;440.9;29.503226;23.753548;19.674194;76.612903;
2009-01-31;18;204.4;31.403226;24.927097;20.141935;73.233871;
2009-02-28;9;131;32.875;25.452857;20.007143;70.419643;
2009-03-31;13;213.6;32.529032;25.386452;20.077419;70.612903;
2009-04-30;6;51.6;30.026667;23.056;18.14;73.975;
2009-05-31;1;25.2;29.229032;21.424516;15.154839;68.919355;
2009-06-30;3;19;27.986667;19.665333;13.306667;68.875;
2009-07-31;0;0;29.741935;20.988387;13.580645;61.806452;
2009-08-31;3;34.4;29.919355;21.496129;14.245161;57.548387;
2009-09-30;4;53.8;32.776667;24.996;18.316667;58.925;
2009-10-31;13;219.6;31.574194;24.710323;19.664516;69.483871;
2009-11-30;10;91;33.606667;26.076667;20.363333;64.9;
2009-12-31;18;253;30.106452;24.179355;19.864516;76.483871;
2010-01-31;14;242.8;33.109677;25.619355;19.964516;68.096774;
2010-02-28;6;26.5;34.414286;26.681429;19.921429;60.830357;
2010-03-31;12;262.6;32.025806;24.970769;19.046154;74.467742;
2010-04-30;4;16;30.896667;22.359;16.11;67.366667;
2010-05-31;4;41.8;30.2;null;null;68.846774;
2010-06-30;1;13;28.23;null;null;64.612069;
2010-07-31;0;0;29.283871;null;null;57.37931;
2010-08-31;0;0;30.016129;20.151333;11.467742;50.205357;
2010-09-30;1;8;32.506897;23.38069;15.675862;50.673077;
2010-10-31;9;151.9;32.383871;24.436552;18.983333;66.083333;
2010-11-30;17;246.7;29.795238;23.669;19.590476;77.263889;
2010-12-31;16;274.8;31.693548;25.052;20.26129;73.15;
2011-01-31;13;109;30.895;24.363;19.535484;69.330645;
2011-02-28;4;56.4;null;null;19.881481;57.472222;
2011-03-31;16;196.8;null;null;19.767742;77.362903;
2011-04-30;4;31.6;null;null;17.6;70.4;
2011-05-31;0;0;null;null;14.348387;65.558333;
2011-06-30;1;1;null;null;12.76;65.833333;
2011-07-31;null;0;null;null;12.088889;59.75;
2011-08-31;0;0;null;null;13.374194;47.293103;
2011-09-30;null;0;null;null;14.512;45.206522;
2011-10-31;15;175.4;null;null;18.393333;72.439655;
2011-11-30;14;217.4;null;null;17.665517;71.375;
2011-12-31;23;354.6;27.925806;23.212;19.770968;80.041667;
2012-01-31;14;241;30.135484;24.073548;19.216129;71.887097;
2012-02-29;3;60.8;32.917241;25.393103;19.424138;61.568966;
2012-03-31;8;71.3;31.306452;24.505806;18.974194;65.887097;
2012-04-30;4;31;31.596667;23.948;18.116667;68.275;
2012-05-31;4;39;28.077419;20.818065;15.006452;70.104839;
2012-06-30;1;2;29.558621;21.218621;14.655172;67.163793;
2012-07-31;null;0;29.45;19.993333;12.12;56.517241;
2012-08-31;0;0;28.580645;20.664516;13.251613;53.604839;
2012-09-30;1;2.2;32.42;23.86;15.806667;46.375;
2012-10-31;3;11.4;34.093548;25.965806;18.677419;47.58871;
2012-11-30;17;268.6;30.333333;24.587333;20.223333;73.033333;
2012-12-31;8;240.2;33.496774;26.648387;20.832258;67.564516;
2013-01-31;16;255.2;30.596774;24.867097;20.56129;74.435484;
2013-02-28;null;174.2;33;25.792593;19.682143;66.611111;
2013-03-31;null;203;31.612903;24.965806;20.593548;76.967742;
2013-04-30;null;71.2;29.42;22.692667;17.69;75.7;
2013-05-31;null;41.6;29.593548;21.390323;14.96129;70.435484;
2013-06-30;null;6.4;29.293103;21.151724;14.841379;70.092593;
2013-07-31;null;0;29.512903;20.546452;13.16129;60.658333;
2013-08-31;null;1.2;30.474194;21.524516;13.374194;50.790323;
2013-09-30;null;75.6;31.266667;23.568;16.526667;55.583333;
2013-10-31;null;57.6;31.258065;24.110323;18.348387;61.560345;
2013-11-30;null;102;32.1;25.161333;19.5;61.396552;
2013-12-31;null;476;30.764516;24.850323;20.793548;77.166667;
2014-01-31;null;50.2;33.135484;25.888;19.358065;59.775862;
2014-02-28;null;1.6;33.6;26.2725;19.415385;53.489583;
2014-03-31;null;48;32.129032;25.389032;19.780645;65.616667;
2014-04-30;null;36.8;null;null;19.05;67.408333;
2014-05-31;null;1.2;null;null;14.880645;60.032258;
2014-06-30;null;0;null;null;13.72;61.6;
2014-07-31;null;24.2;null;null;13.264516;62.137097;
2014-08-31;null;1.4;null;null;12.916129;47.616667;
2014-09-30;null;1.6;null;null;17.186667;41.05;
2014-10-31;null;20;null;null;18.683871;46.141667;
2014-11-30;null;118.8;null;null;19.886667;64.741071;
2014-12-31;null;114.8;null;null;20.148387;65.116667;
2015-01-31;null;64.2;null;null;20.258065;52.336207;
2015-02-28;null;231.4;null;null;20.192857;67.508929;
2015-03-31;null;99.4;null;null;20.093548;72.225806;
2015-04-30;null;95.8;null;null;18.88;71.883929;
2015-05-31;null;18.4;null;null;16.087097;70.41129;
2015-06-30;null;0;null;null;14.306667;64.905172;
2015-07-31;null;0;null;null;13.658065;59.959677;
2015-08-31;null;0;null;null;14.793548;51.66129;
2015-09-30;null;46.4;null;null;18.433333;49.375;
2015-10-31;null;66;null;null;20.503226;42.919355;
2015-11-30;null;157.4;null;null;21.623333;60.841667;
2015-12-31;null;247.4;null;null;20.735484;65.08871;
2016-01-31;null;279;null;null;21.1;76.596774;
2016-02-29;null;92;null;null;20.713793;63.37069;
2016-03-31;null;138.2;null;null;20.445161;68.846774;
2016-04-30;null;17.2;null;null;18.42;60.341667;
2016-05-31;null;22.6;null;null;16.006452;65.58871;
2016-06-30;null;0;null;null;13.486667;63.196429;
2016-07-31;null;0;null;null;12.806452;55.225806;
2016-08-31;null;8.7;null;null;14.867742;53.185484;
2016-09-30;null;69.2;null;null;17.726667;49.603448;
2016-10-31;null;86.4;null;null;20.222581;54.112903;
2016-11-30;null;225;null;null;20.14;72.517241;
2016-12-31;null;180.2;null;null;20;69.833333;
