Nome: DIAMANTINA
Codigo Estacao: 83538
Latitude: -18.2386111
Longitude: -43.61694443
Altitude: 1318.05
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2020-02-29
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;20;185.2;25.154839;19.923226;16.090323;76.677419;
2008-02-29;13;189.9;26.213793;20.653793;16.651724;75.836207;
2008-03-31;19;198;25.041935;19.887742;16.412903;79.709677;
2008-04-30;13;67.7;25.726667;20.177333;16.086667;76.175;
2008-05-31;5;79.3;23.012903;17.124516;12.86129;72.83871;
2008-06-30;2;1.6;21.996667;16.306667;12.156667;70.283333;
2008-07-31;5;4;21.490323;15.121935;10.23871;63.333333;
2008-08-31;1;.4;24.18;17.580667;12.393333;57.85;
2008-09-30;5;58.1;25.29;18.571333;13.283333;60.558333;
2008-10-31;3;49.1;27.316129;20.810345;15.95;60.586207;
2008-11-30;22;284.3;24.71;19.703333;16.173333;81.883333;
2008-12-31;26;421.4;24.026667;19.130667;15.983333;85.875;
2009-01-31;21;236;25.945161;20.454;16.793548;81.927419;
2009-02-28;15;172.6;26.439286;20.76;16.896429;79.944444;
2009-03-31;17;157.2;27.174194;21.266667;17.248387;75.125;
2009-04-30;16;69.7;24.153333;18.95;15.55;82.191667;
2009-05-31;2;1.8;22.99;17.234;13.193333;77.866667;
2009-06-30;11;25.6;21.666667;16.376667;12.623333;78.825;
2009-07-31;1;.2;23.616129;17.182581;12.606452;69.475806;
2009-08-31;9;17.3;23.032258;17.28129;13.329032;68.629032;
2009-09-30;9;52.3;25.866667;20.341379;17.036667;68.928571;
2009-10-31;21;405.2;24.751613;19.918667;17.054839;80.408333;
2009-11-30;13;92.7;26.703448;21.269655;17.776667;72.362069;
2009-12-31;20;276.2;25.048387;20.073548;16.529032;82.508065;
2010-01-31;8;75.8;27.387097;21.529677;17.387097;72.032258;
2010-02-28;7;36.8;28.137037;21.8;17.188889;68.62963;
2010-03-31;17;152.9;26.5;21.018;17.453333;80.075;
2010-04-30;6;39.3;24.466667;19.106667;15.476667;77.558333;
2010-05-31;9;63.7;23.936667;18.116667;14.296667;80.1;
2010-06-30;5;11.9;21.563333;15.337333;11.146667;74.108333;
2010-07-31;5;1.8;21.783871;15.866452;11.706452;73.641667;
2010-08-31;0;0;23.429032;16.374839;10.929032;61.153226;
2010-09-30;4;4.3;25.286207;18.308966;13.12069;60.603448;
2010-10-31;13;98.4;26.193548;19.929677;15.935484;75.459677;
2010-11-30;24;209.2;24.234483;19.378621;16.065517;84.844828;
2010-12-31;18;294.8;26.696774;21.008387;17.093548;78.08871;
2011-01-31;14;148.6;25.951613;20.529677;16.777419;76.806452;
2011-02-28;9;87.6;27.553571;21.321429;16.882143;70.348214;
2011-03-31;21;277.9;25.366667;20.118667;16.823333;83.75;
2011-04-30;11;54.4;24.436667;19.084667;15.65;80.891667;
2011-05-31;3;4.4;22.854839;17.007097;12.912903;77.16129;
2011-06-30;3;.3;22.216667;16.275862;12.17931;75.651786;
2011-07-31;0;0;22.396667;16.054;11.436667;69.866667;
2011-08-31;1;.5;25.406667;18.479333;13.096667;58.975;
