Nome: ECOPORANGA
Codigo Estacao: 83546
Latitude: -18.365694
Longitude: -40.840656
Altitude: 253.95
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2015-02-27
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;13;70.2;31.890323;null;19.812903;null;
2008-02-29;14;110.4;32.862069;null;21.931034;null;
2008-03-31;17;179.2;31.929032;null;21.825806;null;
2008-04-30;11;97.5;32.04;null;21.58;null;
2008-05-31;3;1.4;29.432258;null;18.403226;null;
2008-06-30;3;7.8;28.266667;null;17.706667;null;
2008-07-31;3;12.6;27.503226;null;15.574194;null;
2008-08-31;7;21.7;28.703226;null;17.767742;null;
2008-09-30;5;20.1;29.153333;null;18.25;null;
2008-10-31;5;24.6;31.993548;null;20.2;null;
2008-11-30;19;356.1;29.573333;null;21.003333;null;
2008-12-31;20;198.8;29.490323;null;21.032258;null;
2009-01-31;15;460.9;30.980645;null;21.687097;null;
2009-02-28;10;26;33.264286;null;22.446429;null;
2009-03-31;11;239.5;33.303226;null;22.33871;null;
2009-04-30;10;143.7;29.806667;null;20.88;null;
2009-05-31;4;13.7;27.877419;null;18.583871;null;
2009-06-30;5;31.7;26.706667;null;17.986667;null;
2009-07-31;6;59.2;27.780645;null;17.316129;null;
2009-08-31;8;45.3;27.845161;null;17.729032;null;
2009-09-30;7;18.4;31.633333;null;19.916667;null;
2009-10-31;12;265.7;30.935484;null;21.145161;null;
2009-11-30;8;190.5;32.306667;null;21.27;null;
2009-12-31;13;94.8;32.606452;null;22.119355;null;
2010-01-31;8;33.9;34.774194;null;22.283871;null;
2010-02-28;11;49.2;33.85;null;22.525;null;
2010-03-31;24;258.7;32.516129;null;22.067742;null;
2010-04-30;16;121.3;30.146667;null;20.71;null;
2010-05-31;10;142.6;28.477419;null;19.177419;null;
2010-06-30;5;12.7;26.556667;null;16.143333;null;
2010-07-31;19;76.1;26.474194;null;17.509677;null;
2010-08-31;3;4.6;27.516129;null;15.667742;null;
2010-09-30;7;45;29.346667;null;18.25;null;
2010-10-31;11;26;29.325806;null;20.025806;null;
2010-11-30;21;205.4;29.346667;null;20.856667;null;
2010-12-31;14;261.2;32.053333;null;21.780645;null;
2011-01-31;11;102.8;32.258065;null;21.770968;null;
2011-02-28;7;198.9;34.064286;null;22.242857;null;
2011-03-31;19;275.3;31.4;null;21.883871;null;
2011-04-30;19;152.7;30.063333;null;21.07;null;
2011-05-31;4;16.5;28.380645;null;18.090323;null;
2011-06-30;5;26.6;27.386667;null;17.133333;null;
2011-07-31;4;41.5;27.380645;null;16.719355;null;
2011-08-31;2;8;29.212903;null;17.080645;null;
2011-09-30;8;11;28.266667;null;16.676667;null;
2011-10-31;22;231.4;27.948387;null;19.567742;null;
2011-11-30;20;374.1;27.866667;null;19.276667;null;
2011-12-31;17;210.6;30.193548;null;20.903226;null;
2012-01-31;14;152.8;30.832258;null;21.3;null;
2012-02-29;11;66.5;32.144828;null;21.062069;null;
2012-03-31;10;32.8;33.012903;null;21.464516;null;
2012-04-30;11;61.6;31.92;null;21.343333;null;
2012-05-31;10;34.4;28.503226;null;19.032258;null;
2012-06-30;5;12.2;29.313333;null;18.776667;null;
2012-07-31;10;53.7;27.751613;null;17.267742;null;
2012-08-31;21;178.8;26.619355;null;17.380645;null;
2012-09-30;8;39.4;28.846667;null;18.53;null;
2012-10-31;10;18;31.883871;null;19.5;null;
2012-11-30;23;593.3;29.08;null;20.376667;null;
2012-12-31;3;24.8;34.290323;null;21.216129;null;
2013-01-31;15;158.6;32.63871;null;21.245161;null;
2013-02-28;null;35.5;33.528571;null;21.532143;null;
2013-03-31;null;173.8;32.516129;null;22.358065;null;
2013-04-30;null;94.7;29.25;null;20.063333;null;
2013-05-31;null;27.5;28.967742;null;18.506452;null;
2013-06-30;null;19.8;28.573333;null;18.783333;null;
2013-07-31;null;12.4;28.219355;null;17.816129;null;
2013-08-31;null;22.6;28.832258;null;17.064516;null;
2013-09-30;null;50.7;29.13;null;18.6;null;
2013-10-31;null;105.3;28.406452;null;18.922581;null;
2013-11-30;null;260.2;30.586667;null;19.64;null;
2013-12-31;null;630.6;30.677419;null;21.06129;null;
2014-01-31;null;49.3;32.354839;null;21.132258;null;
2014-02-28;null;67.9;32.45;null;20.75;null;
2014-03-31;null;121.1;31.8;null;21.13871;null;
2014-04-30;null;85.6;30.84;null;19.96;null;
2014-05-31;null;8.8;29.4;null;18.190323;null;
2014-06-30;null;82.8;27.406667;null;17.473333;null;
2014-07-31;null;102.7;26.683871;null;16.906452;null;
2014-08-31;null;46.8;28.064516;null;15.709677;null;
2014-09-30;null;9.6;30.063333;null;17.626667;null;
2014-10-31;null;215.7;30.416129;null;18.451613;null;
2014-11-30;null;132.3;30.173333;null;19.403333;null;
2014-12-31;null;115.3;31.212903;null;20.093548;null;
2015-01-31;null;20;35.16129;null;null;null;
2015-02-28;null;null;null;null;null;null;

