Nome: CORUMBA
Codigo Estacao: 83552
Latitude: -19.00461
Longitude: -57.672338
Altitude: 131.07
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2014-06-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;23;239.6;32.619355;null;24.5;null;
2008-02-29;13;208.3;33.134483;null;24.068966;null;
2008-03-31;8;44.9;33.158065;null;24.358065;null;
2008-04-30;7;79.2;31.093333;null;21.763333;null;
2008-05-31;6;116.2;28.103226;23.722105;19.393548;75.460526;
2008-06-30;1;.5;26.846667;20.698667;16.653333;75.433333;
2008-07-31;1;.6;32.303226;25.724516;21.780645;null;
2008-08-31;3;41.9;32.745161;26.098065;21.609677;60.185484;
2008-09-30;4;18.1;32.926667;25.620667;20.446667;50.8;
2008-10-31;7;91.5;34.835484;27.980645;23.425806;66.798387;
2008-11-30;11;116.4;36.116667;28.583333;23.383333;67.983333;
2008-12-31;9;100.5;35.745161;28.525806;23.780645;67.112903;
2009-01-31;8;116.9;35.396774;28.137419;22.393548;64.935484;
2009-02-28;16;179.3;34.575;28.013077;23.603571;77.58;
2009-03-31;12;169;34.683871;27.914194;23.919355;78.983871;
2009-04-30;3;34.2;35.613333;27.798621;22.566667;64.310345;
2009-05-31;4;40.1;32.480645;25.350968;20.535484;69.774194;
2009-06-30;4;29.7;28.786667;21.715714;16.333333;70.875;
2009-07-31;9;61.4;29.925806;22.280645;16.96129;71.508065;
2009-08-31;6;19.4;32.683871;24.533548;18.293548;59.120968;
2009-09-30;4;9.4;32.896667;25.500667;19.686667;58.301724;
2009-10-31;7;103.5;36.006452;28.683871;23.074194;62.572581;
2009-11-30;6;47.2;37.266667;30.194;25.913333;68.543478;
2009-12-31;14;258.4;33.8;27.934839;23.529032;76.419355;
2010-01-31;15;209.5;32.990323;27.524667;23.16129;78.725;
2010-02-28;14;109.2;33.932143;28.260769;24.475;80.317308;
2010-03-31;6;91.3;35.141935;28.845806;24.129032;72.362903;
2010-04-30;3;8.9;32.31;26.248667;21.63;null;
2010-05-31;8;77.4;28.2;21.755484;16.748387;72.275862;
2010-06-30;1;2.7;30.286667;23.344286;18.056667;68.526786;
2010-07-31;4;7.4;28.132258;21.374667;15.958065;61.783333;
2010-08-31;0;0;null;null;null;null;
2010-09-30;4;34.1;null;null;null;54.548077;
2010-10-31;9;73.7;34.096774;null;null;62.660714;
2010-11-30;9;97.6;33.726667;null;null;64.898148;
2010-12-31;11;50.8;36.603226;null;null;62.8;
2011-01-31;17;249.8;33.851613;null;null;78.862903;
2011-02-28;21;345.4;31.774074;null;null;84.57;
2011-03-31;19;242.1;31.683333;null;null;83.942308;
2011-04-30;7;80.9;32.216667;null;null;77.37069;
2011-05-31;3;1.8;28.51;null;null;70.803571;
2011-06-30;2;4.1;27.758621;null;null;null;
2011-07-31;4;11.6;28.890323;null;null;null;
2011-08-31;4;19.5;30.858065;null;null;59.104839;
2011-09-30;3;22;34.043333;null;null;60.95;
2011-10-31;7;136.4;34.364516;null;null;66.217742;
2011-11-30;5;44.8;36.896667;null;null;57.333333;
2011-12-31;8;93;36.758065;null;null;63.975806;
2012-01-31;15;107.9;34.745161;null;null;71.758333;
2012-02-29;14;93.6;34.078571;null;null;74.883929;
2012-03-31;11;110.8;33.893548;null;null;73.53125;
2012-04-30;9;182.1;33.191304;null;null;null;
2012-05-31;7;77.1;30.577778;null;null;null;
2012-06-30;7;48.5;29.365217;null;null;null;
2012-07-31;1;.6;28.703846;null;null;null;
2012-08-31;null;0;33.844444;null;null;null;
2012-09-30;3;21;36.881481;null;null;null;
2012-10-31;5;19.8;37.236667;null;null;59.034483;
2012-11-30;15;224.7;34.633333;null;null;72.558333;
2012-12-31;7;155.4;35.251613;null;null;71.443548;
2013-01-31;11;204.7;35.335714;null;null;70.196429;
2013-02-28;14;74.1;34.332;null;null;78.11;
2013-03-31;10;179;33.296154;null;null;null;
2013-04-30;10;90.1;32.385185;null;null;null;
2013-05-31;7;55.2;30.125806;null;null;76.758333;
2013-06-30;8;73.2;28.48;null;null;81.691667;
2013-07-31;2;9.8;28.596667;null;null;65.516667;
2013-08-31;1;2.6;29.867742;null;null;51.016129;
2013-09-30;3;37.1;33.643333;null;null;55.491667;
2013-10-31;9;51.3;34.8;null;null;64.483333;
2013-11-30;8;115.4;35.777778;null;null;65;
2013-12-31;12;273.5;35.364516;null;null;72.25;
2014-01-31;1;156.3;33.777419;null;null;75.669355;
2014-02-28;null;126.1;32.9;null;null;78.821429;
2014-03-31;null;331.6;33;null;null;76.2;
2014-04-30;null;36.9;33.4;null;null;null;
2014-05-31;9;239.8;27.907143;null;null;null;
2014-06-30;null;null;28.14;null;null;null;

