Nome: PARANAIBA
Codigo Estacao: 83565
Latitude: -19.66361111
Longitude: -51.19138888
Altitude: 429.62
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;22;331.8;30.548387;25.371613;21.358065;null;
2008-02-29;18;215.6;30.558621;24.69931;20.558621;82.267241;
2008-03-31;13;314.2;29.825806;24.992903;20.996774;77.274194;
2008-04-30;10;124.8;30.08;24.696667;20.853333;78.325;
2008-05-31;6;51.2;26.845161;21.007097;16.006452;70.693548;
2008-06-30;0;0;28.06;21.527333;16.08;67.325;
2008-07-31;0;0;30.090323;22.156129;15.048387;48.233871;
2008-08-31;6;22.4;31.851613;24.283871;17.406452;48.677419;
2008-09-30;2;6.8;31.486667;24.246667;17.96;45.991667;
2008-10-31;11;70.6;33.496774;26.881935;21.454839;60.129032;
2008-11-30;13;145.2;32.126667;25.945333;20.786667;67.058333;
2008-12-31;15;198.4;32.419355;26.472258;21.229032;67.629032;
2009-01-31;21;303.6;30.56129;25.364516;21.525806;75.475806;
2009-02-28;13;167.1;31.042857;25.915;21.807143;74.705357;
2009-03-31;19;232.3;31.212903;25.926452;21.416129;74.604839;
2009-04-30;4;4;30.813333;24.804667;19.576667;65.258333;
2009-05-31;3;46.4;29.741935;22.911613;17.277419;67.475806;
2009-06-30;6;26.9;26.426667;19.941333;14.806667;68.266667;
2009-07-31;3;12.2;29.245161;21.862581;15.670968;63.943548;
2009-08-31;7;33.6;30.477419;22.862581;16.616129;55.919355;
2009-09-30;14;250.8;31.12;24.772667;20.023333;70.775;
2009-10-31;16;123.6;31.406452;25.267097;20.654839;72.362903;
2009-11-30;18;165.8;32.253333;26.590667;22.153333;72.766667;
2009-12-31;22;301.6;30.63871;25.369677;21.535484;81.306452;
2010-01-31;23;335.2;30.806452;25.197419;21.309677;81.516129;
2010-02-28;14;213.4;32.05;26.537857;22.442857;74.223214;
2010-03-31;14;290.8;32.025806;26.296129;21.5;71.701613;
2010-04-30;7;93.8;30.593333;24.648667;19.47;66.175;
2010-05-31;4;20.4;28.36129;21.014194;15.167742;null;
2010-06-30;3;4.2;29.153333;21.121333;14.423333;58.15;
