Nome: UBERABA
Codigo Estacao: 83577
Latitude: -19.73722221
Longitude: -47.94972221
Altitude: 753.41
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2018-08-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;22;341.9;29.674194;23.558065;19.670968;79.048387;
2008-02-29;22;385.3;30.231034;23.443448;19.468966;80.068966;
2008-03-31;18;320.8;30.458065;23.499355;18.916129;76.024194;
2008-04-30;16;235.4;30.016667;23.148;18.916667;76.441667;
2008-05-31;5;75.2;27.758065;19.9;14.6;71.016129;
2008-06-30;null;0;28.437931;20.49;14.993103;67.366071;
2008-07-31;null;0;28.85;19.311724;11.944828;56.517857;
2008-08-31;3;18.8;30.915385;22.492308;15.933333;55.730769;
2008-09-30;5;40.2;32.684615;23.4216;15.864;51.574074;
2008-10-31;10;68.8;32.022581;25.359355;20.167742;57.209677;
2008-11-30;16;121;31.056667;24.402667;19.856667;67.633333;
2008-12-31;20;450.3;29.890323;23.781333;19.496667;75.241667;
2009-01-31;20;291.2;30.643333;24.164516;19.956667;74.435484;
2009-02-28;20;251.3;30.72963;24.547407;20.177778;75.462963;
2009-03-31;20;200.6;30.596774;24.280645;20.296774;77.870968;
2009-04-30;8;48.4;30.033333;22.638667;17.36;69.591667;
2009-05-31;4;41.5;29.029032;21.06;15.651613;69.25;
2009-06-30;7;28.9;26.54;18.209333;12.853333;70.4;
2009-07-31;2;11.4;29.3;20.603226;14.63871;61.822581;
2009-08-31;4;20.9;29.370968;21.173548;15.541935;55.258065;
2009-09-30;11;88.1;30.853333;23.680667;18.636667;64.883333;
2009-10-31;12;152.4;31.245161;24.168387;19.435484;68.862903;
2009-11-30;18;153.5;32.1;25.082;20.503333;72.108333;
2009-12-31;22;339.3;29.551613;23.603226;19.903226;80.379032;
2010-01-31;20;411.2;30.545161;24.408387;20.174194;76.169355;
2010-02-28;14;169.5;32.185714;24.735714;19.892857;72.080357;
2010-03-31;19;211.8;31.567742;24.300645;19.670968;75.822581;
2010-04-30;5;96;30.203333;22.531333;16.66;67.658333;
2010-05-31;5;18.3;28.932258;19.718065;13.154839;67.467742;
2010-06-30;3;9.5;28.566667;18.224;11.213333;63.341667;
2010-07-31;1;.7;29.622581;20.431613;14.322581;54.66129;
2010-08-31;0;0;31.306452;20.999355;12.83871;43.427419;
2010-09-30;4;72.1;32.666667;24.14;17.606667;48.675;
2010-10-31;12;176.4;31.235484;23.630323;17.541935;63.290323;
2010-11-30;19;366.9;30.11;23.323333;18.466667;74.575;
2010-12-31;16;226.3;31.293548;24.717419;20.029032;75.024194;
2011-01-31;22;284.7;30.351613;24.049677;20.187097;78.153226;
2011-02-28;15;188.1;31.4;24.347143;19.578571;73.625;
2011-03-31;28;629.3;29.180645;22.965161;19.793548;85.532258;
2011-04-30;12;301.2;30.413333;22.801333;17.6;72.933333;
2011-05-31;1;.6;28.480645;20.014839;13.774194;69.225806;
2011-06-30;3;25.1;27.323333;17.954;11.826667;68.508333;
2011-07-31;0;0;29.064516;19.740645;13.4;58.395161;
2011-08-31;1;2.9;31.53871;21.69871;14.754839;50.895161;
2011-09-30;1;2;33.28;24.086667;16.56;42.625;
2011-10-31;16;151.6;30.019355;23.307097;18.690323;69.25;
2011-11-30;12;148.8;30.256667;23.104667;17.533333;66.6;
2011-12-31;15;213.7;29.832258;23.699355;19.490323;76.677419;
2012-01-31;21;415.5;28.751613;22.629032;18.716129;81.25;
2012-02-29;13;156;31.431034;24.237931;19.034483;70.267241;
2012-03-31;14;128.5;31.093548;23.894839;18.76129;71.991935;
2012-04-30;9;86.6;30.573333;22.865333;17.94;76.575;
2012-05-31;8;73;27.241935;19.725806;14.625806;73.290323;
2012-06-30;6;91;28.173333;20.188667;15.116667;75.225;
2012-07-31;3;10.2;28.074194;18.600645;12.187097;66.362903;
2012-08-31;0;0;28.964516;20.743871;14.090323;52.991935;
2012-09-30;4;30.6;32.756667;23.81;16.693333;62.616667;
2012-10-31;4;35.5;34.603226;26.359355;19.8;53.846774;
2012-11-30;18;221.8;31.163333;24.603333;19.753333;73.133333;
2012-12-31;16;169.2;31.803226;25.216129;20.587097;75.112903;
2013-01-31;22;293.2;29.745161;23.910323;20.045161;81.75;
2013-02-28;17;153.8;30.457143;23.957143;19.892857;80.928571;
2013-03-31;4;230.3;30.290323;23.865806;19.83871;81.854839;
2013-04-30;null;167.7;28.476667;21.475333;16.653333;77.125;
2013-05-31;null;97.9;28.416129;20.325806;14.877419;72.717742;
2013-06-30;null;37.1;28.326667;20.422667;15.273333;73.783333;
2013-07-31;null;14.8;27.387097;18.308387;11.903226;65.25;
2013-08-31;null;0;29.903226;20.19871;12.851613;50.241935;
2013-09-30;null;69.3;30.946667;22.934667;16.473333;54.475;
2013-10-31;null;140;30.719355;23.450968;18.122581;63.967742;
2013-11-30;null;190.4;30.033333;23.722667;19.266667;70.575;
2013-12-31;null;224.7;30.519355;24.377419;20.270968;77.201613;
2014-01-31;null;178;32.170968;24.692258;19.16129;66.943548;
2014-02-28;null;120.7;31.814286;24.591429;19.192857;66.080357;
2014-03-31;null;149.1;30.587097;23.771613;19.458065;74.798387;
2014-04-30;null;61.8;30.206667;23.045333;18.313333;76.533333;
2014-05-31;null;1.8;28.406452;19.970323;14.058065;69.258065;
2014-06-30;null;.6;28.75;19.840667;13.746667;65.116667;
2014-07-31;null;62.1;27.545161;19.093548;13.374194;64.540323;
2014-08-31;null;1.5;31.093548;21.465161;13.754839;49.830645;
2014-09-30;null;24.4;33.073333;24.394667;17.693333;51.733333;
2014-10-31;null;107.3;33.806452;25.585806;18.974194;50.419355;
2014-11-30;null;209.9;30.756667;24.076667;19.74;74.125;
2014-12-31;null;309.3;30.158065;24.047097;19.8;75.620968;
2015-01-31;null;91.4;33.596774;26.045806;20.122581;63.693548;
2015-02-28;null;349.8;30.792857;23.791429;19.15;76.553571;
2015-03-31;null;302.4;29.196774;22.992903;19.335484;82.806452;
2015-04-30;null;89.8;30.22;23.048;18.48;77.591667;
2015-05-31;null;89.4;27.283871;20.626452;16.164516;77.032258;
2015-06-30;null;36.3;27.66;19.795333;14.716667;72.125;
2015-07-31;null;6.4;28.432258;20.149677;14.309677;68.451613;
2015-08-31;null;0;31.1;21.258065;13.86129;54.637097;
2015-09-30;null;100;32.543333;24.139333;17.493333;60.35;
2015-10-31;null;72.7;35.435484;26.976129;20.535484;55.870968;
2015-11-30;null;212.9;32.033333;24.972;20.033333;73.65;
2015-12-31;null;276.2;31.403226;24.34129;20.232258;76.854839;
2016-01-31;null;315.2;29.712903;24.26129;21.064516;82.16129;
2016-02-29;null;131.5;31.072414;25.002069;19.903448;76.827586;
2016-03-31;null;292.9;29.948276;24.562069;20.255172;77.974138;
2016-04-30;null;4.5;31.166667;23.470667;17.673333;62.158333;
2016-05-31;null;8.4;29.058065;21.230968;15.025806;65.733871;
2016-06-30;null;83.9;26.866667;19.094667;13.673333;67.341667;
2016-07-31;null;0;29.435484;19.676774;12.464516;54.427419;
2016-08-31;null;33.2;30.890323;21.630968;14.36129;50.241935;
2016-09-30;null;18.7;33.24;24.018667;16.02;45.683333;
2016-10-31;null;178.8;32.273333;24.373333;18.7;63.416667;
2016-11-30;null;458.3;29.791667;23.415;19.264;76.5;
2016-12-31;null;247.2;31.127586;24.421481;19.964286;75.166667;
2017-01-31;null;275.3;30.151852;24.064615;20.107692;79.855769;
2017-02-28;null;141.1;31.492;24.869167;19.616667;69.739583;
2017-03-31;null;122.4;31.789655;24.668889;19.257143;69.842593;
2017-04-30;null;82.8;30.292593;23.476;18.533333;73.74;
2017-05-31;null;150.7;29.148276;21.763704;16.585185;72.148148;
