Nome: FLORESTAL
Codigo Estacao: 83581
Latitude: -19.885422
Longitude: -44.416889
Altitude: 753.51
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2018-07-04
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;18;330.8;29.196774;null;null;null;
2008-02-29;16;210.6;30.382759;null;null;null;
2008-03-31;18;376;30.245161;null;null;null;
2008-04-30;11;111.6;30.056667;null;null;null;
2008-05-31;0;0;28.267742;null;null;null;
2008-06-30;3;5.3;27.68;null;null;null;
2008-07-31;0;0;26.919355;null;null;null;
2008-08-31;2;48.8;29.493548;null;null;null;
2008-09-30;8;77.6;29.436667;null;null;null;
2008-10-31;8;34.9;32.117241;null;null;null;
2008-11-30;17;257.5;29.503448;null;null;null;
2008-12-31;20;487.2;28.366667;null;null;null;
2009-01-31;20;320.6;29.763333;null;null;null;
2009-02-28;12;265.7;30.854167;null;null;null;
2009-03-31;11;135.4;31.267857;null;null;null;
2009-04-30;5;51.4;28.707407;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;2;21.2;28.267742;null;null;null;
2009-09-30;8;50.9;31.396552;null;null;null;
2009-10-31;11;237;30.019355;null;null;null;
2009-11-30;13;160.6;32.126667;null;null;null;
2009-12-31;26;429.4;28.735484;null;null;null;
2010-01-31;13;163.4;31.73871;null;null;null;
2010-02-28;7;60;32.85;null;null;null;
2010-03-31;19;210.4;30.658065;null;null;null;
2010-04-30;3;51.8;29.703704;null;null;null;
2010-05-31;5;48.2;27.231034;null;null;null;
2010-06-30;1;1.4;25.964286;null;null;null;
2010-07-31;null;0;27.027586;null;null;null;
2010-08-31;0;0;28.858065;null;null;null;
2010-09-30;5;61.1;29.81;null;null;null;
2010-10-31;10;147.3;29.83871;null;null;null;
2010-11-30;17;333.6;28.626667;null;null;null;
2010-12-31;17;305.8;31.380645;null;null;null;
2011-01-31;14;239.7;28.47;null;null;null;
2011-02-28;7;27.8;33.474074;null;null;null;
2011-03-31;13;170.7;29.874074;null;null;null;
2011-04-30;5;28.4;29.865385;null;null;null;
2011-05-31;2;.8;27.93871;null;null;null;
2011-06-30;2;12;26.52;null;null;null;
2011-07-31;null;0;27.385714;null;null;null;
2011-08-31;0;0;30.829032;null;null;null;
2011-09-30;1;.3;30.703571;null;null;null;
2011-10-31;14;145;28.696774;null;null;null;
2011-11-30;15;355.9;28.296667;null;null;null;
2011-12-31;22;671.6;28.1;null;null;null;
2012-01-31;18;332.2;29.463333;null;null;null;
2012-02-29;7;36.6;31.376;null;null;null;
2012-03-31;15;153.2;30.770968;null;null;null;
2012-04-30;7;32.4;30.006667;null;null;null;
2012-05-31;6;29.8;26.26129;null;null;null;
2012-06-30;7;39;26.86;null;null;null;
2012-07-31;2;2.6;27.525806;null;null;null;
2012-08-31;1;.4;26.879167;null;null;null;
2012-09-30;null;0;32.972222;null;null;null;
2012-10-31;6;74.8;31.706452;null;null;null;
2012-11-30;19;255.3;29.863333;null;null;null;
2012-12-31;11;173.2;32.848387;null;null;null;
2013-01-31;21;242.6;30.235484;null;null;null;
2013-02-28;null;56;32.157143;null;null;null;
2013-03-31;null;136.6;30.035484;null;null;null;
2013-04-30;null;73.4;27.693333;null;null;null;
2013-05-31;null;63.3;27.935484;null;null;null;
2013-06-30;null;19.4;27.331034;null;null;null;
2013-07-31;null;1.4;27.847619;null;null;null;
2013-08-31;null;.2;29.093333;null;null;null;
2013-09-30;null;37.8;29.94;null;null;null;
2013-10-31;null;113;29.125806;null;null;null;
2013-11-30;null;118;30.396552;null;null;null;
2013-12-31;null;316.4;29.735484;null;null;null;
2014-01-31;null;104.6;32.913333;null;null;null;
2014-02-28;null;4;33.085185;null;null;null;
2014-03-31;null;155;30.825806;null;null;null;
2014-04-30;null;71.2;29.744828;null;null;null;
2014-05-31;null;8;28.573077;null;null;null;
2014-06-30;null;3.6;null;null;null;null;
2014-07-31;null;51.4;26.23871;null;null;null;
2014-08-31;null;0;29.5;null;null;null;
2014-09-30;null;3.4;31.966667;null;null;null;
2014-10-31;null;161.2;31.577419;null;null;null;
2014-11-30;null;262.4;30.64;null;null;null;
2014-12-31;null;128;30.896774;null;null;null;
2015-01-31;null;198.4;34.558065;null;null;null;
2015-02-28;null;240.7;31.092857;null;null;null;
2015-03-31;null;225;30.448387;null;null;null;
2015-04-30;null;24.9;29.866667;null;null;null;
2015-05-31;null;30.8;26.751613;null;null;null;
