Nome: BAMBUI
Codigo Estacao: 83582
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 684.43
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2018-04-04
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;21;648.4;28.825806;22.448387;18.170968;84.08871;
2008-02-29;16;265.7;29.641379;23.218621;18.9;81.853448;
2008-03-31;15;136;29.445161;22.492258;17.951613;82.564516;
2008-04-30;13;267.9;28.82;21.893333;17.293333;83.608333;
2008-05-31;2;14.4;27.180645;18.260645;11.980645;80.524194;
2008-06-30;2;3.8;26.946667;17.482667;11.286667;82.6;
2008-07-31;0;0;26.703226;15.034839;6.729032;74.91129;
2008-08-31;3;21.7;29.054839;18.556774;10.619355;71.217742;
2008-09-30;8;99;29.72;19.906667;12.22;67.766667;
2008-10-31;8;46.5;30.609677;22.74;16.954839;72.782258;
2008-11-30;16;113.1;29.536667;22.93;18.413333;77.191667;
2008-12-31;17;430.2;28.687097;22.694194;18.958065;83.435484;
2009-01-31;17;439.8;29.641935;23.087097;18.929032;83.33871;
2009-02-28;14;224;30.396429;23.652143;19.121429;81.571429;
2009-03-31;16;192.5;30.164516;23.46;19.393548;83.241935;
2009-04-30;8;120.7;28.59;20.975333;15.8;81.775;
2009-05-31;6;47.6;27.254839;18.729032;12.758065;83.346774;
2009-06-30;4;32;25.76;16.402667;9.846667;83;
2009-07-31;1;2.4;28.29;17.938621;10.273333;78.232759;
2009-08-31;4;45.2;27.867742;18.514194;11.251613;73.362903;
2009-09-30;11;115.8;29.993103;22.097931;15.859259;74.783333;
2009-10-31;15;153.9;29.725806;22.731613;18.16129;81.185484;
2009-11-30;10;91.1;31.772414;24.145385;18.653333;76.351852;
2009-12-31;24;232.1;29.183871;22.876667;18.27;84.525;
2010-01-31;12;226;31.074194;23.782581;18.141935;79.830645;
2010-02-28;7;118.4;31.7;24.051429;18.357143;74.080357;
2010-03-31;11;273.3;30.433333;23.012;17.756667;83.575;
2010-04-30;6;124;28.816667;20.648;14.346667;80;
2010-05-31;4;36.7;27.47;18.012;11.593333;80.841667;
2010-06-30;2;2;25.73;14.802222;8.028571;79.268519;
2010-07-31;2;4.5;26.780645;17.096774;11.387097;76.669355;
2010-08-31;0;0;28.883871;17.005806;10.03871;66.040323;
2010-09-30;6;101.5;30.26;20.653333;14.48;66.291667;
2010-10-31;13;160.8;29.709677;22.290323;17.980645;77.887097;
2010-11-30;19;174.1;29.103333;22.703448;19.866667;82.341667;
2010-12-31;19;233.5;30.819355;24.036129;19.735484;82.725806;
2011-01-31;16;327.4;30.187097;23.546667;18.764516;80.516129;
2011-02-28;10;132.6;31.871429;23.957778;17.881481;74.592593;
2011-03-31;22;275.2;28.396774;22.550968;18.512903;86.274194;
2011-04-30;11;197.8;29.026667;21.157333;16.06;82.966667;
2011-05-31;1;12;27.151613;18.416;11.951613;81.425;
2011-06-30;1;17.8;26.063333;15.778;8.724138;80.775;
