Nome: BELO HORIZONTE
Codigo Estacao: 83587
Latitude: -19.93444444
Longitude: -43.95222222
Altitude: 915.47
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;305.5;27.216667;22.633333;19.553333;70.425;
2008-02-29;14;208.6;28.772414;23.694483;20.358621;66.637931;
2008-03-31;18;346.5;28.248387;22.969677;19.529032;68.766129;
2008-04-30;12;144;28.346667;23.294667;19.75;64.291667;
2008-05-31;1;.5;25.829032;20.626452;16.651613;58.201613;
2008-06-30;1;2.1;25.596667;20.044667;16.183333;59.508333;
2008-07-31;0;0;25.254839;19.089677;14.532258;50.693548;
2008-08-31;2;47.1;27.235484;21.284516;16.880645;51.548387;
2008-09-30;7;99.7;27.573333;21.504667;16.973333;53.4;
2008-10-31;4;53.2;29.56129;23.94129;19.980645;55.233871;
2008-11-30;17;216.2;27.18;22.582069;19.206897;67.810345;
2008-12-31;21;601.3;26.983871;22.284516;19.270968;74.491935;
2009-01-31;21;313.4;28.619355;23.460645;20;70.540323;
2009-02-28;13;215.8;29.15;23.972857;20.167857;67.607143;
2009-03-31;16;273.2;29.264516;24.096129;20.696774;67.967742;
2009-04-30;6;41.6;27.223333;22.372;18.83;64.591667;
2009-05-31;3;20.4;26.077419;20.773548;16.896774;63.483871;
2009-06-30;3;38.6;24.993333;19.426667;15.356667;61.5;
2009-07-31;1;.2;26.619355;20.750323;16.354839;58.91129;
2009-08-31;4;23.1;25.912903;20.452258;16.303226;56.33871;
2009-09-30;8;103.1;29.136667;23.33;18.98;57.341667;
2009-10-31;17;344.3;28.112903;22.657419;18.851613;69;
2009-11-30;13;213.7;29.79;24.371333;20.186667;62.916667;
2009-12-31;24;564.1;26.946667;22.432667;19.143333;76.741667;
2010-01-31;12;291.5;29.783871;24.517419;20.270968;62.306452;
