Nome: C. DO MATO DENTRO
Codigo Estacao: 83589
Latitude: -19.02027777
Longitude: -43.43388888
Altitude: 663.02
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;21;185.7;29.277419;23.019355;18.558065;76.419355;
2008-02-29;12;156;30.517241;23.643448;18.782759;76.715517;
2008-03-31;16;193.7;29.903226;23.02;18.848387;79.064516;
2008-04-30;6;74;30.268966;22.293077;17.571429;null;
2008-05-31;2;3.7;26.806452;18.061935;12.632258;81.193548;
2008-06-30;2;2.2;26.263333;17.078667;11.716667;80.208333;
2008-07-31;1;.3;25.783871;15.34;7.864516;74.677419;
2008-08-31;3;16.9;28.164516;18.340645;10.254839;67.032258;
2008-09-30;6;57.5;28.663333;20.335;13.075;65.419643;
2008-10-31;8;136.4;30.758065;22.90129;16.574194;67.072581;
2008-11-30;20;289;27.83;22.322069;19;81.344828;
2008-12-31;23;478;27.893548;22.685517;19.212903;83.655172;
2009-01-31;22;503.4;30.016129;23.566;19.42069;79.383929;
2009-02-28;13;80.3;30.803846;23.941538;19.696154;78.173077;
2009-03-31;13;108.9;30.766667;23.84963;19.2;78.935185;
2009-04-30;11;152.3;28.573333;21.630667;17.623333;83.175;
2009-05-31;3;4.7;26.554839;18.895484;13.964516;82.427419;
2009-06-30;10;26.6;25.81;18.025333;13.636667;83.146552;
2009-07-31;2;.9;26.851613;17.998065;12.329032;79.225806;
2009-08-31;5;10.9;26.451613;18.617419;12.648387;74.443548;
2009-09-30;7;93;29.55;21.996;16.23;72.683333;
2009-10-31;19;162.8;29.058065;22.624516;18.419355;79.048387;
2009-11-30;10;129.3;31.26;23.932667;18.236667;72.75;
2009-12-31;21;367.2;29.345161;23.199333;18.929032;81.241667;
