Nome: JOAO MONLEVADE
Codigo Estacao: 83591
Latitude: -19.82388888
Longitude: -43.14416666
Altitude: 859.84
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;16;254.6;27.032258;null;null;null;
2008-02-29;10;148.6;28.217241;null;null;null;
2008-03-31;17;205.1;27.883871;null;null;null;
2008-04-30;7;93.4;27.596667;null;null;null;
2008-05-31;3;6.8;25.493548;null;null;null;
2008-06-30;1;.6;24.166667;null;null;null;
2008-07-31;0;0;24.258065;null;null;null;
2008-08-31;2;63.4;26.423333;null;null;null;
2008-09-30;6;79.8;25.823333;null;null;null;
2008-10-31;5;83.2;27.658065;null;null;null;
2008-11-30;19;175.6;25.856667;null;null;null;
2008-12-31;21;375.6;25.86;null;null;null;
2009-01-31;20;400.8;27.670968;null;null;null;
2009-02-28;14;267.6;28.989286;null;null;null;
2009-03-31;15;242.4;29.251613;null;null;null;
2009-04-30;9;155.4;26.253333;null;null;null;
2009-05-31;3;8.8;25.093548;null;null;null;
2009-06-30;5;53.2;23.733333;null;null;null;
2009-07-31;1;1.2;24.951613;null;null;null;
2009-08-31;4;4.4;24.787097;null;null;null;
2009-09-30;7;99;27.923333;null;null;null;
2009-10-31;16;298;26.806452;null;null;null;
2009-11-30;10;221.6;29.44;null;null;null;
2009-12-31;21;389.6;27.690323;null;null;null;
2010-01-31;5;65.4;30.012903;null;null;null;
2010-02-28;6;35;30.810714;null;null;null;
2010-03-31;15;238.8;29.064516;null;null;null;
2010-04-30;10;184.8;26.743333;null;null;null;
2010-05-31;9;62.2;24.76129;null;null;null;
2010-06-30;4;3.4;22.773333;null;null;null;
2010-07-31;2;4;23.303226;null;null;null;
2010-08-31;0;0;25.145161;null;null;null;
2010-09-30;3;8.6;25.68;null;null;null;
2010-10-31;15;143.6;26.635484;null;null;null;
2010-11-30;22;263.2;25.826667;null;null;null;
2010-12-31;18;364;27.93871;null;null;null;
2011-01-31;11;160.2;28.051613;null;null;null;
2011-02-28;4;41.6;30.039286;null;null;null;
2011-03-31;19;316.2;26.967742;null;null;null;
2011-04-30;9;49.4;26.416667;null;null;null;
2011-05-31;3;5.3;24.264516;null;null;null;
2011-06-30;3;13.7;23.1;null;null;null;
2011-07-31;1;1.6;23.074194;null;null;null;
2011-08-31;2;1;27.174194;null;null;null;
2011-09-30;5;12.8;25.7;null;null;null;
2011-10-31;19;191;24.887097;null;null;null;
2011-11-30;15;381.6;23.896667;null;null;null;
2011-12-31;22;616;25.935484;null;null;null;
2012-01-31;14;341.6;26.587097;null;null;null;
2012-02-29;5;12.6;28.248276;null;null;null;
2012-03-31;13;166.2;27.258065;null;null;null;
2012-04-30;5;12.9;27.243333;null;null;null;
2012-05-31;7;52.4;23.845161;null;null;null;
2012-06-30;4;6.1;24.47;null;null;null;
2012-07-31;2;1.8;24.990323;null;null;null;
2012-08-31;8;18.2;23.306452;null;null;null;
2012-09-30;4;7.2;27.886667;null;null;null;
2012-10-31;6;39.8;28.296774;null;null;null;
2012-11-30;22;360;25.933333;null;null;null;
2012-12-31;10;76.9;30.170968;null;null;null;
2013-01-31;14;242.6;26.56129;null;null;null;
2013-02-28;null;64.4;28.582143;null;null;null;
2013-03-31;null;134.4;27.145161;null;null;null;
2013-04-30;null;74.3;24.52;null;null;null;
2013-05-31;null;58.1;24.409677;null;null;null;
2013-06-30;null;28;23.97;null;null;null;
2013-07-31;null;0;24.43871;null;null;null;
2013-08-31;null;2.6;24.829032;null;null;null;
2013-09-30;null;52.7;26.26;null;null;null;
2013-10-31;null;113.4;25.480645;null;null;null;
2013-11-30;null;170.7;26.26;null;null;null;
2013-12-31;null;547.7;26.887097;null;null;null;
2014-01-31;null;128.2;29.6;null;null;null;
2014-02-28;null;80.8;29.328571;null;null;null;
2014-03-31;null;95;27.341935;null;null;null;
2014-04-30;null;97.2;26.606667;null;null;null;
2014-05-31;null;.8;24.932258;null;15.109677;null;
2014-06-30;null;5;24.233333;null;14.543333;null;
2014-07-31;null;26.2;22.919355;null;14.258065;null;
2014-08-31;null;24.6;25.625806;null;13.896774;null;
2014-09-30;null;.8;27.536667;null;15.476667;null;
2014-10-31;null;98.2;27.822581;null;16.564516;null;
2014-11-30;null;260.8;27.313333;null;18.133333;null;
2014-12-31;null;219;27.651613;null;18.645161;null;
2015-01-31;null;6.6;30.941935;null;19.458065;null;
2015-02-28;null;189;28.535714;null;19.214286;null;
2015-03-31;null;134;28.293548;null;19.329032;null;
2015-04-30;null;163.2;26.6;null;17.886667;null;
2015-05-31;null;85.4;23.409677;null;15.609677;null;
2015-06-30;null;15.2;22.986667;null;14.516667;null;
2015-07-31;null;14.8;24.074194;null;14.629032;null;
2015-08-31;null;12.2;24.906452;null;15.006452;null;
2015-09-30;null;28.2;28.683333;null;17.586667;null;
2015-10-31;null;null;30.464516;null;18.980645;null;
2015-11-30;null;190.2;31.173333;null;20.32;null;
2015-12-31;null;178;29.851613;null;19.548387;null;
2016-01-31;null;421.9;27.132258;null;19.519355;null;
2016-02-29;null;45;31.151724;null;20.013793;null;
2016-03-31;null;89;29.106452;null;19.474194;null;
2016-04-30;null;80.3;29.646667;null;18.96;null;
2016-05-31;null;4.2;25.709677;null;16.245161;null;
2016-06-30;null;33.4;24.010345;null;13.98;null;
2016-07-31;null;.7;26.093548;null;14.903226;null;
2016-08-31;null;.6;26.693548;null;14.877419;null;
2016-09-30;null;93.2;27.903333;null;16.436667;null;
2016-10-31;null;63.2;27.293548;null;17.674194;null;
2016-11-30;null;295.6;27.313333;null;18.443333;null;
2016-12-31;null;263.6;28.387097;null;18.093548;null;
2017-01-31;null;184.4;29.487097;null;19.164516;null;
2017-02-28;null;60.6;27.342857;null;18.114286;null;
2017-03-31;null;246.4;28.664516;null;18.129032;null;
2017-04-30;null;75.9;26.99;null;17.586667;null;
2017-05-31;null;40.3;23.674194;null;15.532258;null;
2017-06-30;null;5;25.623333;null;14.862069;null;
2017-07-31;null;1.8;21.435484;null;12.148276;null;
2017-08-31;null;0;24.703226;null;13.512903;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;null;74.6;28.303226;null;17.122581;null;
2017-11-30;null;212.4;25.663333;null;17.04;null;
2017-12-31;null;248;27.590323;null;18.870968;null;
2018-01-31;null;161.8;29.825806;null;19.554839;null;
2018-02-28;null;459.2;27.15;null;19.135714;null;
2018-03-31;null;283.4;29.116129;null;19.574194;null;
2018-04-30;null;105.4;26.006667;null;17.24;null;
2018-05-31;null;null;null;null;null;null;
2018-06-30;null;5.6;24.196552;null;14.782759;null;
2018-07-31;null;1;25.2;null;13.83871;null;
2018-08-31;null;38.4;24.303226;null;14.712903;null;
2018-09-30;null;43.2;26.726667;null;15.756667;null;
2018-10-31;null;74.3;27.383871;null;16.725806;null;
2018-11-30;null;190.4;25.463333;null;17.64;null;
2018-12-31;null;305.4;28.558065;null;18.612903;null;
2019-01-31;null;68.8;30.441935;null;19.474194;null;
2019-02-28;null;222.6;29.807143;null;19.528571;null;
2019-03-31;null;248.4;28.664516;null;18.922581;null;
2019-04-30;null;89;28.29;null;18.553333;null;
2019-05-31;null;39.2;26.258065;null;16.919355;null;

