Nome: CARATINGA
Codigo Estacao: 83592
Latitude: -19.73583333
Longitude: -42.13722221
Altitude: 609.56
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;15;168.5;28.335484;23.203226;18.948387;76.104839;
2008-02-29;13;152.2;30.182759;23.735172;19.127586;79.689655;
2008-03-31;16;172.7;29.641935;23.44;18.874194;77.282258;
2008-04-30;9;91.8;29.193333;22.814667;18.376667;81.716667;
2008-05-31;2;7.3;26.76129;19.486452;14.206452;77.129032;
2008-06-30;2;19.5;26.013333;18.528;13.133333;75.708333;
2008-07-31;2;2;26.154839;17.521935;11.019355;67.951613;
2008-08-31;2;21.4;28.212903;20.410323;14.503226;62.766129;
2008-09-30;5;30.7;27.616667;20.746667;15.27;64.325;
2008-10-31;3;32.9;30.196774;23.550323;18.648387;64.258065;
2008-11-30;21;253.5;27.736667;22.73;18.886667;77.1;
2008-12-31;17;260.6;27.596774;22.858065;19.483871;80.75;
2009-01-31;21;260.9;29.419355;23.626452;19.587097;80.282258;
2009-02-28;6;87.9;30.478571;24.446429;20.075;74.267857;
2009-03-31;12;152.2;30.625806;24.125806;19.883871;79.733871;
2009-04-30;10;84.2;28.006667;21.95;17.496667;82.991667;
2009-05-31;4;29.4;26.6;19.672258;14.722581;83.741935;
2009-06-30;3;31.9;25.133333;18.309333;13.693333;84.091667;
2009-07-31;2;2.3;26.36129;18.866452;13.322581;79.903226;
2009-08-31;4;9.4;27.080645;19.876129;14.63871;73.637097;
2009-09-30;9;160.9;29.263333;22.349333;16.973333;73.625;
2009-10-31;16;147.2;28.419355;22.790968;18.635484;77.596774;
2009-11-30;8;69.9;30.27;23.816667;18.78;74.641667;
2009-12-31;16;342.5;29.287097;23.695484;19.512903;79.137097;
2010-01-31;3;85.1;31.770968;24.979355;20.090323;70.137097;
2010-02-28;6;50;32.2;25.648571;20.285714;66.723214;
2010-03-31;20;249.4;30.6;24.363226;19.745161;79.548387;
2010-04-30;10;63;28.276667;21.868667;16.923333;79.225;
2010-05-31;9;31.9;26.558065;19.611613;14.567742;83.403226;
2010-06-30;3;1.6;24.9;16.794667;10.873333;78.65;
2010-07-31;4;2.3;26.103226;18.646452;13.164516;76.024194;
2010-08-31;1;5.1;27.064516;18.31871;11.293548;66.419355;
2010-09-30;2;6.6;28.683333;21.004;15.213333;64.075;
2010-10-31;12;99.2;27.422581;21.901935;17.696774;75.314516;
2010-11-30;19;183.9;27.506667;22.714;19.206667;80.275;
2010-12-31;18;483.8;29.787097;23.748387;19.164516;80.25;
2011-01-31;11;149;30.170968;24.164516;19.525806;75.024194;
2011-02-28;3;28.2;31.657143;24.597143;19.478571;70.696429;
2011-03-31;20;260.4;28.651613;23.137419;19.33871;83.854839;
2011-04-30;9;63.5;28.48;22.274667;17.903333;81.45;
2011-05-31;5;7.4;26.258065;18.969032;13.787097;82.637097;
2011-06-30;2;10.2;25.26;17.799333;12.366667;82.358333;
2011-07-31;2;.9;25.712903;17.302581;11.248387;79.16129;
2011-08-31;2;.3;28.787097;19.882581;13.351613;69.564516;
2011-09-30;5;9.5;27.473333;20.127333;13.986667;64.033333;
2011-10-31;14;114.3;26.322581;21.396129;17.580645;76.870968;
2011-11-30;14;257.3;25.903333;21.078667;17.246667;77.966667;
2011-12-31;19;332.9;27.535484;22.617419;19.112903;82.459677;
2012-01-31;14;207.7;28.603226;22.947742;19.080645;79.193548;
2012-02-29;7;15.9;31.234483;24.137931;19.127586;68.646552;
2012-03-31;9;113.1;29.822581;23.386452;18.870968;75.104839;
2012-04-30;7;45.4;28.783333;22.411333;17.993333;79.858333;
2012-05-31;8;74.8;25.890323;19.683871;14.86129;81.225806;
2012-06-30;4;4.7;26.443333;19.430667;14.206667;82.75;
2012-07-31;3;1.5;26.887097;18.469677;12.496774;74.669355;
2012-08-31;7;11.9;26.441935;19.537419;14.232258;69.540323;
2012-09-30;5;14.3;28.736667;21.391333;15.553333;62.808333;
2012-10-31;5;22.4;30.46129;23.666452;18.193548;60.935484;
2012-11-30;23;387.4;27.756667;22.698;19.046667;79;
2012-12-31;7;45.5;31.706452;25.165161;20.293548;73.790323;
2013-01-31;15;245.9;29.906452;24.070968;20.064516;76.903226;
2013-02-28;5;173.2;30.45;23.583571;19.103571;78.392857;
2013-03-31;2;175;29.322581;23.725806;19.854839;82.508065;
2013-04-30;null;53.4;26.916667;21.244;17.116667;82.841667;
2013-05-31;null;70.9;26.364516;19.549032;14.693548;83.274194;
2013-06-30;null;22.3;25.626667;19.016;14.31;85.883333;
2013-07-31;null;18.7;25.493548;18.912258;14.164516;78.951613;
2013-08-31;null;5.4;26.641935;19.192258;13.632258;71.975806;
2013-09-30;null;45.9;27.723333;21.068;16.046667;72.45;
2013-10-31;null;80.2;26.745161;21.374839;17.203226;75.540323;
2013-11-30;null;167.2;28.33;22.749333;18.616667;74.725;
2013-12-31;null;469.9;28.870968;23.756129;19.86129;81.604839;
2014-01-31;null;45.3;31.13871;24.405161;19.306452;71.048387;
2014-02-28;null;39.3;31.310714;24.585;19.292857;67.973214;
2014-03-31;null;132.2;29.235484;23.505161;19.396774;77.870968;
2014-04-30;null;87.8;28.48;22.155333;17.736667;80.891667;
2014-05-31;null;51.9;26.864516;19.694194;14.467742;79.862903;
2014-06-30;null;.5;26.04;18.601333;13.35;82.041667;
2014-07-31;null;18.6;24.812903;18.434839;13.532258;78.145161;
2014-08-31;null;1.8;27.151613;19.101935;12.63871;68.330645;
2014-09-30;null;6.5;29.11;21.731333;15.776667;60.483333;
2014-10-31;null;118.3;29.545161;22.57871;17.051613;63.217742;
2014-11-30;null;127;28.39;23.090667;18.963333;73.875;
2014-12-31;null;125.1;29.770968;23.736129;19.048387;74.096774;
2015-01-31;null;3.4;33.283871;25.493548;19.916129;63.112903;
2015-02-28;null;206;30.196429;24.260714;19.978571;73.098214;
2015-03-31;null;61.1;30.545161;24.252903;19.677419;76.096774;
2015-04-30;null;56.8;28.376667;22.383333;18.01;79.491667;
2015-05-31;null;88;25.203226;19.554194;15.577419;84.274194;
2015-06-30;null;2.5;25.48;18.866;13.966667;81.025;
2015-07-31;null;.2;26.141935;18.843871;13.654839;79.137097;
2015-08-31;null;.9;27.209677;19.831613;14.264516;70.556452;
2015-09-30;null;24.9;30.95;23.444;17.743333;65.275;
2015-10-31;null;68;31.912903;24.782581;19.132258;60.959677;
2015-11-30;null;126.5;31.983333;25.497333;20.74;70.008333;
2015-12-31;null;141.3;31.290323;24.765161;20.358065;75.225806;
2016-01-31;null;260.4;29.177419;23.831613;20.090323;81.798387;
