Nome: MARILANDIA (COLATINA)
Codigo Estacao: 83596
Latitude: -19.40722222
Longitude: -40.53972221
Altitude: 93.37
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2016-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;12;254.6;31.793548;25.033548;21.154839;78.08871;
2008-02-29;12;184.2;33.07931;25.755172;21.786207;78.5;
2008-03-31;16;158.8;32.190323;25.718065;22.122581;80.072581;
2008-04-30;5;78.6;32.763333;25.659333;21.786667;80.216667;
2008-05-31;1;3.4;29.425806;21.73871;17.209677;78.25;
2008-06-30;3;4.6;28.42;20.791333;16.303333;78.708333;
2008-07-31;5;38;27.541935;19.424516;14.6;79.362903;
2008-08-31;3;4.8;29.880645;22.019355;17.029032;77.58871;
2008-09-30;2;10.2;30.07;22.079333;17.5;72.05;
2008-10-31;4;52;32.393548;24.516129;20.154839;72.629032;
2008-11-30;20;290.4;29.473333;23.841333;21.046667;81.766667;
2008-12-31;18;231.2;30.512903;24.586452;21.290323;81.282258;
2009-01-31;17;200.4;32.341935;25.839355;22.312903;79.935484;
2009-02-28;null;null;null;null;null;null;
2009-03-31;10;152.2;33.980645;26.399355;22.641935;77.225806;
2009-04-30;9;116.6;30.77;24.263333;20.533333;79.866667;
2009-05-31;3;3.2;28.770968;21.864516;17.429032;79.008065;
2009-06-30;6;62.6;27.216667;20.47;16.86;80.133333;
2009-07-31;7;26.2;27.851613;20.724516;16.732258;79.983871;
2009-08-31;8;48;28.125806;21.398065;17.425806;78.491935;
2009-09-30;3;7.4;31.86;24.223333;19.926667;73.308333;
2009-10-31;9;327;31.425806;24.643226;20.996774;77.024194;
2009-11-30;7;51.6;33.406667;26.327333;21.596667;72.458333;
2009-12-31;7;138.4;33.677419;27.137419;22.46129;69.959677;
2010-01-31;3;13.6;35.503226;28.280645;22.454839;61.903226;
2010-02-28;9;27;34.914286;28.246429;23.064286;66.053571;
2010-03-31;14;140.2;33.480645;27.474194;23.487097;75.032258;
2010-04-30;9;166.4;30.673333;24.691333;20.71;78.066667;
2010-05-31;7;46.8;28.932258;22.659355;18.629032;80.153226;
2010-06-30;4;7.4;27.03;19.699333;14.926667;76.983333;
2010-07-31;14;92;26.790323;20.971613;17.170968;80.758065;
2010-08-31;2;6.8;27.951613;20.593548;14.609677;68.75;
2010-09-30;5;15;30.22;23.342667;18.066667;64.616667;
2010-10-31;9;79.4;29.877419;24.303871;20.680645;70.491071;
2010-11-30;18;203;30.23;25.132;21.603333;77.425;
2010-12-31;9;219;33.183871;27.039355;22.725806;70.153226;
2011-01-31;10;85;32.887097;26.870968;22.345161;71.927419;
2011-02-28;6;55;34.503571;27.508571;22.296429;67.5625;
