Nome: VOTUPORANGA
Codigo Estacao: 83623
Latitude: -20.43972221
Longitude: -49.9836111
Altitude: 510.41
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;20;467.5;30.083871;24.837419;21.367742;79.080645;
2008-02-29;17;296.1;30.744828;24.662069;20.924138;78.543103;
2008-03-31;12;110.6;30.83871;24.782581;20.983871;73.774194;
2008-04-30;8;113.6;30.006667;24.144;20.7;74.816667;
2008-05-31;4;55;26.896774;20.712258;16.183871;66.233871;
2008-06-30;1;1.6;28.26;21.952381;17.590476;62.866667;
2008-07-31;0;0;30.006452;null;null;40.895161;
2008-08-31;5;16.7;31.593548;24.224516;18.464516;45.169355;
2008-09-30;4;7.1;31.233333;23.139333;16.866667;47.741667;
2008-10-31;10;105;32.877419;26.330323;21.283871;58.064516;
2008-11-30;8;53.1;32.893333;25.848;20.3;62.025;
2008-12-31;15;218.6;33.155;25.797;20.587097;66.120968;
2009-01-31;18;237.1;null;null;20.935484;72.862903;
2009-02-28;23;224.6;null;null;21.678571;73.776786;
2009-03-31;17;202.4;null;null;21.606452;73.629032;
2009-04-30;4;41;null;null;18.956667;65.125;
2009-05-31;4;39.1;null;null;17.722581;64.072581;
2009-06-30;5;15.5;null;null;14.613333;64.333333;
2009-07-31;3;16.8;null;null;16.187097;63.201613;
2009-08-31;6;72.2;null;null;17.03871;55.959677;
2009-09-30;12;166.1;null;null;19.193333;66.933333;
2009-10-31;12;108.8;null;null;19.258065;68.879032;
2009-11-30;17;138.7;null;null;21.893333;70.125;
2009-12-31;16;310.7;null;null;21.374194;78.95;
2010-01-31;22;337.8;null;null;21.245161;75.008065;
2010-02-28;12;86.1;35.38;27.352;22.021429;69.892857;
2010-03-31;12;59.4;null;null;21.396774;71.282258;
2010-04-30;5;35.6;null;null;18.643333;64.258333;
2010-05-31;3;13.4;null;null;15.474194;60.629032;
2010-06-30;2;17.2;null;null;14.453571;null;
2010-07-31;2;1.7;null;null;17.03871;null;
2010-08-31;0;0;null;null;15.703226;null;
2010-09-30;6;94.2;null;null;null;null;
2010-10-31;8;134.9;null;null;null;null;
2010-11-30;5;65.9;null;null;null;null;
2010-12-31;13;91.7;null;null;null;null;
2011-01-31;20;302.2;null;null;null;null;
2011-02-28;13;329.4;null;null;null;null;
2011-03-31;22;430.7;null;null;null;null;
2011-04-30;4;56.1;null;null;null;null;
2011-05-31;1;7.5;null;null;null;null;
2011-06-30;2;35.2;null;null;null;null;
2011-07-31;0;0;null;null;null;null;
2011-08-31;2;17.8;null;null;null;null;
2011-09-30;2;8.2;null;null;null;null;
2011-10-31;12;81.6;null;null;null;null;
2011-11-30;9;88.3;null;null;null;null;
2011-12-31;11;126.4;null;null;null;null;
2012-01-31;19;402.5;null;null;null;null;
2012-02-29;11;69.8;null;null;null;null;
2012-03-31;8;46.1;null;null;null;null;
2012-04-30;12;110.4;null;null;null;null;
2012-05-31;8;85.3;null;null;null;null;
2012-06-30;8;180.2;null;null;null;null;
2012-07-31;1;12.2;null;null;null;null;
2012-08-31;0;0;null;null;null;null;
2012-09-30;5;91.1;null;null;null;null;
2012-10-31;4;21.6;null;null;null;null;
2012-11-30;7;156.5;null;null;null;null;
2012-12-31;17;289;null;null;null;null;
2013-01-31;14;229.6;null;null;null;null;
2013-02-28;16;168.1;null;null;null;null;
2013-03-31;1;153.3;null;null;null;null;
2013-04-30;null;34.6;null;null;null;null;
2013-05-31;null;52.5;null;null;null;null;
2013-06-30;null;71.4;null;null;null;null;
2013-07-31;null;41.8;null;null;null;null;
2013-08-31;null;0;null;null;null;null;
2013-09-30;null;71.6;null;null;null;null;
2013-10-31;null;65.8;null;null;null;null;
2013-11-30;null;125.5;null;null;null;null;
2013-12-31;null;171.2;null;null;null;null;
2014-01-31;null;58.4;null;null;null;null;
2014-02-28;null;154.4;null;null;null;null;
2014-03-31;null;284.2;null;null;null;null;
2014-04-30;null;20.2;null;null;null;null;
2014-05-31;null;23.2;null;null;null;null;
2014-06-30;null;3;null;null;null;null;
2014-07-31;null;51.6;null;null;null;null;
2014-08-31;null;0;null;null;null;null;
2014-09-30;null;104.6;null;null;null;null;
2014-10-31;null;29.7;null;null;null;null;
2014-11-30;null;293.6;null;null;null;null;
2014-12-31;null;177.4;32.091667;25.566364;19.109091;83.291667;
2015-01-31;null;181.5;34.57037;27.091429;20.05;null;
2015-02-28;null;179.1;32.192857;25.331429;19.071429;87.232143;
2015-03-31;null;182.9;31.174194;24.379355;18.367742;89.08871;
2015-04-30;null;24.2;31.686667;24.418667;17.846667;84.883333;
2015-05-31;null;75.1;28.445161;21.670323;15.474194;85.193548;
2015-06-30;null;10.9;28.523333;21.586;14.9;78.951923;
2015-07-31;null;51.5;28.709677;21.562581;14.787097;80.919355;
2015-08-31;null;6.1;32.690323;23.814194;15.567742;59.895161;
2015-09-30;null;120.9;33.333333;25.452;17.52;61.225;
2015-10-31;null;143.6;35.077419;26.605333;18.490323;62.808333;
2015-11-30;null;276.4;32.986667;25.733333;18.753333;74.716667;
2015-12-31;null;201.2;32.451613;25.663226;19.187097;75.491071;
2016-01-31;null;425.7;31.592308;25.173333;19.169231;null;
2016-02-29;null;184.4;33.312;26.2512;19.192;null;
2016-03-31;null;206.7;32.274074;25.538571;18.844444;null;
2016-04-30;null;61.2;33.392308;25.872308;17.576923;null;
2016-05-31;null;88;28.528571;20.840714;13.092857;null;
2016-06-30;null;77;27.153333;19.787333;12.246667;73.058333;
2016-07-31;null;0;30.36129;21.100645;11.790323;59.177419;
2016-08-31;null;41.6;31.006452;21.991613;12.283871;58.741935;
2016-09-30;null;13.9;32.473333;22.684;12.7;56.016667;
2016-10-31;null;93.3;33.386667;24.847742;15.896774;65.975;
2016-11-30;null;117.9;32.481481;25.028148;17.096296;null;
2016-12-31;null;228.2;32.496774;25.433548;17.4;75.73;
2017-01-31;null;325.7;31.274074;24.531852;17.303704;null;
2017-02-28;null;82.9;33.742857;26.282857;18.05;68.410714;
2017-03-31;null;96;32.716129;25.146452;17.041935;72.403226;
2017-04-30;null;82.2;30.540741;23.2912;15.032;null;
2017-05-31;null;108.6;30.193548;22.882581;14.567742;73.193548;
2017-06-30;null;4.6;28.93;20.772667;11.923333;65.383333;
2017-07-31;null;0;28.425806;19.86;10.387097;56.58871;
2017-08-31;null;25.1;31.24;22.397419;12.890323;57.83871;
2017-09-30;null;1;35.613793;26.286;15.916667;42.925;
2017-10-31;null;124.7;34.748387;25.92;15.954839;59.701613;
2017-11-30;null;213;32.25;24.463333;15.686667;70.316667;
2017-12-31;null;287.8;32.213333;25.138667;17.073333;72.9;
2018-01-31;null;214.6;32.364286;25.214815;17.088889;null;
2018-02-28;null;158;32.092857;24.267143;15.721429;77.464286;
2018-03-31;null;61.4;33.716129;26.16;17.651613;72.84375;
2018-04-30;null;39.4;31.606667;24.546667;16.78;66.241667;
2018-05-31;null;15;30.645161;22.520645;14.516129;62.008065;
2018-06-30;null;1;30.133333;22.225333;13.466667;63.133333;
2018-07-31;null;2;30.967742;22.390323;13.283871;52.862903;
2018-08-31;null;17;30.393548;21.423226;12.645161;76.083333;
2018-09-30;null;66.6;32.666667;23.961379;15.233333;73.857143;
2018-10-31;null;120.3;33.096774;25.654194;17.63871;76.758333;
2018-11-30;null;179.4;31.077778;24.4592;17.04;null;
2018-12-31;null;99.4;33.62;26.118667;17.94;81.67;
2019-01-31;null;133.4;35.392593;27.444444;18.940741;null;
2019-02-28;null;195.6;32.857143;25.201429;17.128571;85.258929;
