Nome: FRANCA
Codigo Estacao: 83630
Latitude: -20.58444444
Longitude: -47.38249999
Altitude: 1003.55
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;23;342.3;26.451613;21.876774;18.848387;80.975806;
2008-02-29;19;216.7;27.044828;22.07931;18.817241;80.991379;
2008-03-31;18;208.9;26.632258;21.725806;18.229032;77.645161;
2008-04-30;15;152.5;25.886667;21.328667;18.1;77.858333;
2008-05-31;7;45.5;23.541935;18.618065;15.23871;71.693548;
2008-06-30;3;12.2;24.226667;18.998667;15.446667;68.75;
2008-07-31;0;0;24.73871;18.885161;14.387097;50.75;
2008-08-31;5;52.3;27.16129;21.139355;16.522581;53.879032;
2008-09-30;3;27.5;28.266667;21.325333;16.03;53.583333;
2008-10-31;13;123.4;28.690323;23.094839;19.003226;64.459677;
2008-11-30;16;148.4;28.063333;22.168667;18;73.166667;
2008-12-31;22;421.7;26.93871;21.750968;18.177419;79.66129;
2009-01-31;21;348.6;27.077419;21.843226;18.545161;80.08871;
2009-02-28;21;232.8;28.060714;23.042857;19.478571;78.125;
2009-03-31;25;226.6;27.303226;22.407742;19.312903;81.153226;
2009-04-30;8;59.4;26.116667;20.919333;17.283333;72.208333;
2009-05-31;7;92.9;25.351613;19.812903;16.151613;71.75;
2009-06-30;9;28.7;22.896667;17.162667;13.61;69.825;
2009-07-31;1;20.4;25.874194;19.717419;15.509677;64.08871;
2009-08-31;6;27.1;25.683871;19.76129;15.548387;60.387097;
2009-09-30;11;132.5;27.53;21.908;17.86;69.441667;
2009-10-31;15;250.1;27.677419;21.927097;17.893548;75.540323;
2009-11-30;19;215.9;28.93;23.518667;19.65;74.041667;
2009-12-31;24;401.1;26.529032;21.925161;18.948387;83.451613;
2010-01-31;22;426.5;27.987097;22.78129;19.645161;79.153226;
2010-02-28;15;186.3;28.807143;23.347143;19.692857;73.089286;
2010-03-31;18;195.3;28.519355;23.123871;19.619355;74.879032;
2010-04-30;5;36.1;26.746667;21.174;17.123333;69.866667;
2010-05-31;4;33.7;25.312903;19.229032;15.158065;65.596774;
2010-06-30;3;9;25.08;18.291333;13.643333;60.6;
2010-07-31;1;2.8;null;null;15.454839;54.774194;
2010-08-31;0;0;null;null;15.251613;43.266129;
2010-09-30;8;101;null;null;17.32;53.133333;
2010-10-31;15;148.2;null;null;17.254839;67.016129;
2010-11-30;21;217.7;null;null;18.166667;73.866667;
2010-12-31;19;272.3;28.686207;23.253793;19.429032;76.524194;
2011-01-31;24;270.5;27.748387;22.785806;19.574194;80.209677;
2011-02-28;15;150.5;28.592857;23.173571;19.367857;75.321429;
2011-03-31;25;351;26.219355;21.474194;18.770968;86.129032;
2011-04-30;13;130.6;26.776667;21.512667;17.68;72.583333;
2011-05-31;2;1.9;24.854839;18.932258;14.96129;68.814516;
2011-06-30;4;35.3;23.88;17.445333;12.896667;67.383333;
2011-07-31;1;.8;25.603226;19.560645;15.070968;56.5;
2011-08-31;3;25.6;28.112903;21.314839;16.335484;50.983871;
2011-09-30;3;14.4;29.736667;22.459333;16.843333;45.716667;
2011-10-31;14;167.5;27.093548;21.409032;17.377419;71.25;
2011-11-30;13;164.2;27.01;21.381333;16.746667;68.108333;
2011-12-31;22;315.7;27.293548;21.95871;18.148387;77.66129;
2012-01-31;25;346.5;26.13871;21.02;17.703226;81.830645;
2012-02-29;11;146.5;28.751724;23.148966;18.986207;69.12931;
2012-03-31;15;206.2;28.116129;22.430323;18.416129;72.83871;
2012-04-30;9;52;27.16;21.772;17.96;74.833333;
2012-05-31;5;30.9;23.754839;18.306452;14.374194;72.346774;
2012-06-30;8;96.2;24.433333;19.292667;16.003333;73.458333;
2012-07-31;3;37.1;24.996774;18.884516;14.793548;58.306452;
2012-08-31;0;0;25.767742;19.547097;14.451613;52.137097;
2012-09-30;5;85.9;29.413333;22.564;17.553333;50.008333;
