Nome: DIVINOPOLIS
Codigo Estacao: 83635
Latitude: -20.17333332
Longitude: -44.87472221
Altitude: 787.42
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-09-02
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;17;393.2;29.170968;23.098065;18.803226;73.548387;
2008-02-29;13;241;30.210345;23.676429;19.006897;72.034483;
2008-03-31;16;188.7;29.774194;23.043226;18.06129;73.548387;
2008-04-30;8;117.2;29.31;22.428667;17.34;75.25;
2008-05-31;2;1.8;27.396774;18.983226;12.590323;69.556452;
2008-06-30;1;60.1;27.55;18.686;12.11;69.35;
2008-07-31;0;0;26.922581;17.045806;8.564516;57.120968;
2008-08-31;3;28.8;29.23871;20.511613;12.380645;54.435484;
2008-09-30;8;74.5;28.757143;20.702143;13.664286;57.571429;
2008-10-31;8;27.1;31.154839;24.063226;17.7;57.443548;
2008-11-30;21;207.8;29.146667;22.79;18.07;71.458333;
2008-12-31;21;571;27.945161;22.616774;18.651613;77.879032;
2009-01-31;21;373.6;29.512903;23.304516;18.958065;76.637097;
2009-02-28;15;195;30.878571;24.132857;19.353571;71.973214;
2009-03-31;17;134.7;30.53871;23.80129;19.209677;74.774194;
2009-04-30;8;111.9;28.723333;21.462667;15.833333;72.916667;
2009-05-31;6;22.9;27.612903;19.416129;13.283871;74.072581;
2009-06-30;6;30.3;26.006667;17.306;10.966667;72.325;
2009-07-31;1;1.7;28.296774;19.272903;12.116129;66.112903;
2009-08-31;3;35.5;27.893548;19.735484;12.493548;59.508065;
2009-09-30;7;50.6;30.816667;23.462;17.236667;61.2;
2009-10-31;16;215.8;29.803226;23.019355;18.119355;71.580645;
2009-11-30;12;94.7;31.866667;24.838667;19.67;66.825;
2009-12-31;22;362.5;29.048387;22.979355;19.090323;78.129032;
2010-01-31;15;152.8;31.390323;24.474615;19.161538;70.528846;
2010-02-28;8;80.9;32.446429;25.264286;19.253571;62.3125;
2010-03-31;17;235.5;30.658065;23.965806;19.063333;72.806452;
2010-04-30;5;11.3;29.29;21.826;15.706667;67.433333;
2010-05-31;5;39.4;27.203226;18.83871;12.5;72.709677;
2010-06-30;0;0;26.023333;16.610667;8.93;66.808333;
2010-07-31;1;.5;27.309677;18.64129;10.932258;60.403226;
2010-08-31;0;0;28.96129;18.946452;9.277419;47.451613;
2010-09-30;5;64.8;30.296667;21.728667;14.12;53.216667;
2010-10-31;11;156.6;30.012903;23.042581;17.335484;65.112903;
2010-11-30;18;304.7;28.446667;22.604;18.37;75.608333;
2010-12-31;20;212.3;30.851613;24.382667;19.71;73.225;
2011-01-31;14;271.3;30.229032;24.241935;19.432258;71.612903;
2011-02-28;7;116.3;33.185714;25.296429;18.910714;60.633929;
2011-03-31;18;367;29.329032;23.061379;19.044828;79.663793;
2011-04-30;9;144.4;29.636667;22.231333;16.443333;71.958333;
2011-05-31;2;7.6;27.467742;19.096129;12.803226;71.66129;
2011-06-30;3;21.6;26.166667;17.217333;10.213333;69.283333;
2011-07-31;0;0;27.212903;17.876774;10.109677;61.008065;
2011-08-31;1;.6;30.590323;21.044516;12.19;48.620968;
2011-09-30;2;1.1;30.793333;21.536667;12.836667;44.566667;
2011-10-31;15;170.5;28.448387;22.220645;17.296774;67.362903;
2011-11-30;11;140.4;28.366667;21.891034;16.73;67.767857;
2011-12-31;25;451.2;28.406452;22.596774;18.922581;78.903226;
2012-01-31;22;401.5;28.93871;22.960741;18.611111;74.314815;
2012-02-29;6;38;31.224138;24.28;18.006897;61.767241;
