Nome: OLIVEIRA
Codigo Estacao: 83637
Latitude: -20.699773
Longitude: -44.819903
Altitude: 991.23
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2017-10-18
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;21;316.6;27.003226;21.557419;18.051613;72.33871;
2008-02-29;null;null;null;null;null;null;
2008-03-31;9;287.1;27.645161;21.651613;17.770968;72;
2008-04-30;11;86.9;26.893333;21.126667;17.13;73.008333;
2008-05-31;0;0;24.441935;18.037419;13.132258;66.604839;
2008-06-30;2;8.7;24.053333;17.842667;13.28;64.866667;
2008-07-31;0;0;23.796774;16.544516;10.545161;57.658333;
2008-08-31;2;17;26.870968;19.965806;13.848387;50.782258;
2008-09-30;6;78.9;27.03;19.476667;14.286667;58.475;
2008-10-31;8;80.6;28.787097;22.182581;17.741935;60.669355;
2008-11-30;17;161.2;26.526667;21.276667;17.48;71.166667;
2008-12-31;null;null;null;null;null;null;
2009-01-31;19;274.5;27.412903;22.013548;18.490323;75.290323;
2009-02-28;null;null;null;null;null;null;
2009-03-31;13;227.9;27.929032;22.499355;18.96129;72.266129;
2009-04-30;3;52.9;25.99;20.516667;16.083333;70.158333;
2009-05-31;1;5.3;26.135484;19.179355;14.096774;70.048387;
2009-06-30;1;33.5;24.203333;16.783333;11.713333;70.575;
2009-07-31;3;15;26.509677;18.808387;13.232258;66.266129;
2009-08-31;3;47.5;26.270968;18.994194;13.635484;72.629032;
2009-09-30;7;119.4;28.203333;21.702;16.723333;73.316667;
2009-10-31;10;208.9;27.880645;21.467097;17.596774;76.483871;
2009-11-30;11;84.2;29.313333;23.352667;19.303333;72.008333;
2009-12-31;12;172.7;25.841176;21.284706;18.4;79.25;
2010-01-31;null;null;null;null;null;null;
2010-02-28;2;5.2;null;null;null;null;
2010-03-31;14;156;28.829032;22.652258;18.445161;72.927419;
2010-04-30;3;37.4;27.97;21.106;16.08;67.391667;
2010-05-31;4;45.6;25.851613;18.639355;13.554839;68.75;
2010-06-30;1;5.4;24.59;16.289333;10.526667;64.741667;
2010-07-31;1;1.8;25.670968;17.921935;12.519355;61.846774;
2010-08-31;0;0;27.770968;18.254839;11.229032;49.217742;
2010-09-30;4;43.9;null;null;null;null;
2010-10-31;9;193.8;27.458065;20.556129;16.4;65.596774;
2010-11-30;14;256.8;26.4;20.995333;17.713333;69.275;
2010-12-31;19;384.9;28.545161;22.656774;18.903226;65.693548;
2011-01-31;12;219.9;27.658065;22.09871;18.809677;68.798387;
2011-02-28;8;158.1;30.164286;23.882143;18.928571;57.598214;
2011-03-31;4;50.6;28.8625;22.24375;18.51875;62.453125;
2011-04-30;4;49.6;27.98;21.222667;16.503333;66.725;
2011-05-31;1;1.7;25.46129;18.722581;13.580645;65.879032;
2011-06-30;2;24;24.483333;16.762667;11.086667;70.758333;
2011-07-31;0;0;25.793548;17.498065;11.16129;59.701613;
2011-08-31;1;9.9;28.994118;20.427059;13.458824;52.926471;
2011-09-30;0;0;28.756667;20.029333;13.6;51.758333;
2011-10-31;12;111.3;26.596774;19.98129;16.477419;66.217742;
2011-11-30;10;189.7;25.75;19.620667;15.846667;68.458333;
2011-12-31;20;373.8;26.216129;20.716129;17.690323;74;
2012-01-31;16;419.7;26.370968;20.860645;17.509677;73.532258;
2012-02-29;2;12.5;null;null;null;null;
2012-03-31;11;142;28.345161;21.472903;17.380645;68.233871;
2012-04-30;5;52.4;27.586667;20.792;16.446667;70.133333;
2012-05-31;4;46.1;24.158065;17.61871;13.13871;66.854839;
2012-06-30;2;35.3;25.133333;17.908;13.66;69.05;
2012-07-31;1;3;25.129032;17.121935;11.077419;59.943548;
2012-08-31;null;0;25.25;17.944;11.913333;56.516667;
2012-09-30;3;35.1;28.573333;20.107333;14.21;53.691667;
2012-10-31;5;36;29.745161;22.057419;16.619355;55.782258;
2012-11-30;13;148.6;26.716667;21.172667;17.626667;71.35;
2012-12-31;7;125;29.0875;22.67;18.9;67.1875;
2013-01-31;17;243.5;27.167742;21.531613;18.358065;73.717742;
2013-02-28;null;54.7;null;null;null;null;
2013-03-31;null;174.1;27.574194;21.785806;18.387097;73.233871;
2013-04-30;null;78.8;25.81;19.53;15.453333;71.85;
2013-05-31;null;50.8;25.474194;18.372258;13.403226;70.137097;
2013-06-30;null;23.9;25.116667;18.374667;13.466667;72.358333;
2013-07-31;null;15.4;25.551613;17.684516;11.535484;64.25;
2013-08-31;null;0;26.677419;18.562581;11.812903;56.282258;
2013-09-30;null;75.9;27.32;20.262;14.243333;59.358333;
2013-10-31;null;131.3;25.845161;19.954194;15.583871;67.870968;
2013-11-30;null;105.6;26.906667;21.363333;17.083333;69.283333;
2013-12-31;null;216;27.558065;22.505161;18.564516;73.209677;
