Nome: VICOSA
Codigo Estacao: 83642
Latitude: -20.7625
Longitude: -42.86388888
Altitude: 697.53
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2018-03-07
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;20;220.1;27.219355;21.643226;18.054839;82.185484;
2008-02-29;12;112.7;28.893103;22.742759;18.97931;82.732759;
2008-03-31;16;239.2;28.096774;22.029032;18.613333;85.451613;
2008-04-30;10;62.8;27.69;21.368667;17.853333;86.958333;
2008-05-31;1;7.2;25.390323;17.754839;12.93871;82.951613;
2008-06-30;3;12.7;23.666667;16.705333;12.373333;85.958333;
2008-07-31;1;.2;24.906452;15.38;9.535484;81.370968;
2008-08-31;2;15.4;26.657143;18.454286;12.742857;75.098214;
2008-09-30;8;147.4;25.903333;18.679333;13.417241;71.275;
2008-10-31;8;41.4;27.677419;21.391613;17.145161;76.008621;
2008-11-30;21;224.8;26.293333;21.12;17.88;80.3;
2008-12-31;25;605.7;26.103226;21.429677;18.529032;83.491935;
2009-01-31;20;253.1;28.058065;22.550323;19.5;81.201613;
2009-02-28;13;224.1;29.357143;22.948571;19.35;79.9375;
2009-03-31;13;243.1;29.206452;22.773548;19.087097;83.177419;
2009-04-30;7;90.9;26.786667;20.588;17.046667;82.1;
2009-05-31;2;9.6;25.329032;18.366452;14.103226;82.854839;
2009-06-30;5;53.6;23.32;16.518;12.476667;82.65;
2009-07-31;2;14.6;24.709677;17.647742;13.412903;79.951613;
2009-08-31;6;13.7;24.783871;17.543226;12.880645;76.637097;
2009-09-30;8;72.2;28.393333;21.218;16.653333;74.175;
2009-10-31;14;127.9;27.619355;21.664516;18.116129;79.548387;
2009-11-30;15;131.5;29.786667;23.109333;19.026667;75.416667;
2009-12-31;21;333.1;27.690323;22.419355;19.322581;81.870968;
2010-01-31;6;117.7;30.806452;23.623871;19.216129;73.798387;
2010-02-28;6;37.8;31.528571;23.906429;18.932143;72.892857;
2010-03-31;16;192.5;29.167742;22.877419;19.064516;81.604839;
2010-04-30;5;18.3;27.133333;20.390667;16.3;79.708333;
2010-05-31;7;45.8;25.012903;18.200645;13.945161;82.443548;
2010-06-30;2;.9;23.51;15.32;9.903333;79;
2010-07-31;0;0;24.96129;17.280645;12.383871;77.314516;
2010-08-31;1;.2;26.106452;16.597419;9.867742;67.217742;
2010-09-30;3;22.8;27.086667;19.244667;13.31;65.333333;
2010-10-31;11;158.8;26.412903;20.565806;16.854839;74.540323;
2010-11-30;21;402.7;26.306667;21.236;18.3;82.683333;
2010-12-31;18;354.1;29.322581;23.191613;19.480645;81.669355;
2011-01-31;14;184.1;29.248387;23.316129;19.809677;77.362903;
2011-02-28;12;84.8;30.878571;23.39;18.907143;74.785714;
2011-03-31;16;284.4;27.464516;22.090323;18.980645;86.330645;
2011-04-30;5;56.9;27.066667;20.832;17.31;84.4;
2011-05-31;1;2.6;24.716129;17.606452;13.574194;81.129032;
2011-06-30;3;23;23.173333;15.824;11.246667;82.025;
2011-07-31;0;0;24.170968;15.639355;9.919355;79.782258;
2011-08-31;1;.2;27.129032;18.514839;12.670968;69.854839;
2011-09-30;2;4.8;27.1;18.511333;12.576667;63.683333;
2011-10-31;16;152.9;25.954839;20.324516;16.712903;76.040323;
2011-11-30;20;310;25.113333;19.712667;16.176667;79.833333;
2011-12-31;21;330.1;26.612903;21.72;18.954839;83.467742;
2012-01-31;18;403.4;27.109677;21.789032;18.558065;81.653226;
2012-02-29;5;38.1;29.703448;22.548966;18.165517;74.336207;
2012-03-31;12;106.7;28.354839;21.95871;18.083871;78.346774;
2012-04-30;7;46.7;27.583333;20.85;16.96;82.525;
2012-05-31;8;110.2;23.606452;17.608387;14.151613;85.225806;
2012-06-30;4;8.4;24.32;17.837333;14.14;86.325;
2012-07-31;1;.4;24.825806;16.308387;11.006452;82.056452;
2012-08-31;3;5.5;25.4;17.196774;11.945161;76.58871;
2012-09-30;4;46.9;27.793333;19.337333;13.58;67.908333;
2012-10-31;10;88.9;29.570968;21.699355;15.983871;66.330645;
2012-11-30;20;235.4;26.44;21.344667;18.29;82.675;
2012-12-31;10;199.3;30.829032;23.987097;19.506452;76.822581;
2013-01-31;17;143.1;28.23871;22.547742;19.025806;79.822581;
2013-02-28;8;109.6;29.457143;22.543571;18.289286;78.276786;
2013-03-31;3;228.2;27.870968;22.363226;19.164516;82.991935;
2013-04-30;null;120.2;26.13;19.971333;16.446667;82.933333;
2013-05-31;null;62.3;24.66129;17.833548;13.674194;83.862903;
2013-06-30;null;25.3;24.306667;17.729333;13.766667;86.491667;
2013-07-31;null;2.3;23.987097;16.70129;12.33871;81.459677;
2013-08-31;null;3.5;25.825806;17.467097;11.967742;72.677419;
2013-09-30;null;43.7;26.7;19.304;14.5;73.75;
2013-10-31;null;82.9;25.983871;20.08129;16.209677;76.5;
2013-11-30;null;113.3;27.333333;21.357333;17.446667;76.341667;
2013-12-31;null;389.6;27.858065;22.644516;19.66129;84.193548;
2014-01-31;null;74.2;30.9;23.427742;18.335484;71.596774;
2014-02-28;null;23.8;31.010714;23.472143;18.328571;68.776786;
2014-03-31;null;182.5;28.116129;21.849677;18.216129;80.870968;
2014-04-30;null;92.6;27.333333;20.752;17.086667;81.608333;
2014-05-31;null;8.4;25.806452;18.149677;13.4;79.443548;
2014-06-30;null;2.2;25.056667;17.428667;12.733333;79.475;
2014-07-31;null;31.1;23.767742;16.983226;12.8;78.217742;
2014-08-31;null;7.4;26.141935;17.592258;11.606452;68.717742;
2014-09-30;null;11.8;28.3;20.111333;13.916667;61.358333;
2014-10-31;null;30.6;29.158065;21.150323;15.445161;62.766129;
2014-11-30;null;192.4;28.493333;22.064667;17.986667;72.691667;
2014-12-31;null;167.6;29.280645;22.885806;18.812903;73.862903;
2015-01-31;null;79.5;32.270968;23.949032;18.441935;67.491935;
2015-02-28;null;163.6;29.685714;23.125;19.053571;75.875;
2015-03-31;null;237.3;29.274194;22.774839;18.709677;78.387097;
2015-04-30;null;30;27.013333;20.788;17.186667;80.591667;
2015-05-31;null;54.9;24.051613;18.287742;14.812903;84.693548;
2015-06-30;null;10.1;24.183333;17.214667;12.903333;83.716667;
2015-07-31;null;26.8;24.703226;17.354839;12.780645;80.201613;
2015-08-31;null;5.7;26.335484;17.959355;12.46129;75.540323;
2015-09-30;null;77.7;28.16;21.056667;15.856667;72.55;
2015-10-31;null;45.5;30.890323;22.662581;17.396774;69.854839;
2015-11-30;null;195.6;30.366667;23.85;19.81;75.266667;
2015-12-31;null;239.8;30.245161;23.267742;19.119355;79.395161;
2016-01-31;null;348.2;28.729032;22.889032;19.587097;81.975806;
2016-02-29;null;74.5;31.351724;23.732414;19.324138;76.905172;
2016-03-31;null;73.5;29.612903;23.000645;19.151613;81.016129;
2016-04-30;null;33.9;30.25;22.21;17.013333;76.1;
2016-05-31;null;15.5;26.561538;19.070769;14.948387;81.032258;
2016-06-30;null;61.8;23.803333;16.874;12.953333;84.675;
2016-07-31;null;0;25.73871;17.287742;12.312903;79.508065;
2016-08-31;null;11;27.506452;18.561935;12.606452;69.217742;
2016-09-30;null;28.2;29.286667;20.766667;15.5;69.8;
2016-10-31;null;65.7;27.856667;21.718667;17.545161;74.3;
2016-11-30;null;216.6;28.333333;22.063333;18.336667;77.216667;
2016-12-31;null;263.1;29.832258;22.86129;18.409677;78.274194;
2017-01-31;null;65.7;31.293548;23.660645;19.119355;74.153226;
2017-02-28;null;78.1;30.103571;23.035;19.05;78.607143;
2017-03-31;null;83.1;29.251613;22.023871;17.725806;77.854839;
2017-04-30;null;43;28.143333;21.08;16.78;79.908333;
2017-05-31;null;47.5;24.809677;18.649032;14.287097;82.040323;
2017-06-30;null;15.6;25.313333;17.947333;13.67;81.558333;
2017-07-31;null;0;23.883871;15.826452;10.841935;76.491935;
2017-08-31;null;0;25.867742;17.584516;11.545161;68.217742;
2017-09-30;null;5;28.613333;19.476;12.393333;57.858333;
2017-10-31;null;49.6;30.654839;22.605806;17.032258;63.201613;
2017-11-30;null;105.4;27.86;21.846667;18.433333;76.958333;
2017-12-31;null;359;29.367742;22.92;19.232258;76.032258;
2018-01-31;null;128.2;32.3625;null;18.782759;null;
2018-02-28;null;139.8;null;null;18.825;null;
2018-03-31;null;58.4;null;null;null;null;

