Nome: CATANDUVA
Codigo Estacao: 83676
Latitude: -21.12222221
Longitude: -48.94694444
Altitude: 570
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;20;341.5;28.793548;23.791613;20.364516;81.16129;
2008-02-29;19;191.7;29.810345;24.20069;20.386207;77.948276;
2008-03-31;16;128.2;29.187097;23.755484;19.43871;null;
2008-04-30;13;100.9;28.606667;23.048;18.926667;76.5;
2008-05-31;3;32.2;25.529032;20.067742;15.516129;67.895161;
2008-06-30;4;4.5;26.453333;20.637333;15.81;65.191667;
2008-07-31;0;0;28.122581;21.148387;15.125806;48.540323;
2008-08-31;7;47.8;29.635484;22.943226;17.264516;51.572581;
2008-09-30;6;12.9;29.493333;22.112;15.893333;52.091667;
2008-10-31;10;52.5;31.441935;24.987097;19.829032;63.548387;
2008-11-30;13;107.4;31.41;24.814667;19.333333;66.108333;
2008-12-31;17;266.4;30.406452;24.564516;19.735484;70.895161;
2009-01-31;18;206;29.748387;24.499355;20.432258;74.016129;
2009-02-28;16;257;30.317857;25.158571;21.185714;75.517857;
2009-03-31;17;144.4;30.616129;25.254194;21.145161;77.59375;
2009-04-30;5;42.4;29.376667;23.228667;18.206667;67.791667;
2009-05-31;5;33.5;28.335484;21.837419;16.845161;68.217742;
2009-06-30;7;38.6;24.76;18.484667;13.683333;68.733333;
2009-07-31;5;38.8;27.316129;20.659355;15.7;69.209677;
2009-08-31;6;107.4;27.896774;21.31871;16.409677;60.782258;
2009-09-30;12;164.2;29.336667;23.572667;19.046667;73.133333;
2009-10-31;12;94.7;30.119355;24.014194;18.66129;69.177419;
2009-11-30;17;133.2;31.55;25.650667;21.383333;74.25;
2009-12-31;23;357.4;29.593548;24.447742;20.551613;80.33871;
2010-01-31;24;201.5;29.890323;24.543871;21.022581;78.314516;
2010-02-28;11;79.7;31.892857;25.922143;21.471429;68.919643;
2010-03-31;10;120.5;31.125806;25.361935;20.954839;71.72619;
2010-04-30;7;94.3;29.573333;23.078667;18.29;66.716667;
2010-05-31;4;11.9;27.296774;20.563226;15.551613;62.532258;
2010-06-30;2;4.4;27.526667;19.911333;13.946667;56.091667;
2010-07-31;2;2.3;29.33871;21.940645;15.948387;null;
2010-08-31;0;0;30.496774;22.01871;14.93871;36.8375;
2010-09-30;8;92.4;31.376667;24.11;18.043333;55.35;
2010-10-31;11;110.7;30.464516;23.683871;17.645161;59.733871;
2010-11-30;8;62.3;31.1;25.07;19.68;61.9375;
2010-12-31;18;169.5;31.612903;25.514839;20.796774;67.322581;
2011-01-31;24;330.6;30.558065;24.852903;21.106452;76.975806;
2011-02-28;15;87.8;31.65;25.207857;21.039286;69.589286;
2011-03-31;25;240.6;27.706452;23.448387;20.596774;null;
2011-04-30;8;112;29.41;23.594;19.123333;68.375;
2011-05-31;2;4;27.519355;20.652258;15.33871;59.758065;
2011-06-30;3;32.1;26.586667;19.410667;13.653333;58.258333;
2011-07-31;0;0;28.941935;21.412903;15.548387;null;
2011-08-31;3;22.5;30.577419;22.563871;15.996774;48.854839;
2011-09-30;4;20.3;32.173333;23.877333;16.69;46.933333;
2011-10-31;12;136.3;30.064516;23.856129;18.996774;71.475806;
2011-11-30;7;152.9;30.036667;23.836;18.02;67.733333;
2011-12-31;13;159.4;30.546154;24.767143;20.218519;null;
2012-01-31;20;218.2;28.419231;23.256296;19.626923;null;
2012-02-29;8;78.9;31.9;25.948;20.868;null;
2012-03-31;8;77.3;30.988889;25.114615;19.85;null;
2012-04-30;5;74.8;30.252;24.3408;19.448;null;
2012-05-31;5;83.2;25.496296;20.322222;16.022222;null;
2012-06-30;9;149.3;24.073077;20.231538;16.865385;null;
2012-07-31;null;null;null;null;null;null;
2012-08-31;null;0;27.725926;22.128148;16.959259;null;
2012-09-30;5;70.1;30.744;23.8424;17.688;null;
2012-10-31;5;52.7;33.214815;26.50963;20.244444;null;
2012-11-30;9;139.2;30.961538;25.242308;19.738462;null;
2012-12-31;15;171.7;31.226923;26.256923;22.026923;null;
2013-01-31;9;200.7;29.362963;24.453333;20.281481;null;
2013-02-28;14;126;30.220833;24.601667;20.7125;null;
2013-03-31;12;211.9;29.246154;24.197692;20.246154;null;
2013-04-30;8;60.9;27.461538;22.891538;19.011538;null;
2013-05-31;null;144;25.785185;21.174074;16.885185;null;
2013-06-30;null;50.6;26.208;20.9424;16.84;null;
2013-07-31;null;5.3;26.188889;19.265185;14.014815;null;
2013-08-31;null;0;28.937037;21.114074;14.351852;null;
2013-09-30;null;59.3;29.924;22.8384;16.76;null;
2013-10-31;null;94.4;29.455556;23.618519;18.348148;null;
2013-11-30;null;250.6;30.161538;24.378462;19.569231;null;
2013-12-31;null;null;null;null;null;null;
2014-01-31;null;30.2;31.903704;26.461481;21.674074;null;
2014-02-28;null;150.2;32.1;26.923333;22.1;null;
2014-03-31;null;209.5;29.746154;24.556923;20.688462;null;
2014-04-30;null;66.6;29.184615;24.043846;20.092308;null;
2014-05-31;null;9.3;26.67037;21.551852;17.103704;null;
2014-06-30;null;.2;27.836;21.54;16.54;null;
2014-07-31;null;18.4;26.433333;20.406667;15.537037;null;
2014-08-31;null;0;30.323077;23.145385;16.55;null;
2014-09-30;null;63.9;31.976923;24.579231;18.330769;null;
2014-10-31;null;14.3;33.807407;26.184444;19.685185;null;
2014-11-30;null;193.5;31.008333;24.918333;20.3;null;
2014-12-31;null;null;null;null;null;null;
2015-01-31;null;75.8;33.214815;27.247407;22.4;null;
2015-02-28;null;114.3;30.166667;25.201667;21.516667;null;
2015-03-31;null;154.5;29.984615;24.261538;20.615385;null;
2015-04-30;null;51.5;30.142308;23.850769;18.996154;null;
2015-05-31;null;51.4;27.523077;21.622308;17.857692;null;
2015-06-30;null;27.4;27.661538;21.718462;null;null;
2015-07-31;null;67.8;26.97037;21.405926;null;null;
2015-08-31;null;4.4;30.938462;23.341538;null;null;
2015-09-30;null;155.6;32.111538;25.481538;null;null;
2015-10-31;null;32.1;33.681481;26.8792;null;null;
2015-11-30;null;230.6;30.892;25.3616;null;null;
2015-12-31;null;222.1;30.714815;25.993077;null;null;
2016-01-31;null;332.8;30.073077;25.588462;null;null;
2016-02-29;null;146.9;31.544;26.8888;null;null;
2016-03-31;null;134;30.455556;26.363704;null;null;
2016-04-30;null;12.6;30.792308;27.228333;null;null;
2016-05-31;null;75.8;26.623077;null;null;null;
2016-06-30;null;92.1;24.542308;null;null;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;22.2;28.637037;null;null;null;
