Nome: MACHADO
Codigo Estacao: 83683
Latitude: -21.68138888
Longitude: -45.94083333
Altitude: 892.44
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2022-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;230;27.912903;21.877419;17.893333;80.362903;
2008-02-29;19;138.1;29.127586;22.497241;18.068966;80.086207;
2008-03-31;13;238.3;28.519355;21.778065;16.703226;77.596774;
2008-04-30;15;142.3;27.316667;20.679333;15.943333;79.283333;
2008-05-31;4;38.3;24.996667;17.197037;11.433333;77.067308;
2008-06-30;3;26.7;23.996296;16.514615;10.330769;80.730769;
2008-07-31;null;0;null;null;null;null;
2008-08-31;7;31;27.335484;18.647742;11.087097;66.741935;
2008-09-30;6;91.3;27.5;19.275333;12.083333;64.275;
2008-10-31;13;107.8;28.564516;21.741935;16.616129;73.298387;
2008-11-30;19;167.2;28.07;21.387333;16.99;78.133333;
2008-12-31;19;206.7;28.119355;21.823871;17.590323;79.604839;
2009-01-31;19;210;28.2;22.17871;18.116129;82.048387;
2009-02-28;19;402.9;29.682143;22.711429;18.4;81.866071;
2009-03-31;18;114.3;29.351613;22.749032;18.706452;80.169355;
2009-04-30;11;187.3;27.503333;20.014667;14.623333;76.975;
2009-05-31;7;51.8;25.309677;17.841935;12.145161;80.637097;
2009-06-30;8;46.2;22.686667;14.950667;9.21;80.733333;
2009-07-31;6;25.5;25.160714;17.111429;10.964286;84.116071;
2009-08-31;5;68.1;25.296154;17.479231;10.853846;78.653846;
2009-09-30;12;120.5;27.969231;20.547692;14.5;81.192308;
2009-10-31;16;128.2;28.639286;21.382963;15.725926;77.481481;
2009-11-30;10;50.6;30.53;23.867586;18.851724;74.482759;
2009-12-31;26;352.6;28.03871;22.327097;18.432258;84.169355;
2010-01-31;18;212.4;29.541935;23.194194;18.980645;80.483871;
2010-02-28;14;134.9;30.253571;23.365714;18.296429;75.169643;
