Nome: JUIZ DE FORA
Codigo Estacao: 83692
Latitude: -21.76999999
Longitude: -43.36444444
Altitude: 936.9
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;20;301.5;26.141935;20.565161;17.216129;82.822581;
2008-02-29;18;323.7;27.192308;20.97;17.510345;82.706897;
2008-03-31;19;327.4;27.216129;20.862581;17.143333;83.169355;
2008-04-30;15;127.6;25.76;20.233333;16.82;82.475;
2008-05-31;3;4;23.545161;17.483871;13.722581;77.177419;
2008-06-30;6;33.4;21.886667;16.513333;13.323333;82.408333;
2008-07-31;0;0;23.2;16.442667;12.170968;68.201613;
2008-08-31;4;4.8;25.016129;18.190968;14.022581;70.862903;
2008-09-30;9;64.7;23.9;17.57;13.42;72.866667;
2008-10-31;15;200.9;25.706452;19.796774;16.048387;80.564516;
2008-11-30;24;266;24.323333;19.003333;15.873333;88.116667;
2008-12-31;23;480.6;25.183871;19.720645;16.509677;85.967742;
2009-01-31;21;187.1;26.958065;21.240645;17.856667;85.043103;
2009-02-28;15;260.7;28.953571;22.360714;18.367857;81.169643;
2009-03-31;14;238.8;27.96129;21.964516;18.441935;81.919355;
2009-04-30;6;73.3;25.58;19.308667;15.934483;82.891667;
2009-05-31;4;15.8;23.777419;18.050968;14.383871;81.266129;
2009-06-30;6;26;21.983333;15.832667;12.006667;80.125;
2009-07-31;6;36;22.832258;16.972258;13.4;82.879032;
2009-08-31;2;6;23.045161;17.32;13.43871;77.41129;
2009-09-30;7;54.3;26.606667;20.17;15.896667;75.333333;
2009-10-31;19;296.8;25.470968;19.854194;16.296667;86.5;
2009-11-30;15;280.8;28.773333;22.71;18.586667;78.641667;
2009-12-31;23;479.3;26.722581;21.014483;17.503571;85.975806;
2010-01-31;14;272.8;29.374194;23.054286;17.925926;74.83871;
2010-02-28;7;76.7;29.221429;23.293571;19.146429;72.321429;
2010-03-31;18;366.9;27.2;21.262857;18.351613;83.032258;
2010-04-30;11;104.1;24.693103;19.584;16.227586;81.383333;
2010-05-31;5;46.4;23.15;17.762581;14.633333;80.951613;
2010-06-30;0;0;21.163333;15.646667;12.048276;77.141667;
2010-07-31;6;19.6;22.274194;17.118065;13.874194;78.153226;
2010-08-31;2;.4;23.5;17.10129;12.564516;65.354839;
2010-09-30;5;37.5;24.863333;18.65;14.366667;70.266667;
2010-10-31;10;114.2;24.758065;18.454194;14.429032;79.483871;
2010-11-30;19;275.1;24.663333;19.618;16.39;86.075;
2010-12-31;22;472.7;27.832258;21.883226;18.463333;84.943548;
2011-01-31;14;316.1;28.006667;22.509333;18.874194;80.583333;
2011-02-28;4;52.6;30.107143;23.596923;19.172;71.375;
2011-03-31;20;327.2;25.658065;20.770323;17.954839;87.814516;
2011-04-30;9;151.5;25.646667;20.225333;16.966667;84.55;
2011-05-31;5;13.5;21.665517;16.718;13.853571;85.316667;
2011-06-30;3;16.6;21.055172;15.743333;12.260714;92.758333;
2011-07-31;2;3.2;22.9;16.549333;12.662069;92.5;
2011-08-31;4;9.2;25.441935;18.380667;13.925806;83.491667;
2011-09-30;4;2.7;25.1;17.750667;12.803333;70.875;
2011-10-31;14;122.6;24.776667;19.537333;15.778571;79.408333;
2011-11-30;14;316.7;23.92069;18.26069;14.696154;81.663793;
2011-12-31;22;345.4;25.025806;20.205161;17.045161;87.209677;
2012-01-31;15;397.3;25.725806;20.490323;17.293548;83.862903;
2012-02-29;9;108;28.268966;22.397857;18.1;73.6875;
2012-03-31;11;92.6;27.448387;21.381935;17.656667;78.701613;
2012-04-30;9;71;25.706897;20.252;16.92963;82.491379;
2012-05-31;8;107.5;20.641176;16.327059;13.427778;84.375;
2012-06-30;6;53.8;null;null;15.041667;null;
2012-07-31;2;4.2;23.073684;17.331111;13.566667;73.930556;
2012-08-31;5;5;22.354839;16.676129;13.209677;75.282258;
2012-09-30;6;72.9;25.596667;18.770667;13.972414;68.216667;
2012-10-31;8;49.4;27.932258;21.084516;16.064516;66.782258;
2012-11-30;21;273.6;24.562069;19.372;16.258621;86.025;
2012-12-31;15;209.2;29.954839;23.403871;19.073333;76.887097;
2013-01-31;22;291.3;26.296774;21.028387;17.966667;85.185484;
2013-02-28;8;102.4;28.85;23.032143;19.085714;74.5;
2013-03-31;2;398.5;26.46129;20.781935;17.66129;86.158333;
2013-04-30;null;56.1;23.506667;18.604;15.626667;83.008333;
2013-05-31;null;56.5;22.867742;17.549677;14.206452;80.475806;
2013-06-30;null;27.7;22.556667;17.631429;14.992593;85.431034;
2013-07-31;null;59.9;21.593548;16.088387;12.919355;79.233871;
2013-08-31;null;11.5;23.858065;17.460645;13.232258;68.983871;
2013-09-30;null;94.4;24.206667;18.308667;14.356667;73.191667;
2013-10-31;null;57.9;24.187097;18.774194;15.406452;76.403226;
2013-11-30;null;168.1;25.056667;19.802667;16.113333;80.408333;
2013-12-31;null;484;26.903226;21.170323;17.9;85.975806;
2014-01-31;null;130.5;30.141935;23.559355;18.712903;67.524194;
2014-02-28;null;60.2;29.342857;23.262143;18.577778;66.044643;
2014-03-31;null;95;27.582143;21.636429;17.92069;77.607143;
2014-04-30;null;130.2;25.42;19.724667;16.606667;81.75;
2014-05-31;null;11.1;24.565217;18.746957;14.616129;75.241935;
2014-06-30;null;33.6;null;null;14.313333;80.175;
2014-07-31;null;30.1;null;null;13.248387;79.583333;
2014-08-31;null;11.6;23.396774;17.299355;13.145161;69.072581;
2014-09-30;null;4.9;27.133333;19.735862;14.84;64.293103;
2014-10-31;null;63.1;27.703226;20.57871;15.690323;64.072581;
2014-11-30;null;180.2;26.836667;20.514667;16.643333;76.4;
2014-12-31;null;155.7;28.390323;22.368387;18.277419;74.120968;
2015-01-31;null;145.8;31.156667;24.248387;19.470968;66.629032;
2015-02-28;null;100;28.732143;22.56;18.664286;75.919643;
2015-03-31;null;167.2;27.503226;21.688387;18.174194;81.169355;
2015-04-30;null;39.8;25.433333;19.766;16.386667;81.033333;
2015-05-31;null;48.4;22.180645;17.530323;14.883871;83.758065;
2015-06-30;null;33.3;22.176667;17.066667;13.856667;79.25;
