Nome: SANTA MARIA MADALENA
Codigo Estacao: 83696
Latitude: -21.96805554
Longitude: -42.00305555
Altitude: 640
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;17;302;26.719355;null;17.887097;null;
2008-02-29;12;262.7;27.803448;null;18.42069;null;
2008-03-31;17;154.6;27.858065;null;18.093548;null;
2008-04-30;13;114.4;26.833333;null;17.77;null;
2008-05-31;3;40.8;24.13871;null;13.580645;null;
2008-06-30;6;28.6;23.096667;null;13.73;null;
2008-07-31;2;34.7;23.735484;null;11.222581;null;
2008-08-31;3;14.6;24.711538;null;13.969231;null;
2008-09-30;10;72.7;24.713333;null;13.453333;null;
2008-10-31;11;129.4;26.235484;null;16.545161;null;
2008-11-30;null;null;null;null;null;null;
2008-12-31;19;425.4;25.754839;null;17.277419;null;
2009-01-31;14;311;27.912903;null;19.025806;null;
2009-02-28;8;160.1;29.882143;null;19.05;null;
2009-03-31;10;144.5;28.732258;null;18.777419;null;
2009-04-30;11;102.1;26.136667;null;16.533333;null;
2009-05-31;5;32.1;24.593548;null;14.63871;null;
2009-06-30;3;49.7;22.536667;null;13.343333;null;
2009-07-31;3;20.6;23.545161;null;14.4;null;
2009-08-31;3;38.9;24.393548;null;13.564516;null;
2009-09-30;7;82.6;27.256667;null;16.156667;null;
2009-10-31;11;212.3;26.435484;null;16.977419;null;
2009-11-30;8;201.8;29.39;null;18.706667;null;
2009-12-31;null;null;null;null;null;null;
2010-01-31;5;89.1;31.235484;null;18.941935;null;
2010-02-28;2;136.4;31.339286;null;19.453571;null;
2010-03-31;12;199.7;28.793548;null;19.264516;null;
2010-04-30;6;99.7;26.3;null;16.386667;null;
2010-05-31;7;76.8;24.145161;null;14.709677;null;
2010-06-30;1;3.4;22.216667;null;11.81;null;
2010-07-31;5;76.1;23.174194;null;13.490323;null;
2010-08-31;3;21.6;23.903226;null;11.590323;null;
2010-09-30;5;47.1;25.1;null;14.233333;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;16;270.3;26.006667;null;16.96;null;
2010-12-31;17;367.1;29.203226;null;18.848387;null;
2011-01-31;11;211.9;29.196774;null;18.322581;null;
2011-02-28;5;69;30.466667;null;18.211111;null;
2011-03-31;19;298.1;26.158065;null;18.551613;null;
2011-04-30;7;73.6;26.323333;null;17.223333;null;
2011-05-31;7;76.5;23.287097;null;13.480645;null;
2011-06-30;4;45.8;21.99;null;11.573333;null;
2011-07-31;4;31.3;22.587097;null;11.735484;null;
