Nome: CAMPOS
Codigo Estacao: 83698
Latitude: -21.74249999
Longitude: -41.33277777
Altitude: 11.2
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;13;224.5;29.967742;25.476774;22.487097;77.193548;
2008-02-29;11;130.9;31.717241;26.37931;23.262069;78.956897;
2008-03-31;10;119.1;32.36129;null;23.57931;null;
2008-04-30;3;50;31.353333;null;21.89;null;
2008-05-31;4;22.2;28.948387;23.204516;19.970968;75.145161;
2008-06-30;7;43.1;27.273333;21.886667;18.28;77.616667;
2008-07-31;2;8.2;27.832258;20.98;16.1;75.266129;
2008-08-31;3;3.5;29.180645;22.926452;18.716129;74.201613;
2008-09-30;11;63.8;27.746667;22.267333;18.463333;73.966667;
2008-10-31;12;60.7;29.03871;24.061935;20.967742;78.620968;
2008-11-30;22;526.2;28.313333;24.234;21.35;81.533333;
2008-12-31;16;370.9;28.974194;24.858065;22.225806;80.806452;
2009-01-31;13;136.8;31.290323;26.472903;23.370968;79.153226;
2009-02-28;7;51.6;33.507143;27.734286;24.171429;74.303571;
2009-03-31;8;114.7;33.03871;27.192258;23.722581;76.072581;
2009-04-30;10;120;30.2;25.124667;21.533333;75.775;
2009-05-31;4;28.8;29.109677;23.563226;19.648387;75.83871;
2009-06-30;7;36.4;26.76;21.270667;17.353333;76.583333;
2009-07-31;8;26.5;27.212903;21.991613;18.325806;77.758065;
2009-08-31;3;13.7;27.625806;22.410323;18.625806;75.637097;
2009-09-30;10;33.9;29.7;24.092667;20.516667;77.425;
2009-10-31;17;221.1;29.387097;24.62;21.254839;77.524194;
2009-11-30;6;73.3;33.14;27.087333;23.276667;74.041667;
2009-12-31;14;151.4;32.103226;26.823226;23.477419;77.846774;
2010-01-31;1;18.8;34.283871;28.363871;24.516129;69.806452;
2010-02-28;2;54.8;34.592857;28.582143;24.860714;69.375;
2010-03-31;14;115.3;33.2;27.376774;24;77.306452;
2010-04-30;10;41.6;30.76;25.295333;21.57;76.375;
2010-05-31;9;31.2;29.122581;23.441935;19.5;77.758065;
2010-06-30;7;26.5;26.846667;20.616667;16.536667;76.225;
