Nome: IVINHEMA
Codigo Estacao: 83704
Latitude: -22.30027777
Longitude: -53.82277777
Altitude: 377.4
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2014-06-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;13;237.7;30.564516;25.432258;21.432258;78.854839;
2008-02-29;14;239.9;31.124138;25.333793;21.368966;77.474138;
2008-03-31;6;48.3;31.022581;25.098065;20.464516;71.258065;
2008-04-30;10;118.5;29.87;23.615333;18.763333;73.541667;
2008-05-31;4;55.9;25.635484;19.732258;15.019355;73.201613;
2008-06-30;4;24.4;25.143333;18.476667;13.206667;73.575;
2008-07-31;2;1.2;29.596774;21.781935;16.170968;56.766129;
2008-08-31;9;130.6;29.76129;22.054194;16.570968;63.290323;
2008-09-30;5;80;28.626667;21.071333;14.93;56.366667;
2008-10-31;12;123.4;31.693548;25.139355;20.222581;68.951613;
2008-11-30;7;217.8;31.023333;25.381333;20.52;66.616667;
2008-12-31;7;66.8;33.429032;26.698065;21.351613;62.08871;
2009-01-31;12;238.7;null;null;null;null;
2009-02-28;12;152.2;null;null;null;null;
2009-03-31;6;69.8;null;null;null;null;
2009-04-30;0;0;null;null;null;null;
2009-05-31;6;141.2;null;null;null;null;
2009-06-30;9;64.8;null;null;null;null;
2009-07-31;11;145.3;null;null;null;null;
2009-08-31;8;152.7;null;null;null;null;
2009-09-30;9;93.9;null;null;null;null;
2009-10-31;13;275.2;null;null;null;null;
2009-11-30;11;192.4;null;null;null;null;
2009-12-31;15;200.9;null;null;null;null;
2010-01-31;12;247.4;null;null;null;null;
2010-02-28;11;157.1;null;null;null;null;
2010-03-31;8;98.2;null;null;null;null;
2010-04-30;5;67.1;null;null;null;null;
2010-05-31;6;113.3;null;null;null;null;
2010-06-30;1;7.4;null;null;null;null;
2010-07-31;6;49.8;null;null;null;null;
2010-08-31;1;7.4;null;null;null;null;
2010-09-30;9;409.3;null;null;null;null;
2010-10-31;6;116.2;null;null;null;null;
2010-11-30;8;159.9;null;null;null;null;
2010-12-31;15;239.3;null;null;null;null;
2011-01-31;12;220.2;null;null;null;null;
2011-02-28;15;284.3;null;null;null;null;
2011-03-31;14;148.2;null;null;null;null;
2011-04-30;9;269.9;null;null;null;null;
2011-05-31;2;7.8;null;null;null;null;
2011-06-30;7;84.7;null;null;null;null;
2011-07-31;6;111.9;null;null;null;null;
2011-08-31;2;19.8;null;null;null;null;
2011-09-30;4;66;30.146667;null;null;66.241667;
2011-10-31;12;232.3;30.109677;null;null;71.798387;
2011-11-30;4;171.4;30.873333;null;null;65.433333;
2011-12-31;5;114.6;32.887097;null;null;63.725806;
2012-01-31;11;144.1;31.832258;null;null;73.395161;
2012-02-29;10;136;33.396552;null;null;71.189655;
2012-03-31;7;81.5;31.751613;null;null;67.048387;
2012-04-30;8;150.4;29.486667;null;null;76.25;
2012-05-31;5;90.4;26.696774;null;null;77.725806;
2012-06-30;7;312.5;25;null;null;80.533333;
2012-07-31;3;16;25.932258;null;null;71.685484;
2012-08-31;1;5;30.153333;null;null;60.766129;
2012-09-30;5;130.8;32.42;null;null;57.308333;
2012-10-31;7;108.3;null;null;null;70.966667;
2012-11-30;8;151.4;null;null;null;null;
2012-12-31;13;165.7;null;null;null;null;
2013-01-31;6;87.4;null;null;null;null;
2013-02-28;14;172.8;null;null;null;null;
2013-03-31;13;231.7;null;null;null;null;
2013-04-30;7;141.6;null;null;null;null;
2013-05-31;1;46.8;null;null;null;null;
2013-06-30;null;195.8;null;null;null;null;
2013-07-31;null;26.1;null;null;null;null;
2013-08-31;null;0;null;null;null;null;
2013-09-30;null;104.9;null;null;null;null;
2013-10-31;null;187.1;null;null;null;null;
2013-11-30;null;140.5;null;null;null;null;
2013-12-31;null;110.1;null;null;null;null;
2014-01-31;null;160.1;null;null;null;null;
2014-02-28;null;228.1;null;null;null;null;
2014-03-31;null;147.7;null;null;null;null;
2014-04-30;null;67.8;null;null;null;null;
2014-05-31;null;149.5;null;null;null;null;
2014-06-30;null;49.8;null;null;null;null;

