Nome: CAMPOS DO JORDAO
Codigo Estacao: 83714
Latitude: -22.75027777
Longitude: -45.60388888
Altitude: 1662.56
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-03-19
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;27;265.7;21.63871;null;null;null;
2008-02-29;22;252.4;22.703448;null;null;null;
2008-03-31;22;333.1;21.367742;null;null;null;
2008-04-30;16;194.9;20.36;null;null;null;
2008-05-31;8;19.3;18.096774;null;null;null;
2008-06-30;8;66;16.82;null;null;null;
2008-07-31;0;0;18.474194;null;null;null;
2008-08-31;11;119.2;20.26129;null;null;null;
2008-09-30;8;83.4;20.3;null;null;null;
2008-10-31;12;159.9;22.448387;null;null;null;
2008-11-30;24;236.7;21.34;null;null;null;
2008-12-31;19;264;21.925806;null;null;null;
2009-01-31;27;315.4;21.587097;null;null;null;
2009-02-28;19;341.9;23.928571;17.924286;13.435714;87.080357;
2009-03-31;19;131.9;23.248387;17.705806;13.609677;87.846774;
2009-04-30;14;91.8;20.346667;14.582667;9.953333;88.091667;
2009-05-31;10;104.2;18.764516;12.946;8.17;90.62931;
2009-06-30;9;46;16.45;10.44;5.669231;90.115385;
2009-07-31;15;112.3;17.790323;12.160645;8.290323;91.290323;
2009-08-31;8;68.4;18.674194;12.414839;7.458065;83.83871;
2009-09-30;13;139.6;21.386667;15.085926;10.65;88.275862;
2009-10-31;16;147.2;21.870968;16.148462;11.593333;90.551724;
2009-11-30;9;87.1;25.181818;18.838947;13.842857;86.75;
2009-12-31;28;426.4;22.441935;17.593846;13.570968;null;
2010-01-31;21;181.6;23.945161;18.290833;14.629032;null;
2010-02-28;16;121.8;24.642857;18.418333;13.721429;null;
2010-03-31;20;249.3;22.925806;17.244;12.966667;null;
2010-04-30;11;125.3;20.026667;14.672;10.186667;86.541667;
2010-05-31;8;48.7;17.983871;12.196774;7.580645;85.576087;
2010-06-30;8;20.2;16.893333;10.086667;5.153333;81.466667;
2010-07-31;4;67.1;17.935484;11.5;6.625806;null;
2010-08-31;1;.4;20.074194;11.863871;5.332258;71.879032;
2010-09-30;9;89.6;22.006897;14.853571;9.007143;74.589286;
2010-10-31;17;193;21.035484;14.7;9.464516;83.08871;
2010-11-30;16;172.5;22.253333;16.029333;11.046667;81.591667;
2010-12-31;23;269;23.890323;17.902;13.486667;87.208333;
2011-01-31;25;389.5;null;null;14.35;87.525862;
