Nome: PASSA QUATRO
Codigo Estacao: 83737
Latitude: -22.38277777
Longitude: -44.96694443
Altitude: 919.55
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;18;226.6;26.970968;21.010323;16.525806;75.83871;
2008-02-29;15;233.4;27.948276;21.643448;17.034483;77.818966;
2008-03-31;16;310.8;27.722581;20.674839;15.6;75.725806;
2008-04-30;13;167.3;26.48;19.527586;14.628571;80.175;
2008-05-31;3;52.4;23.603226;15.811613;10.422581;77.846774;
2008-06-30;6;36.5;23.263333;14.944;9.56;81.375;
2008-07-31;1;.9;24.858065;13.436129;5.393548;71.427419;
2008-08-31;null;null;null;null;null;null;
2008-09-30;6;79.8;25.3;17.172667;10.62;69.941667;
2008-10-31;12;99.9;27.5;20.430323;14.683871;74.83871;
2008-11-30;21;237;26.546667;20.398;15.653333;76.433333;
2008-12-31;20;230.8;26.880645;20.777419;16.258065;77.846774;
2009-01-31;21;264.7;26.932258;21.266452;17.212903;80.75;
2009-02-28;19;304.3;29.292857;22.295714;17.407143;78.857143;
2009-03-31;12;67.7;28.606452;22.361935;17.929032;77.33871;
2009-04-30;6;40.4;26.333333;19.562;14.326667;75.533333;
2009-05-31;6;62;24.822581;16.881935;11.148387;80.072581;
2009-06-30;6;34;22.463333;13.988667;7.49;76.858333;
2009-07-31;7;66.2;24.16129;15.889677;10.154839;79.709677;
2009-08-31;6;61.8;24.612903;16.111613;9.490323;73.064516;
2009-09-30;10;171.1;26.69;19.471333;13.876667;75.541667;
2009-10-31;11;242.2;27.319355;20.646452;15.409677;75.532258;
2009-11-30;13;143.9;29.813333;22.946;17.886667;75.75;
2009-12-31;21;488.2;27.464516;21.734839;17.745161;80.185484;
2010-01-31;15;215.5;29.6;22.96;18.177419;75.935484;
2010-02-28;11;116.8;30.010714;22.600714;17.057143;74.607143;
2010-03-31;13;225.3;28.922581;21.703226;16.674194;77.733871;
2010-04-30;7;78.8;26.39;19.464667;14.22;76.133333;
2010-05-31;4;38.8;24.664516;16.789677;10.729032;75.540323;
2010-06-30;4;28.1;23.503333;13.496667;6.54;75.983333;
2010-07-31;3;55.7;24.829032;15.365161;8.512903;73.991935;
2010-08-31;0;0;25.787097;15.392903;7.409677;65.395161;
2010-09-30;4;75.4;27.183333;18.656;11.536667;65.891667;
2010-10-31;10;119.8;26.674194;19.495484;14.041935;72.806452;
2010-11-30;17;183.8;27.163333;20.628;15.88;75.75;
2010-12-31;18;371.6;29.567742;22.897333;18.180645;74.758333;
2011-01-31;19;492.3;28.729032;22.461935;18.077419;78.927419;
2011-02-28;14;142.7;30.578571;22.885;16.764286;71.767857;
2011-03-31;15;151.7;27.323333;21.734;17.61;76.341667;
2011-04-30;12;56.3;27.543333;20.174;14.596667;76.466667;
2011-05-31;3;25.3;24.093548;16.375484;10.529032;74.387097;
2011-06-30;2;42.8;23.13;13.560667;7.12;75.058333;
2011-07-31;0;0;24.812903;14.725161;7.774194;73.733871;
2011-08-31;5;14.1;27.032258;17.129677;9.774194;67.241935;
2011-09-30;4;7.3;28.273333;18.252667;9.92;58.316667;
2011-10-31;12;108.7;26.73871;19.870323;14.725806;68.177419;
2011-11-30;12;173.7;26.13;19.642;14.276667;70.65;
2011-12-31;19;301.2;27.648387;21.254839;16.541935;74.782258;
2012-01-31;22;355.3;27.190323;20.710968;16.254839;78.177419;
2012-02-29;10;118.9;30.037931;22.485517;16.258621;70.853448;
2012-03-31;9;240.9;28.651613;21.537419;15.829032;72.725806;
2012-04-30;10;75.8;27;20.259333;15.186667;77.033333;
2012-05-31;6;46.9;23.225806;16.224516;10.890323;76.322581;
2012-06-30;8;91.4;23.54;16.256667;11.686667;82.383333;
2012-07-31;4;42;24;14.387097;7.458065;75.225806;
2012-08-31;2;4.2;25.322581;null;null;null;
2012-09-30;6;48.7;27.526667;null;null;null;
2012-10-31;7;60.9;30.254839;null;null;null;
2012-11-30;16;212.6;27.566667;null;null;null;
2012-12-31;21;256.1;30.8;null;null;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;null;273.5;29.842857;null;null;null;
2013-03-31;null;137.9;27.487097;null;null;null;
2013-04-30;null;133.4;25.775862;null;null;null;
2013-05-31;null;46.9;25.032258;null;null;null;
2013-06-30;null;25.4;24.316667;null;null;null;
2013-07-31;null;15.3;23.34;null;null;null;
2013-08-31;null;3.4;26.045161;null;null;null;
2013-09-30;null;101.8;27.03;null;null;null;
2013-10-31;null;161.6;26.1;null;null;null;
2013-11-30;null;182;27.64;null;null;null;
2013-12-31;null;147.6;28.725806;null;null;null;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;85.2;32.2;null;null;null;
2014-03-31;null;91.1;29.570968;null;null;null;
2014-04-30;null;42.4;27.743333;null;null;null;
2014-05-31;null;24.7;25.132258;null;10.451613;null;
2014-06-30;null;8.4;25.573333;null;9.16;null;
2014-07-31;null;40.8;23.380645;null;8.535484;null;
2014-08-31;null;39.6;26.022581;null;8.341935;null;
2014-09-30;null;48.6;28.34;null;11.726667;null;
2014-10-31;null;49.4;29.348387;null;13.432258;null;
2014-11-30;null;null;null;null;null;null;
2014-12-31;null;118.6;29.574194;null;17.077419;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;261;29.242857;null;17.2;null;
2015-03-31;null;279.9;27.56129;null;16.929032;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;38.2;24.619355;null;12.206452;null;
2015-06-30;null;25.5;23.75;null;10.366667;null;
